Území,Instituce,Ukazatel,Roky,value
Česko,Nebankovní peněžní instituce účtující jako podnikatelé,"Pořízení dlouhodobého nehmotného majetku, (vč. dotací)",2018,1408.145718663
Česko,Nebankovní peněžní instituce účtující jako podnikatelé,"Pořízení dlouhodobého nehmotného majetku, (vč. dotací)",2019,1283.7340309493
Česko,Nebankovní peněžní instituce účtující jako podnikatelé,"Pořízení dlouhodobého nehmotného majetku, (vč. dotací)",2020,1375.9905524456
Česko,Nebankovní peněžní instituce účtující jako podnikatelé,"Pořízení dlouhodobého nehmotného majetku, (vč. dotací)",2021,1847.8097716434
Česko,Nebankovní peněžní instituce účtující jako podnikatelé,"Pořízení dlouhodobého nehmotného majetku, (vč. dotací)",2022,2297.204828027
Česko,Nebankovní peněžní instituce účtující jako podnikatelé,"Pořízení dlouhodobého nehmotného majetku, (vč. dotací)",2023,1708.1106698032
Česko,Nebankovní peněžní instituce účtující jako podnikatelé,Nákup nového DNM,2018,1400.763121392
Česko,Nebankovní peněžní instituce účtující jako podnikatelé,Nákup nového DNM,2019,1283.5190309493
Česko,Nebankovní peněžní instituce účtující jako podnikatelé,Nákup nového DNM,2020,1356.8259171959
Česko,Nebankovní peněžní instituce účtující jako podnikatelé,Nákup nového DNM,2021,1844.9177716434
Česko,Nebankovní peněžní instituce účtující jako podnikatelé,Nákup nového DNM,2022,1808.1317440583
Česko,Nebankovní peněžní instituce účtující jako podnikatelé,Nákup nového DNM,2023,1708.1106698032
Česko,Nebankovní peněžní instituce účtující jako podnikatelé,Technické zhodnocení dlouhodobého nehmotného majetku,2018,627.1840719006
Česko,Nebankovní peněžní instituce účtující jako podnikatelé,Technické zhodnocení dlouhodobého nehmotného majetku,2019,419.3303082676
Česko,Nebankovní peněžní instituce účtující jako podnikatelé,Technické zhodnocení dlouhodobého nehmotného majetku,2020,582.4103699916
Česko,Nebankovní peněžní instituce účtující jako podnikatelé,Technické zhodnocení dlouhodobého nehmotného majetku,2021,810.5831388802
Česko,Nebankovní peněžní instituce účtující jako podnikatelé,Technické zhodnocení dlouhodobého nehmotného majetku,2022,948.1605681178
Česko,Nebankovní peněžní instituce účtující jako podnikatelé,Technické zhodnocení dlouhodobého nehmotného majetku,2023,291.0447020049
Česko,Nebankovní peněžní instituce účtující jako podnikatelé,Stav dlouhodobého nehmotného majetku - brutto,2018,9177.209322588
Česko,Nebankovní peněžní instituce účtující jako podnikatelé,Stav dlouhodobého nehmotného majetku - brutto,2019,11381.0197804235
Česko,Nebankovní peněžní instituce účtující jako podnikatelé,Stav dlouhodobého nehmotného majetku - brutto,2020,9990.7309919182
Česko,Nebankovní peněžní instituce účtující jako podnikatelé,Stav dlouhodobého nehmotného majetku - brutto,2021,11097.7883763198
Česko,Nebankovní peněžní instituce účtující jako podnikatelé,Stav dlouhodobého nehmotného majetku - brutto,2022,293880.8530432598
Česko,Nebankovní peněžní instituce účtující jako podnikatelé,Stav dlouhodobého nehmotného majetku - brutto,2023,9945.6826536748
