Území,Instituce,Ukazatel,Roky,value
Česko,Nebankovní peněžní instituce účtující jako podnikatelé,Finanční aktiva ,2018,1954989.6846336
Česko,Nebankovní peněžní instituce účtující jako podnikatelé,Finanční aktiva ,2019,1945515.42942697
Česko,Nebankovní peněžní instituce účtující jako podnikatelé,Finanční aktiva ,2020,2188783.2178753703
Česko,Nebankovní peněžní instituce účtující jako podnikatelé,Finanční aktiva ,2021,2727014.9000963545
Česko,Nebankovní peněžní instituce účtující jako podnikatelé,Finanční aktiva ,2022,2611830.508343848
Česko,Nebankovní peněžní instituce účtující jako podnikatelé,Finanční aktiva ,2023,3091288.254662452
Česko,Nebankovní peněžní instituce účtující jako podnikatelé,Pokladní hotovost,2018,3227.5214310297
Česko,Nebankovní peněžní instituce účtující jako podnikatelé,Pokladní hotovost,2019,2953.9931353052
Česko,Nebankovní peněžní instituce účtující jako podnikatelé,Pokladní hotovost,2020,2844.1940077579
Česko,Nebankovní peněžní instituce účtující jako podnikatelé,Pokladní hotovost,2021,3976.783692065
Česko,Nebankovní peněžní instituce účtující jako podnikatelé,Pokladní hotovost,2022,5943.5693026429
Česko,Nebankovní peněžní instituce účtující jako podnikatelé,Pokladní hotovost,2023,3505.2229272486
Česko,Nebankovní peněžní instituce účtující jako podnikatelé,Vklady na učtech,2018,53661.7769122581
Česko,Nebankovní peněžní instituce účtující jako podnikatelé,Vklady na učtech,2019,53611.5180194049
Česko,Nebankovní peněžní instituce účtující jako podnikatelé,Vklady na učtech,2020,67875.9354533812
Česko,Nebankovní peněžní instituce účtující jako podnikatelé,Vklady na učtech,2021,78534.5053849593
Česko,Nebankovní peněžní instituce účtující jako podnikatelé,Vklady na učtech,2022,86599.5397340907
Česko,Nebankovní peněžní instituce účtující jako podnikatelé,Vklady na učtech,2023,94814.1724811391
Česko,Nebankovní peněžní instituce účtující jako podnikatelé,Úvěry a půjčky poskytnuté,2018,417376.594769795
Česko,Nebankovní peněžní instituce účtující jako podnikatelé,Úvěry a půjčky poskytnuté,2019,314667.90306908
Česko,Nebankovní peněžní instituce účtující jako podnikatelé,Úvěry a půjčky poskytnuté,2020,400919.772240414
Česko,Nebankovní peněžní instituce účtující jako podnikatelé,Úvěry a půjčky poskytnuté,2021,553971.5352678931
Česko,Nebankovní peněžní instituce účtující jako podnikatelé,Úvěry a půjčky poskytnuté,2022,525039.7899567122
Česko,Nebankovní peněžní instituce účtující jako podnikatelé,Úvěry a půjčky poskytnuté,2023,623989.0127306707
