Území,Instituce,Ukazatel,Roky,value
Česko,Nebankovní peněžní instituce účtující jako podnikatelé,Náklady včetně daně z příjmu,2018,454573.419657145
Česko,Nebankovní peněžní instituce účtující jako podnikatelé,Náklady včetně daně z příjmu,2019,313318.583702621
Česko,Nebankovní peněžní instituce účtující jako podnikatelé,Náklady včetně daně z příjmu,2020,335655.2639632223
Česko,Nebankovní peněžní instituce účtující jako podnikatelé,Náklady včetně daně z příjmu,2021,394459.5899886823
Česko,Nebankovní peněžní instituce účtující jako podnikatelé,Náklady včetně daně z příjmu,2022,396531.7712210427
Česko,Nebankovní peněžní instituce účtující jako podnikatelé,Náklady včetně daně z příjmu,2023,486089.7923279523
Česko,Nebankovní peněžní instituce účtující jako podnikatelé,Náklady na prodané zboží,2018,40329.5279215688
Česko,Nebankovní peněžní instituce účtující jako podnikatelé,Náklady na prodané zboží,2019,43382.0372149422
Česko,Nebankovní peněžní instituce účtující jako podnikatelé,Náklady na prodané zboží,2020,38072.8205151152
Česko,Nebankovní peněžní instituce účtující jako podnikatelé,Náklady na prodané zboží,2021,59814.741480088
Česko,Nebankovní peněžní instituce účtující jako podnikatelé,Náklady na prodané zboží,2022,28237.2462942645
Česko,Nebankovní peněžní instituce účtující jako podnikatelé,Náklady na prodané zboží,2023,19813.4304361046
Česko,Nebankovní peněžní instituce účtující jako podnikatelé,Spotřeba materiálu a energie ,2018,2316.8283682058
Česko,Nebankovní peněžní instituce účtující jako podnikatelé,Spotřeba materiálu a energie ,2019,1734.209183921
Česko,Nebankovní peněžní instituce účtující jako podnikatelé,Spotřeba materiálu a energie ,2020,2239.0429207659
Česko,Nebankovní peněžní instituce účtující jako podnikatelé,Spotřeba materiálu a energie ,2021,2117.0845902896
Česko,Nebankovní peněžní instituce účtující jako podnikatelé,Spotřeba materiálu a energie ,2022,4642.1717128722
Česko,Nebankovní peněžní instituce účtující jako podnikatelé,Spotřeba materiálu a energie ,2023,1917.7801556481
Česko,Nebankovní peněžní instituce účtující jako podnikatelé,Náklady na služby,2018,32830.4087997814
Česko,Nebankovní peněžní instituce účtující jako podnikatelé,Náklady na služby,2019,43459.2014706592
Česko,Nebankovní peněžní instituce účtující jako podnikatelé,Náklady na služby,2020,34437.0159352495
Česko,Nebankovní peněžní instituce účtující jako podnikatelé,Náklady na služby,2021,45379.925778643
Česko,Nebankovní peněžní instituce účtující jako podnikatelé,Náklady na služby,2022,41143.1603770501
Česko,Nebankovní peněžní instituce účtující jako podnikatelé,Náklady na služby,2023,44163.3239781092
Česko,Nebankovní peněžní instituce účtující jako podnikatelé,Osobní náklady,2018,13131.2640686323
Česko,Nebankovní peněžní instituce účtující jako podnikatelé,Osobní náklady,2019,14502.811090831
Česko,Nebankovní peněžní instituce účtující jako podnikatelé,Osobní náklady,2020,14391.3479487614
Česko,Nebankovní peněžní instituce účtující jako podnikatelé,Osobní náklady,2021,16194.1329913888
Česko,Nebankovní peněžní instituce účtující jako podnikatelé,Osobní náklady,2022,15636.4396572123
Česko,Nebankovní peněžní instituce účtující jako podnikatelé,Osobní náklady,2023,17450.556851527
Česko,Nebankovní peněžní instituce účtující jako podnikatelé,Odpisy dlouhodobého hmotného a nehmotného majetku,2018,35674.9153208205
Česko,Nebankovní peněžní instituce účtující jako podnikatelé,Odpisy dlouhodobého hmotného a nehmotného majetku,2019,32956.4288413319
Česko,Nebankovní peněžní instituce účtující jako podnikatelé,Odpisy dlouhodobého hmotného a nehmotného majetku,2020,29855.2794314495
Česko,Nebankovní peněžní instituce účtující jako podnikatelé,Odpisy dlouhodobého hmotného a nehmotného majetku,2021,29384.7810458446
Česko,Nebankovní peněžní instituce účtující jako podnikatelé,Odpisy dlouhodobého hmotného a nehmotného majetku,2022,22180.130008695
Česko,Nebankovní peněžní instituce účtující jako podnikatelé,Odpisy dlouhodobého hmotného a nehmotného majetku,2023,21434.5303017072
Česko,Nebankovní peněžní instituce účtující jako podnikatelé,Ostatní provozní náklady,2018,58728.5475304456
Česko,Nebankovní peněžní instituce účtující jako podnikatelé,Ostatní provozní náklady,2019,36413.5709703921
Česko,Nebankovní peněžní instituce účtující jako podnikatelé,Ostatní provozní náklady,2020,63456.5234774162
Česko,Nebankovní peněžní instituce účtující jako podnikatelé,Ostatní provozní náklady,2021,75236.8321146491
Česko,Nebankovní peněžní instituce účtující jako podnikatelé,Ostatní provozní náklady,2022,42555.2545095448
Česko,Nebankovní peněžní instituce účtující jako podnikatelé,Ostatní provozní náklady,2023,98670.0343952092
