Území,Ukazatel,Roky,value
Česko,Finanční aktiva ,2018,530134.5
Česko,Finanční aktiva ,2019,495367.615
Česko,Finanční aktiva ,2020,505046.592
Česko,Finanční aktiva ,2021,514725.581
Česko,Finanční aktiva ,2022,485627.505
Česko,Finanční aktiva ,2023,518140.907
Česko,Pokladní hotovost,2018,23.842
Česko,Pokladní hotovost,2019,115.73
Česko,Pokladní hotovost,2020,122.072
Česko,Pokladní hotovost,2021,137.147
Česko,Pokladní hotovost,2022,117.432
Česko,Pokladní hotovost,2023,80.556
Česko,Vklady na učtech,2018,32724.562
Česko,Vklady na učtech,2019,30266.152
Česko,Vklady na učtech,2020,31300.533
Česko,Vklady na učtech,2021,29667.562
Česko,Vklady na učtech,2022,31888.081
Česko,Vklady na učtech,2023,38580.666
Česko,Úvěry a půjčky poskytnuté,2018,33515.106
Česko,Úvěry a půjčky poskytnuté,2019,15089.211
Česko,Úvěry a půjčky poskytnuté,2020,14589.475
Česko,Úvěry a půjčky poskytnuté,2021,7748.533
Česko,Úvěry a půjčky poskytnuté,2022,12214.559
Česko,Úvěry a půjčky poskytnuté,2023,15182.652
Česko,Dluhové cenné papíry,2018,287162.071
Česko,Dluhové cenné papíry,2019,262746.786
Česko,Dluhové cenné papíry,2020,265117.273
Česko,Dluhové cenné papíry,2021,258682.308
Česko,Dluhové cenné papíry,2022,225446.006
Česko,Dluhové cenné papíry,2023,239565.606
Česko,"Akcie, účasti a jiné podíly",2018,125979.692
Česko,"Akcie, účasti a jiné podíly",2019,137084.907
Česko,"Akcie, účasti a jiné podíly",2020,137952.99
Česko,"Akcie, účasti a jiné podíly",2021,146445.678
Česko,"Akcie, účasti a jiné podíly",2022,129479.995
Česko,"Akcie, účasti a jiné podíly",2023,135846.609
Česko,Opční listy a finanční deriváty aktivní,2018,-617.023
Česko,Opční listy a finanční deriváty aktivní,2019,-224.279
Česko,Opční listy a finanční deriváty aktivní,2020,909.046
Česko,Opční listy a finanční deriváty aktivní,2021,1406.509
Česko,Opční listy a finanční deriváty aktivní,2022,3963.153
Česko,Opční listy a finanční deriváty aktivní,2023,2150.509
Česko,Dlouhodobé a krátkodobé pohledávky bez pohledávek z obchodních vztahů a poskytnutých záloh,2018,12004.455
Česko,Dlouhodobé a krátkodobé pohledávky bez pohledávek z obchodních vztahů a poskytnutých záloh,2019,9040.067
Česko,Dlouhodobé a krátkodobé pohledávky bez pohledávek z obchodních vztahů a poskytnutých záloh,2020,10716.786
Česko,Dlouhodobé a krátkodobé pohledávky bez pohledávek z obchodních vztahů a poskytnutých záloh,2021,15686.458
Česko,Dlouhodobé a krátkodobé pohledávky bez pohledávek z obchodních vztahů a poskytnutých záloh,2022,20229.794
Česko,Dlouhodobé a krátkodobé pohledávky bez pohledávek z obchodních vztahů a poskytnutých záloh,2023,16845.861
Česko,"Dlouhodobé a krátkodobé pohledávky z obchodních vztahů, poskytnuté zálohy a dohadné účty aktivní",2018,19418.454
Česko,"Dlouhodobé a krátkodobé pohledávky z obchodních vztahů, poskytnuté zálohy a dohadné účty aktivní",2019,18270.298
Česko,"Dlouhodobé a krátkodobé pohledávky z obchodních vztahů, poskytnuté zálohy a dohadné účty aktivní",2020,20845.257
Česko,"Dlouhodobé a krátkodobé pohledávky z obchodních vztahů, poskytnuté zálohy a dohadné účty aktivní",2021,28870.565
Česko,"Dlouhodobé a krátkodobé pohledávky z obchodních vztahů, poskytnuté zálohy a dohadné účty aktivní",2022,32962.367
Česko,"Dlouhodobé a krátkodobé pohledávky z obchodních vztahů, poskytnuté zálohy a dohadné účty aktivní",2023,38183.156
