Území;Ukazatel;Roky;value
Česko;Pasiva celkem;2018;537267.7
Česko;Pasiva celkem;2019;508108.721
Česko;Pasiva celkem;2020;512979.704
Česko;Pasiva celkem;2021;522510.517
Česko;Pasiva celkem;2022;493678.791
Česko;Vlastní kapital;2018;102410.569
Česko;Vlastní kapital;2019;91352.444
Česko;Vlastní kapital;2020;92831.852
Česko;Vlastní kapital;2021;87687.87
Česko;Vlastní kapital;2022;82008.127
Česko;Základní kapital;2018;29960.834
Česko;Základní kapital;2019;27754.633
Česko;Základní kapital;2020;29367.381
Česko;Základní kapital;2021;27219.757
Česko;Základní kapital;2022;27301.121
Česko;Cizí zdroje;2018;428953.584
Česko;Cizí zdroje;2019;414270.042
Česko;Cizí zdroje;2020;417172.56
Česko;Cizí zdroje;2021;431333.794
Česko;Cizí zdroje;2022;407709.572
Česko;Dlouhodobé závazky;2018;7370.523
Česko;Dlouhodobé závazky;2019;5786.225
Česko;Dlouhodobé závazky;2020;7249.798
Česko;Dlouhodobé závazky;2021;7839.555
Česko;Dlouhodobé závazky;2022;5986.276
Česko;Krátkodobé závazky;2018;68387.419
Česko;Krátkodobé závazky;2019;51431.152
Česko;Krátkodobé závazky;2020;49678.976
Česko;Krátkodobé závazky;2021;60273.963
Česko;Krátkodobé závazky;2022;59934.136
