Území,Ukazatel,Roky,value
Česko,Výnosy celkem,2018,20543.94
Česko,Výnosy celkem,2019,24368.86
Česko,Výnosy celkem,2020,28184.422
Česko,Výnosy celkem,2021,28222.835
Česko,Výnosy celkem,2022,45339.721
Česko,Výnosy celkem,2023,56980.097
Česko,Výnosy z finančních činností,2018,20247.728
Česko,Výnosy z finančních činností,2019,24094.446
Česko,Výnosy z finančních činností,2020,27904.995
Česko,Výnosy z finančních činností,2021,27803.151
Česko,Výnosy z finančních činností,2022,44984.399
Česko,Výnosy z finančních činností,2023,56571.007
Česko,Úroky a podobné výnosy,2018,9304.421
Česko,Úroky a podobné výnosy,2019,11250.3
Česko,Úroky a podobné výnosy,2020,10501.913
Česko,Úroky a podobné výnosy,2021,8317.575
Česko,Úroky a podobné výnosy,2022,16617.695
Česko,Úroky a podobné výnosy,2023,22123.299
Česko,Výnosy z operací s cennými papíry (realná hodnota),2018,1153.555
Česko,Výnosy z operací s cennými papíry (realná hodnota),2019,1505.519
Česko,Výnosy z operací s cennými papíry (realná hodnota),2020,1769.411
Česko,Výnosy z operací s cennými papíry (realná hodnota),2021,2230.75
Česko,Výnosy z operací s cennými papíry (realná hodnota),2022,3507.956
Česko,Výnosy z operací s cennými papíry (realná hodnota),2023,9321.856
Česko,Výnosy z devizových operací,2018,3825.437
Česko,Výnosy z devizových operací,2019,2329.099
Česko,Výnosy z devizových operací,2020,2438.369
Česko,Výnosy z devizových operací,2021,1445.575
Česko,Výnosy z devizových operací,2022,1746.542
Česko,Výnosy z devizových operací,2023,2035.638
Česko,Výnosy z derivátových operací,2018,2586.281
Česko,Výnosy z derivátových operací,2019,3254.038
Česko,Výnosy z derivátových operací,2020,6987.21
Česko,Výnosy z derivátových operací,2021,7399.897
Česko,Výnosy z derivátových operací,2022,11682.382
Česko,Výnosy z derivátových operací,2023,10418.273
Česko,Ostatní provozní výnosy,2018,269.442
Česko,Ostatní provozní výnosy,2019,260.766
Česko,Ostatní provozní výnosy,2020,267.516
Česko,Ostatní provozní výnosy,2021,284.405
Česko,Ostatní provozní výnosy,2022,238.49
Česko,Ostatní provozní výnosy,2023,297.88
Česko,Výnosy z prodeje vlastních výrobků a služeb,2018,101.744
Česko,Výnosy z prodeje vlastních výrobků a služeb,2019,158.129
Česko,Výnosy z prodeje vlastních výrobků a služeb,2020,172.299
Česko,Výnosy z prodeje vlastních výrobků a služeb,2021,177.714
Česko,Výnosy z prodeje vlastních výrobků a služeb,2022,120.806
Česko,Výnosy z prodeje vlastních výrobků a služeb,2023,179.672
Česko,Jiné provozní výnosy,2018,167.507
Česko,Jiné provozní výnosy,2019,102.135
Česko,Jiné provozní výnosy,2020,94.401
Česko,Jiné provozní výnosy,2021,106.587
Česko,Jiné provozní výnosy,2022,117.588
Česko,Jiné provozní výnosy,2023,117.771
