Území;Ukazatel;Roky;value
Česko;Počet aktivních jednotek;2018;8.0
Česko;Počet aktivních jednotek;2019;8.0
Česko;Počet aktivních jednotek;2020;8.0
Česko;Počet aktivních jednotek;2021;9.0
Česko;Počet aktivních jednotek;2022;9.0
Česko;Průměrný evidenční počet zaměstnanců ve fyzických osobách;2018;364.0
Česko;Průměrný evidenční počet zaměstnanců ve fyzických osobách;2019;361.0
Česko;Průměrný evidenční počet zaměstnanců ve fyzických osobách;2020;360.0
Česko;Průměrný evidenční počet zaměstnanců ve fyzických osobách;2021;340.0
Česko;Průměrný evidenční počet zaměstnanců ve fyzických osobách;2022;318.0
Česko;Evidenční počet zaměstnanců ve fyzických osobách k 31. 12.;2018;360.0
Česko;Evidenční počet zaměstnanců ve fyzických osobách k 31. 12.;2019;367.0
Česko;Evidenční počet zaměstnanců ve fyzických osobách k 31. 12.;2020;362.0
Česko;Evidenční počet zaměstnanců ve fyzických osobách k 31. 12.;2021;323.0
Česko;Evidenční počet zaměstnanců ve fyzických osobách k 31. 12.;2022;319.0
Česko;Mzdy bez ostatních osobních nákladů (mil. Kč);2018;208.008
Česko;Mzdy bez ostatních osobních nákladů (mil. Kč);2019;212.825
Česko;Mzdy bez ostatních osobních nákladů (mil. Kč);2020;215.29
Česko;Mzdy bez ostatních osobních nákladů (mil. Kč);2021;209.499
Česko;Mzdy bez ostatních osobních nákladů (mil. Kč);2022;205.394
Česko;Průměrná hrubá mzda na zaměstnance (Kč);2018;47620.8791208791
Česko;Průměrná hrubá mzda na zaměstnance (Kč);2019;49128.5780240074
Česko;Průměrná hrubá mzda na zaměstnance (Kč);2020;49835.6481481481
Česko;Průměrná hrubá mzda na zaměstnance (Kč);2021;51347.7941176471
Česko;Průměrná hrubá mzda na zaměstnance (Kč);2022;53824.4234800839
