Ukazatel;Činnost;Území;Věk;2Q čtvrtletí;value
Používání internetu (podíl osob) - věk 16+;Používání internetu;Česko;16+;2015;75.66883007
Používání internetu (podíl osob) - věk 16+;Používání internetu;Česko;16+;2016;76.5
Používání internetu (podíl osob) - věk 16+;Používání internetu;Česko;16+;2017;78.8
Používání internetu (podíl osob) - věk 16+;Používání internetu;Česko;16+;2018;80.7
Používání internetu (podíl osob) - věk 16+;Používání internetu;Česko;16+;2019;80.9
Používání internetu (podíl osob) - věk 16+;Používání internetu;Česko;16+;2020;81.339
Používání internetu (podíl osob) - věk 16+;Používání internetu;Česko;16+;2021;82.671
Používání internetu (podíl osob) - věk 16+;Používání internetu;Česko;16+;2022;84.54
Používání internetu (podíl osob) - věk 16+;Používání internetu;Česko;16+;2023;85.9941
Používání internetu (podíl osob) - věk 16+;Používání internetu;Česko;16+;2024;87.687760342
Používání internetu (podíl osob) - věk 16+;Používání internetu;Česko;16-24;2015;96.99294116
Používání internetu (podíl osob) - věk 16+;Používání internetu;Česko;16-24;2016;96.3
Používání internetu (podíl osob) - věk 16+;Používání internetu;Česko;16-24;2017;99.0
Používání internetu (podíl osob) - věk 16+;Používání internetu;Česko;16-24;2018;99.1
Používání internetu (podíl osob) - věk 16+;Používání internetu;Česko;16-24;2019;98.3
Používání internetu (podíl osob) - věk 16+;Používání internetu;Česko;16-24;2020;98.62
Používání internetu (podíl osob) - věk 16+;Používání internetu;Česko;16-24;2021;99.279
Používání internetu (podíl osob) - věk 16+;Používání internetu;Česko;16-24;2022;99.671
Používání internetu (podíl osob) - věk 16+;Používání internetu;Česko;16-24;2023;99.7805
Používání internetu (podíl osob) - věk 16+;Používání internetu;Česko;16-24;2024;99.697770208
Používání internetu (podíl osob) - věk 16+;Používání internetu;Česko;25-34;2015;95.41282579
Používání internetu (podíl osob) - věk 16+;Používání internetu;Česko;25-34;2016;94.5
Používání internetu (podíl osob) - věk 16+;Používání internetu;Česko;25-34;2017;96.7
Používání internetu (podíl osob) - věk 16+;Používání internetu;Česko;25-34;2018;98.9
Používání internetu (podíl osob) - věk 16+;Používání internetu;Česko;25-34;2019;97.3
Používání internetu (podíl osob) - věk 16+;Používání internetu;Česko;25-34;2020;97.922
Používání internetu (podíl osob) - věk 16+;Používání internetu;Česko;25-34;2021;98.555
Používání internetu (podíl osob) - věk 16+;Používání internetu;Česko;25-34;2022;99.63
Používání internetu (podíl osob) - věk 16+;Používání internetu;Česko;25-34;2023;98.448
Používání internetu (podíl osob) - věk 16+;Používání internetu;Česko;25-34;2024;99.767555175
Používání internetu (podíl osob) - věk 16+;Používání internetu;Česko;35-44;2015;93.9261176
Používání internetu (podíl osob) - věk 16+;Používání internetu;Česko;35-44;2016;94.8
Používání internetu (podíl osob) - věk 16+;Používání internetu;Česko;35-44;2017;96.9
Používání internetu (podíl osob) - věk 16+;Používání internetu;Česko;35-44;2018;97.6
Používání internetu (podíl osob) - věk 16+;Používání internetu;Česko;35-44;2019;97.1
Používání internetu (podíl osob) - věk 16+;Používání internetu;Česko;35-44;2020;98.391
Používání internetu (podíl osob) - věk 16+;Používání internetu;Česko;35-44;2021;97.903
Používání internetu (podíl osob) - věk 16+;Používání internetu;Česko;35-44;2022;98.89
Používání internetu (podíl osob) - věk 16+;Používání internetu;Česko;35-44;2023;99.4147
Používání internetu (podíl osob) - věk 16+;Používání internetu;Česko;35-44;2024;99.553700627
Používání internetu (podíl osob) - věk 16+;Používání internetu;Česko;45-54;2015;86.68531128
Používání internetu (podíl osob) - věk 16+;Používání internetu;Česko;45-54;2016;89.7
Používání internetu (podíl osob) - věk 16+;Používání internetu;Česko;45-54;2017;91.6
Používání internetu (podíl osob) - věk 16+;Používání internetu;Česko;45-54;2018;93.4
Používání internetu (podíl osob) - věk 16+;Používání internetu;Česko;45-54;2019;94.3
Používání internetu (podíl osob) - věk 16+;Používání internetu;Česko;45-54;2020;94.713
Používání internetu (podíl osob) - věk 16+;Používání internetu;Česko;45-54;2021;96.475
Používání internetu (podíl osob) - věk 16+;Používání internetu;Česko;45-54;2022;97.083
Používání internetu (podíl osob) - věk 16+;Používání internetu;Česko;45-54;2023;98.183
Používání internetu (podíl osob) - věk 16+;Používání internetu;Česko;45-54;2024;97.814529777
Používání internetu (podíl osob) - věk 16+;Používání internetu;Česko;55-64;2015;67.95102257
Používání internetu (podíl osob) - věk 16+;Používání internetu;Česko;55-64;2016;69.0
Používání internetu (podíl osob) - věk 16+;Používání internetu;Česko;55-64;2017;75.3
Používání internetu (podíl osob) - věk 16+;Používání internetu;Česko;55-64;2018;77.3
Používání internetu (podíl osob) - věk 16+;Používání internetu;Česko;55-64;2019;81.2
Používání internetu (podíl osob) - věk 16+;Používání internetu;Česko;55-64;2020;80.996
Používání internetu (podíl osob) - věk 16+;Používání internetu;Česko;55-64;2021;84.029
Používání internetu (podíl osob) - věk 16+;Používání internetu;Česko;55-64;2022;87.256
Používání internetu (podíl osob) - věk 16+;Používání internetu;Česko;55-64;2023;90.6616
Používání internetu (podíl osob) - věk 16+;Používání internetu;Česko;55-64;2024;93.348499822
Používání internetu (podíl osob) - věk 16+;Používání internetu;Česko;65-74;2015;39.51003954
Používání internetu (podíl osob) - věk 16+;Používání internetu;Česko;65-74;2016;44.1
Používání internetu (podíl osob) - věk 16+;Používání internetu;Česko;65-74;2017;44.88938196
Používání internetu (podíl osob) - věk 16+;Používání internetu;Česko;65-74;2018;49.99
Používání internetu (podíl osob) - věk 16+;Používání internetu;Česko;65-74;2019;52.1
Používání internetu (podíl osob) - věk 16+;Používání internetu;Česko;65-74;2020;53.337
Používání internetu (podíl osob) - věk 16+;Používání internetu;Česko;65-74;2021;55.564
Používání internetu (podíl osob) - věk 16+;Používání internetu;Česko;65-74;2022;60.756
Používání internetu (podíl osob) - věk 16+;Používání internetu;Česko;65-74;2023;65.2262
Používání internetu (podíl osob) - věk 16+;Používání internetu;Česko;65-74;2024;70.955109494
Používání internetu (podíl osob) - věk 16+;Používání internetu;Česko;75+;2015;10.75401164
Používání internetu (podíl osob) - věk 16+;Používání internetu;Česko;75+;2016;13.5
Používání internetu (podíl osob) - věk 16+;Používání internetu;Česko;75+;2017;15.06404279
Používání internetu (podíl osob) - věk 16+;Používání internetu;Česko;75+;2018;19.13
Používání internetu (podíl osob) - věk 16+;Používání internetu;Česko;75+;2019;18.6
Používání internetu (podíl osob) - věk 16+;Používání internetu;Česko;75+;2020;19.727
Používání internetu (podíl osob) - věk 16+;Používání internetu;Česko;75+;2021;22.56
Používání internetu (podíl osob) - věk 16+;Používání internetu;Česko;75+;2022;29.86
Používání internetu (podíl osob) - věk 16+;Používání internetu;Česko;75+;2023;34.3977
Používání internetu (podíl osob) - věk 16+;Používání internetu;Česko;75+;2024;38.723930999
Používání internetu (podíl osob) - věk 16+;Používání internetu;Česko;65+;2015;28.4277841
Používání internetu (podíl osob) - věk 16+;Používání internetu;Česko;65+;2016;32.5
Používání internetu (podíl osob) - věk 16+;Používání internetu;Česko;65+;2017;33.6
Používání internetu (podíl osob) - věk 16+;Používání internetu;Česko;65+;2018;38.3
Používání internetu (podíl osob) - věk 16+;Používání internetu;Česko;65+;2019;39.2
Používání internetu (podíl osob) - věk 16+;Používání internetu;Česko;65+;2020;40.27
Používání internetu (podíl osob) - věk 16+;Používání internetu;Česko;65+;2021;42.66
Používání internetu (podíl osob) - věk 16+;Používání internetu;Česko;65+;2022;48.157
Používání internetu (podíl osob) - věk 16+;Používání internetu;Česko;65+;2023;52.3741
Používání internetu (podíl osob) - věk 16+;Používání internetu;Česko;65+;2024;57.025265458
