Území,Měsíce,Ukazatel,value
Česko,září 2025,Souhrnný indikátor,9.3
Česko,září 2025,Podnikatelé,13.5
Česko,září 2025,Podnikatelé - průmysl,-4.0
Česko,září 2025,Podnikatelé - stavebnictví,5.0
Česko,září 2025,Podnikatelé - obchod,14.7
Česko,září 2025,Podnikatelé - služby,38.0
Česko,září 2025,Spotřebitelé,-7.3
Česko,srpen 2025,Souhrnný indikátor,8.4
Česko,srpen 2025,Podnikatelé,13.4
Česko,srpen 2025,Podnikatelé - průmysl,-6.0
Česko,srpen 2025,Podnikatelé - stavebnictví,2.5
Česko,srpen 2025,Podnikatelé - obchod,13.3
Česko,srpen 2025,Podnikatelé - služby,41.0
Česko,srpen 2025,Spotřebitelé,-11.3
Česko,červenec 2025,Souhrnný indikátor,6.9
Česko,červenec 2025,Podnikatelé,10.3
Česko,červenec 2025,Podnikatelé - průmysl,-6.0
Česko,červenec 2025,Podnikatelé - stavebnictví,1.5
Česko,červenec 2025,Podnikatelé - obchod,12.0
Česko,červenec 2025,Podnikatelé - služby,33.3
Česko,červenec 2025,Spotřebitelé,-6.8
Česko,červen 2025,Souhrnný indikátor,7.4
Česko,červen 2025,Podnikatelé,11.7
Česko,červen 2025,Podnikatelé - průmysl,-5.0
Česko,červen 2025,Podnikatelé - stavebnictví,1.5
Česko,červen 2025,Podnikatelé - obchod,9.0
Česko,červen 2025,Podnikatelé - služby,36.0
Česko,červen 2025,Spotřebitelé,-9.8
Česko,květen 2025,Souhrnný indikátor,8.3
Česko,květen 2025,Podnikatelé,12.8
Česko,květen 2025,Podnikatelé - průmysl,-5.3
Česko,květen 2025,Podnikatelé - stavebnictví,-4.0
Česko,květen 2025,Podnikatelé - obchod,13.3
Česko,květen 2025,Podnikatelé - služby,39.7
Česko,květen 2025,Spotřebitelé,-9.8
Česko,duben 2025,Souhrnný indikátor,3.7
Česko,duben 2025,Podnikatelé,7.8
Česko,duben 2025,Podnikatelé - průmysl,-9.3
Česko,duben 2025,Podnikatelé - stavebnictví,-2.5
Česko,duben 2025,Podnikatelé - obchod,15.3
Česko,duben 2025,Podnikatelé - služby,31.0
Česko,duben 2025,Spotřebitelé,-12.5
Česko,březen 2025,Souhrnný indikátor,6.7
Česko,březen 2025,Podnikatelé,11.2
Česko,březen 2025,Podnikatelé - průmysl,-4.7
Česko,březen 2025,Podnikatelé - stavebnictví,-3.0
Česko,březen 2025,Podnikatelé - obchod,17.7
Česko,březen 2025,Podnikatelé - služby,33.7
Česko,březen 2025,Spotřebitelé,-11.5
Česko,únor 2025,Souhrnný indikátor,4.8
Česko,únor 2025,Podnikatelé,9.4
Česko,únor 2025,Podnikatelé - průmysl,-6.0
Česko,únor 2025,Podnikatelé - stavebnictví,-4.0
Česko,únor 2025,Podnikatelé - obchod,15.0
Česko,únor 2025,Podnikatelé - služby,31.3
Česko,únor 2025,Spotřebitelé,-13.5
Česko,leden 2025,Souhrnný indikátor,4.5
Česko,leden 2025,Podnikatelé,8.9
Česko,leden 2025,Podnikatelé - průmysl,-6.3
Česko,leden 2025,Podnikatelé - stavebnictví,-6.5
Česko,leden 2025,Podnikatelé - obchod,10.7
Česko,leden 2025,Podnikatelé - služby,31.3
Česko,leden 2025,Spotřebitelé,-13.0
Česko,prosinec 2024,Souhrnný indikátor,4.8
Česko,prosinec 2024,Podnikatelé,8.5
Česko,prosinec 2024,Podnikatelé - průmysl,-10.7
Česko,prosinec 2024,Podnikatelé - stavebnictví,-5.0
Česko,prosinec 2024,Podnikatelé - obchod,11.7
Česko,prosinec 2024,Podnikatelé - služby,35.7
Česko,prosinec 2024,Spotřebitelé,-10.0
Česko,listopad 2024,Souhrnný indikátor,5.3
Česko,listopad 2024,Podnikatelé,8.9
Česko,listopad 2024,Podnikatelé - průmysl,-8.3
Česko,listopad 2024,Podnikatelé - stavebnictví,-5.0
Česko,listopad 2024,Podnikatelé - obchod,11.3
Česko,listopad 2024,Podnikatelé - služby,33.7
Česko,listopad 2024,Spotřebitelé,-9.0
Česko,říjen 2024,Souhrnný indikátor,4.0
Česko,říjen 2024,Podnikatelé,7.4
Česko,říjen 2024,Podnikatelé - průmysl,-4.3
Česko,říjen 2024,Podnikatelé - stavebnictví,-8.5
Česko,říjen 2024,Podnikatelé - obchod,6.0
Česko,říjen 2024,Podnikatelé - služby,26.0
Česko,říjen 2024,Spotřebitelé,-9.8
Česko,září 2024,Souhrnný indikátor,4.2
Česko,září 2024,Podnikatelé,8.3
Česko,září 2024,Podnikatelé - průmysl,-4.7
Česko,září 2024,Podnikatelé - stavebnictví,-9.5
Česko,září 2024,Podnikatelé - obchod,10.0
Česko,září 2024,Podnikatelé - služby,28.3
Česko,září 2024,Spotřebitelé,-12.3
Česko,srpen 2024,Souhrnný indikátor,0.7
Česko,srpen 2024,Podnikatelé,4.1
Česko,srpen 2024,Podnikatelé - průmysl,-7.7
Česko,srpen 2024,Podnikatelé - stavebnictví,-12.0
Česko,srpen 2024,Podnikatelé - obchod,9.3
Česko,srpen 2024,Podnikatelé - služby,21.7
Česko,srpen 2024,Spotřebitelé,-12.8
Česko,červenec 2024,Souhrnný indikátor,2.2
Česko,červenec 2024,Podnikatelé,5.7
Česko,červenec 2024,Podnikatelé - průmysl,-9.3
Česko,červenec 2024,Podnikatelé - stavebnictví,-10.0
Česko,červenec 2024,Podnikatelé - obchod,12.3
Česko,červenec 2024,Podnikatelé - služby,27.3
Česko,červenec 2024,Spotřebitelé,-11.8
Česko,červen 2024,Souhrnný indikátor,5.3
Česko,červen 2024,Podnikatelé,9.0
Česko,červen 2024,Podnikatelé - průmysl,-4.3
Česko,červen 2024,Podnikatelé - stavebnictví,-13.5
Česko,červen 2024,Podnikatelé - obchod,10.3
Česko,červen 2024,Podnikatelé - služby,30.3
Česko,červen 2024,Spotřebitelé,-9.5
Česko,květen 2024,Souhrnný indikátor,3.6
Česko,květen 2024,Podnikatelé,6.8
Česko,květen 2024,Podnikatelé - průmysl,-8.7
Česko,květen 2024,Podnikatelé - stavebnictví,-14.0
Česko,květen 2024,Podnikatelé - obchod,11.3
Česko,květen 2024,Podnikatelé - služby,30.1
Česko,květen 2024,Spotřebitelé,-9.0
Česko,duben 2024,Souhrnný indikátor,4.2
Česko,duben 2024,Podnikatelé,7.0
Česko,duben 2024,Podnikatelé - průmysl,-6.7
Česko,duben 2024,Podnikatelé - stavebnictví,-13.0
Česko,duben 2024,Podnikatelé - obchod,7.0
Česko,duben 2024,Podnikatelé - služby,28.7
Česko,duben 2024,Spotřebitelé,-7.0
Česko,březen 2024,Souhrnný indikátor,1.2
Česko,březen 2024,Podnikatelé,4.1
Česko,březen 2024,Podnikatelé - průmysl,-10.3
Česko,březen 2024,Podnikatelé - stavebnictví,-11.0
Česko,březen 2024,Podnikatelé - obchod,7.3
Česko,březen 2024,Podnikatelé - služby,25.3
Česko,březen 2024,Spotřebitelé,-10.5
Česko,únor 2024,Souhrnný indikátor,-2.6
