Území;Ukazatel;Odvětví ekonomické činnosti;Roky;value
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Celkem;2010;3792.3
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Celkem;2011;3783.5
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Celkem;2012;3787.0
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Celkem;2013;3764.2
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Celkem;2014;3791.4
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Celkem;2015;3868.5
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Celkem;2016;3934.1
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Celkem;2017;4020.5
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Celkem;2018;4080.1
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Celkem;2019;4067.0
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Celkem;2020;3992.1
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Celkem;2021;4001.1
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Celkem;2022;4034.3
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);A - Zemědělství, lesnictví, rybářství;2010;105.4
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);A - Zemědělství, lesnictví, rybářství;2011;103.6
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);A - Zemědělství, lesnictví, rybářství;2012;101.8
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);A - Zemědělství, lesnictví, rybářství;2013;99.8
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);A - Zemědělství, lesnictví, rybářství;2014;96.8
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);A - Zemědělství, lesnictví, rybářství;2015;97.5
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);A - Zemědělství, lesnictví, rybářství;2016;96.6
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);A - Zemědělství, lesnictví, rybářství;2017;96.8
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);A - Zemědělství, lesnictví, rybářství;2018;97.1
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);A - Zemědělství, lesnictví, rybářství;2019;93.2
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);A - Zemědělství, lesnictví, rybářství;2020;92.8
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);A - Zemědělství, lesnictví, rybářství;2021;92.1
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);A - Zemědělství, lesnictví, rybářství;2022;91.2
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);B - Těžba a dobývání;2010;36.0
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);B - Těžba a dobývání;2011;34.0
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);B - Těžba a dobývání;2012;33.6
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);B - Těžba a dobývání;2013;32.5
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);B - Těžba a dobývání;2014;30.4
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);B - Těžba a dobývání;2015;29.2
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);B - Těžba a dobývání;2016;27.3
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);B - Těžba a dobývání;2017;24.9
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);B - Těžba a dobývání;2018;23.6
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);B - Těžba a dobývání;2019;23.8
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);B - Těžba a dobývání;2020;22.5
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);B - Těžba a dobývání;2021;19.0
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);B - Těžba a dobývání;2022;18.3
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);C - Zpracovatelský průmysl;2010;1043.5
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);C - Zpracovatelský průmysl;2011;1064.7
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);C - Zpracovatelský průmysl;2012;1063.6
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);C - Zpracovatelský průmysl;2013;1051.7
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);C - Zpracovatelský průmysl;2014;1065.6
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);C - Zpracovatelský průmysl;2015;1099.6
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);C - Zpracovatelský průmysl;2016;1123.9
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);C - Zpracovatelský průmysl;2017;1150.6
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);C - Zpracovatelský průmysl;2018;1157.3
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);C - Zpracovatelský průmysl;2019;1141.0
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);C - Zpracovatelský průmysl;2020;1100.0
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);C - Zpracovatelský průmysl;2021;1096.5
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);C - Zpracovatelský průmysl;2022;1095.2
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;2010;29.2
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;2011;29.7
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;2012;29.9
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;2013;29.3
