Kraje;Ukazatel;Šetření;Odvětví ekonomické činnosti;Roky;value
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;Celkem;2010;745.0
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;Celkem;2011;731.9
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;Celkem;2012;743.6
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;Celkem;2013;755.8
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;Celkem;2014;763.1
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;Celkem;2015;776.1
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;Celkem;2016;786.2
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;Celkem;2017;814.8
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;Celkem;2018;846.8
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;Celkem;2019;839.5
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;Celkem;2020;823.5
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;Celkem;2021;820.5
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;Celkem;2022;843.2
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;A - Zemědělství, lesnictví, rybářství;2010;2.9
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;A - Zemědělství, lesnictví, rybářství;2011;3.0
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;A - Zemědělství, lesnictví, rybářství;2012;3.0
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;A - Zemědělství, lesnictví, rybářství;2013;3.0
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;A - Zemědělství, lesnictví, rybářství;2014;2.9
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;A - Zemědělství, lesnictví, rybářství;2015;3.3
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;A - Zemědělství, lesnictví, rybářství;2016;3.4
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;A - Zemědělství, lesnictví, rybářství;2017;3.7
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;A - Zemědělství, lesnictví, rybářství;2018;3.9
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;A - Zemědělství, lesnictví, rybářství;2019;3.7
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;A - Zemědělství, lesnictví, rybářství;2020;3.9
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;A - Zemědělství, lesnictví, rybářství;2021;4.6
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;A - Zemědělství, lesnictví, rybářství;2022;4.9
