Území,Kumulace čtvrtletí,Odvětví ekonomické činnosti,Ukazatel,value
Česko,Q1-Q2 2025,Celkem,Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),4029.5280644751
Česko,Q1-Q2 2025,Celkem,Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob),12.912778848
Česko,Q1-Q2 2025,Celkem,Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),100.3214840837
Česko,Q1-Q2 2025,Celkem,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),48147.3456454993
Česko,Q1-Q2 2025,Celkem,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč),3245.9721573194
Česko,Q1-Q2 2025,Celkem,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),107.2291155151
Česko,Q1-Q2 2025,Celkem,Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob),4255.0159539823
Česko,Q1-Q2 2025,Celkem,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob),22.8874788827
Česko,Q1-Q2 2025,Celkem,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%),100.5408030266
Česko,Q1-Q2 2025,Celkem,Průměrná hrubá měsíční mzda na fyzické osoby (Kč),45595.8526611267
Česko,Q1-Q2 2025,Celkem,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč),2980.9972380458
Česko,Q1-Q2 2025,Celkem,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%),106.9952067382
Česko,Q1-Q2 2025,"A - Zemědělství, lesnictví, rybářství",Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),88.8592077478
Česko,Q1-Q2 2025,"A - Zemědělství, lesnictví, rybářství",Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob),-1.3722689497
Česko,Q1-Q2 2025,"A - Zemědělství, lesnictví, rybářství",Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),98.4791682461
Česko,Q1-Q2 2025,"A - Zemědělství, lesnictví, rybářství",Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),35757.3106494724
Česko,Q1-Q2 2025,"A - Zemědělství, lesnictví, rybářství",Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč),2508.0827717792
Česko,Q1-Q2 2025,"A - Zemědělství, lesnictví, rybářství",Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),107.5432812485
Česko,Q1-Q2 2025,"A - Zemědělství, lesnictví, rybářství",Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob),91.463775558
Česko,Q1-Q2 2025,"A - Zemědělství, lesnictví, rybářství",Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob),-1.0494531024
Česko,Q1-Q2 2025,"A - Zemědělství, lesnictví, rybářství",Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%),98.8656183363
Česko,Q1-Q2 2025,"A - Zemědělství, lesnictví, rybářství",Průměrná hrubá měsíční mzda na fyzické osoby (Kč),34739.0677470012
Česko,Q1-Q2 2025,"A - Zemědělství, lesnictví, rybářství",Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč),2309.9008711103
Česko,Q1-Q2 2025,"A - Zemědělství, lesnictví, rybářství",Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%),107.1229115443
Česko,Q1-Q2 2025,B-E - Průmysl celkem,Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),1146.4452449155
Česko,Q1-Q2 2025,B-E - Průmysl celkem,Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob),-20.0390426678
Česko,Q1-Q2 2025,B-E - Průmysl celkem,Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),98.2820992206
Česko,Q1-Q2 2025,B-E - Průmysl celkem,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),48246.0833503234
Česko,Q1-Q2 2025,B-E - Průmysl celkem,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč),3003.0084032719
Česko,Q1-Q2 2025,B-E - Průmysl celkem,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),106.6374984609
Česko,Q1-Q2 2025,B-E - Průmysl celkem,Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob),1167.7914126079
Česko,Q1-Q2 2025,B-E - Průmysl celkem,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob),-19.5055094876
Česko,Q1-Q2 2025,B-E - Průmysl celkem,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%),98.3571498313
Česko,Q1-Q2 2025,B-E - Průmysl celkem,Průměrná hrubá měsíční mzda na fyzické osoby (Kč),47364.188711796
Česko,Q1-Q2 2025,B-E - Průmysl celkem,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč),2914.1989362426
Česko,Q1-Q2 2025,B-E - Průmysl celkem,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%),106.5561295986
Česko,Q1-Q2 2025,B - Těžba a dobývání,Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),15.9813654753
Česko,Q1-Q2 2025,B - Těžba a dobývání,Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob),-1.9679073231
Česko,Q1-Q2 2025,B - Těžba a dobývání,Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),89.0362838362
Česko,Q1-Q2 2025,B - Těžba a dobývání,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),50603.8950331817
Česko,Q1-Q2 2025,B - Těžba a dobývání,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč),1939.6716629292
Česko,Q1-Q2 2025,B - Těžba a dobývání,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),103.985826812
Česko,Q1-Q2 2025,B - Těžba a dobývání,Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob),16.0792284971
Česko,Q1-Q2 2025,B - Těžba a dobývání,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob),-1.9760210483
Česko,Q1-Q2 2025,B - Těžba a dobývání,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%),89.055697938
Česko,Q1-Q2 2025,B - Těžba a dobývání,Průměrná hrubá měsíční mzda na fyzické osoby (Kč),50295.904504641
Česko,Q1-Q2 2025,B - Těžba a dobývání,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč),1917.3197281345
Česko,Q1-Q2 2025,B - Těžba a dobývání,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%),103.9631579489
Česko,Q1-Q2 2025,C - Zpracovatelský průmysl,Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),1041.5460031375
Česko,Q1-Q2 2025,C - Zpracovatelský průmysl,Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob),-19.6757146262
Česko,Q1-Q2 2025,C - Zpracovatelský průmysl,Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),98.1459374326
Česko,Q1-Q2 2025,C - Zpracovatelský průmysl,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),47483.5826313829
Česko,Q1-Q2 2025,C - Zpracovatelský průmysl,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč),3002.3980688706
Česko,Q1-Q2 2025,C - Zpracovatelský průmysl,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),106.7498159017
Česko,Q1-Q2 2025,C - Zpracovatelský průmysl,Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob),1060.6529413785
Česko,Q1-Q2 2025,C - Zpracovatelský průmysl,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob),-18.7095276085
Česko,Q1-Q2 2025,C - Zpracovatelský průmysl,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%),98.266613103
Česko,Q1-Q2 2025,C - Zpracovatelský průmysl,Průměrná hrubá měsíční mzda na fyzické osoby (Kč),46628.1983247883
Česko,Q1-Q2 2025,C - Zpracovatelský průmysl,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč),2894.6051659543
Česko,Q1-Q2 2025,C - Zpracovatelský průmysl,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%),106.6187224897
Česko,Q1-Q2 2025,"D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),35.4088563361
Česko,Q1-Q2 2025,"D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob),0.3215950939
Česko,Q1-Q2 2025,"D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),100.9165579829
Česko,Q1-Q2 2025,"D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),77769.9115243321
Česko,Q1-Q2 2025,"D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč),4509.7751908439
Česko,Q1-Q2 2025,"D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),106.1558378356
Česko,Q1-Q2 2025,"D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob),35.8482822186
Česko,Q1-Q2 2025,"D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob),0.1965884185
Česko,Q1-Q2 2025,"D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%),100.5514139655
Česko,Q1-Q2 2025,"D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",Průměrná hrubá měsíční mzda na fyzické osoby (Kč),76816.6130708099
Česko,Q1-Q2 2025,"D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč),4716.3208212319
Česko,Q1-Q2 2025,"D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%),106.5413338477
Česko,Q1-Q2 2025,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),53.5090199666
Česko,Q1-Q2 2025,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob),1.2829841875
Česko,Q1-Q2 2025,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),102.456598837
Česko,Q1-Q2 2025,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),42846.8728151799
Česko,Q1-Q2 2025,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč),2120.978854384
Česko,Q1-Q2 2025,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),105.2079368876
Česko,Q1-Q2 2025,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob),55.2109605137
Česko,Q1-Q2 2025,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob),0.9834507507
Česko,Q1-Q2 2025,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%),101.8135642868
Česko,Q1-Q2 2025,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",Průměrná hrubá měsíční mzda na fyzické osoby (Kč),41526.0693101573
Česko,Q1-Q2 2025,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč),2303.3204798206
Česko,Q1-Q2 2025,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%),105.8724096309
Česko,Q1-Q2 2025,F - Stavebnictví,Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),212.5506142258
Česko,Q1-Q2 2025,F - Stavebnictví,Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob),1.6271831116
Česko,Q1-Q2 2025,F - Stavebnictví,Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),100.7714567808
Česko,Q1-Q2 2025,F - Stavebnictví,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),41959.8820916964
Česko,Q1-Q2 2025,F - Stavebnictví,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč),3997.2337887875
Česko,Q1-Q2 2025,F - Stavebnictví,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),110.5293860346
Česko,Q1-Q2 2025,F - Stavebnictví,Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob),219.0553460461
Česko,Q1-Q2 2025,F - Stavebnictví,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob),1.4120165929
Česko,Q1-Q2 2025,F - Stavebnictví,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%),100.6487754973
Česko,Q1-Q2 2025,F - Stavebnictví,Průměrná hrubá měsíční mzda na fyzické osoby (Kč),40713.9057430432
Česko,Q1-Q2 2025,F - Stavebnictví,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč),3923.3822092093
Česko,Q1-Q2 2025,F - Stavebnictví,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%),110.6641108426
Česko,Q1-Q2 2025,G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel,Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),501.2441636654
Česko,Q1-Q2 2025,G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel,Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob),4.3999815273
Česko,Q1-Q2 2025,G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel,Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),100.8855858004
Česko,Q1-Q2 2025,G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),44882.0787404379
Česko,Q1-Q2 2025,G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč),2649.2010800457
Česko,Q1-Q2 2025,G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),106.2728405612
Česko,Q1-Q2 2025,G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel,Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob),528.7102179269
Česko,Q1-Q2 2025,G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob),3.9902519821
Česko,Q1-Q2 2025,G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%),100.7604536212
Česko,Q1-Q2 2025,G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel,Průměrná hrubá měsíční mzda na fyzické osoby (Kč),42550.4922337729
Česko,Q1-Q2 2025,G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč),2561.2390656903
Česko,Q1-Q2 2025,G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%),106.4048184519
Česko,Q1-Q2 2025,H - Doprava a skladování,Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),253.3713339505
Česko,Q1-Q2 2025,H - Doprava a skladování,Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob),-1.5815599034
Česko,Q1-Q2 2025,H - Doprava a skladování,Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),99.3796658357
Česko,Q1-Q2 2025,H - Doprava a skladování,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),43921.7043061163
Česko,Q1-Q2 2025,H - Doprava a skladování,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč),3489.4098448263
Česko,Q1-Q2 2025,H - Doprava a skladování,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),108.6302543334
Česko,Q1-Q2 2025,H - Doprava a skladování,Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob),260.3815504622
Česko,Q1-Q2 2025,H - Doprava a skladování,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob),-0.2300567262
Česko,Q1-Q2 2025,H - Doprava a skladování,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%),99.9117242978
Česko,Q1-Q2 2025,H - Doprava a skladování,Průměrná hrubá měsíční mzda na fyzické osoby (Kč),42739.2063287984
Česko,Q1-Q2 2025,H - Doprava a skladování,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč),3184.8265785504
Česko,Q1-Q2 2025,H - Doprava a skladování,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%),108.0517672092
Česko,Q1-Q2 2025,"I - Ubytování, stravování a pohostinství",Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),119.1532108614
Česko,Q1-Q2 2025,"I - Ubytování, stravování a pohostinství",Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob),1.1400120667
Česko,Q1-Q2 2025,"I - Ubytování, stravování a pohostinství",Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),100.9660038693
Česko,Q1-Q2 2025,"I - Ubytování, stravování a pohostinství",Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),28598.1077170552
Česko,Q1-Q2 2025,"I - Ubytování, stravování a pohostinství",Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč),2529.8783783816
Česko,Q1-Q2 2025,"I - Ubytování, stravování a pohostinství",Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),109.7048339782
Česko,Q1-Q2 2025,"I - Ubytování, stravování a pohostinství",Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob),127.5028680303
Česko,Q1-Q2 2025,"I - Ubytování, stravování a pohostinství",Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob),2.3009747248
Česko,Q1-Q2 2025,"I - Ubytování, stravování a pohostinství",Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%),101.8378114452
Česko,Q1-Q2 2025,"I - Ubytování, stravování a pohostinství",Průměrná hrubá měsíční mzda na fyzické osoby (Kč),26725.3310587398
Česko,Q1-Q2 2025,"I - Ubytování, stravování a pohostinství",Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč),2153.8565390487
Česko,Q1-Q2 2025,"I - Ubytování, stravování a pohostinství",Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%),108.7656788253
Česko,Q1-Q2 2025,J - Informační a komunikační činnosti,Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),137.7747767803
Česko,Q1-Q2 2025,J - Informační a komunikační činnosti,Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob),1.2761532787
Česko,Q1-Q2 2025,J - Informační a komunikační činnosti,Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),100.9349202548
Česko,Q1-Q2 2025,J - Informační a komunikační činnosti,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),89723.5653287314
Česko,Q1-Q2 2025,J - Informační a komunikační činnosti,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč),6512.2195673265
Česko,Q1-Q2 2025,J - Informační a komunikační činnosti,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),107.8261197529
