Území;Kumulace čtvrtletí;Velikostní skupiny podniků;Ukazatel;value
Česko;Q1-Q4 2024;Úhrnem;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);4021.8026823069
Česko;Q1-Q4 2024;Úhrnem;Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob);-2.0286432672
Česko;Q1-Q4 2024;Úhrnem;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);99.9495842866
Česko;Q1-Q4 2024;Úhrnem;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);46164.5984871926
Česko;Q1-Q4 2024;Úhrnem;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč);3044.1041978011
Česko;Q1-Q4 2024;Úhrnem;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);107.0595299242
Česko;Q1-Q4 2024;Úhrnem;Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob);4245.5232499334
Česko;Q1-Q4 2024;Úhrnem;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob);19.3641958647
Česko;Q1-Q4 2024;Úhrnem;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%);100.4581984638
Česko;Q1-Q4 2024;Úhrnem;Průměrná hrubá měsíční mzda na fyzické osoby (Kč);43731.9253937248
Česko;Q1-Q4 2024;Úhrnem;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč);2675.8284801819
Česko;Q1-Q4 2024;Úhrnem;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%);106.5174935791
Česko;Q1-Q4 2024;1 až 19 zaměstnanců;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);803.7957370802
Česko;Q1-Q4 2024;1 až 19 zaměstnanců;Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob);-5.1733622817
Česko;Q1-Q4 2024;1 až 19 zaměstnanců;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);99.3604993954
Česko;Q1-Q4 2024;1 až 19 zaměstnanců;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);34446.8610866688
Česko;Q1-Q4 2024;1 až 19 zaměstnanců;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč);3558.9573126188
Česko;Q1-Q4 2024;1 až 19 zaměstnanců;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);111.522171717
Česko;Q1-Q4 2024;1 až 19 zaměstnanců;Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob);861.2123785136
Česko;Q1-Q4 2024;1 až 19 zaměstnanců;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob);1.9669191409
Česko;Q1-Q4 2024;1 až 19 zaměstnanců;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%);100.2289123695
Česko;Q1-Q4 2024;1 až 19 zaměstnanců;Průměrná hrubá měsíční mzda na fyzické osoby (Kč);32150.3043709664
Česko;Q1-Q4 2024;1 až 19 zaměstnanců;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč);3069.7204415364
Česko;Q1-Q4 2024;1 až 19 zaměstnanců;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%);110.5559106
Česko;Q1-Q4 2024;20 až 49 zaměstnanců;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);474.5428531331
Česko;Q1-Q4 2024;20 až 49 zaměstnanců;Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob);-1.4035565708
Česko;Q1-Q4 2024;20 až 49 zaměstnanců;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);99.7051019732
Česko;Q1-Q4 2024;20 až 49 zaměstnanců;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);40887.4731719066
Česko;Q1-Q4 2024;20 až 49 zaměstnanců;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč);2234.2405096198
Česko;Q1-Q4 2024;20 až 49 zaměstnanců;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);105.7802164418
Česko;Q1-Q4 2024;20 až 49 zaměstnanců;Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob);508.4898694578
Česko;Q1-Q4 2024;20 až 49 zaměstnanců;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob);2.5225929391
Česko;Q1-Q4 2024;20 až 49 zaměstnanců;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%);100.4985683968
Česko;Q1-Q4 2024;20 až 49 zaměstnanců;Průměrná hrubá měsíční mzda na fyzické osoby (Kč);38157.8067564781
Česko;Q1-Q4 2024;20 až 49 zaměstnanců;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč);1798.0100604526
Česko;Q1-Q4 2024;20 až 49 zaměstnanců;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%);104.9450498183
Česko;Q1-Q4 2024;50 až 99 zaměstnanců;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);451.4633744755
Česko;Q1-Q4 2024;50 až 99 zaměstnanců;Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob);7.9620210745
Česko;Q1-Q4 2024;50 až 99 zaměstnanců;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);101.7952642114
Česko;Q1-Q4 2024;50 až 99 zaměstnanců;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);43985.8320251753
Česko;Q1-Q4 2024;50 až 99 zaměstnanců;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč);1903.6336178885
Česko;Q1-Q4 2024;50 až 99 zaměstnanců;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);104.5236078198
Česko;Q1-Q4 2024;50 až 99 zaměstnanců;Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob);480.6573939521
Česko;Q1-Q4 2024;50 až 99 zaměstnanců;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob);10.9741677221
Česko;Q1-Q4 2024;50 až 99 zaměstnanců;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%);102.3365040754
Česko;Q1-Q4 2024;50 až 99 zaměstnanců;Průměrná hrubá měsíční mzda na fyzické osoby (Kč);41314.2342239211
Česko;Q1-Q4 2024;50 až 99 zaměstnanců;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč);1577.8525406191
