Kumulace čtvrtletí,Šetření,"ČR, regiony, kraje",Ukazatel,value
Q1-Q2 2025,Pracovištní metoda,Česko,Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),4029.5280644751
Q1-Q2 2025,Pracovištní metoda,Česko,Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob),12.912778848
Q1-Q2 2025,Pracovištní metoda,Česko,Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),100.3214840837
Q1-Q2 2025,Pracovištní metoda,Česko,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),48147.3456454991
Q1-Q2 2025,Pracovištní metoda,Česko,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč),3245.9721573195
Q1-Q2 2025,Pracovištní metoda,Česko,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),107.2291155151
Q1-Q2 2025,Pracovištní metoda,Česko,Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob),4255.0159539824
Q1-Q2 2025,Pracovištní metoda,Česko,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob),22.8874788828
Q1-Q2 2025,Pracovištní metoda,Česko,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%),100.5408030266
Q1-Q2 2025,Pracovištní metoda,Česko,Průměrná hrubá měsíční mzda na fyzické osoby (Kč),45595.8526611264
Q1-Q2 2025,Pracovištní metoda,Česko,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč),2980.9972380458
Q1-Q2 2025,Pracovištní metoda,Česko,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%),106.9952067382
Q1-Q2 2025,Pracovištní metoda,Praha,Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),826.617823706
Q1-Q2 2025,Pracovištní metoda,Praha,Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob),21.5203888411
Q1-Q2 2025,Pracovištní metoda,Praha,Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),102.6730166945
Q1-Q2 2025,Pracovištní metoda,Praha,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),62395.036985578
Q1-Q2 2025,Pracovištní metoda,Praha,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč),4586.6634213226
Q1-Q2 2025,Pracovištní metoda,Praha,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),107.9342543969
