Území,Kumulace čtvrtletí,Odvětví ekonomické činnosti,Ukazatel,value
Česko,Q1-Q4 2024,Celkem,Mzdy včetně ostatních osobních nákladů (tis. Kč),2374910921.5795417
Česko,Q1-Q4 2024,Celkem,Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč),135579209.57868505
Česko,Q1-Q4 2024,Celkem,Mzdy včetně ostatních osobních nákladů - meziroční index (%),106.0544495865
Česko,Q1-Q4 2024,Celkem,Mzdy bez ostatních osobních nákladů (tis. Kč),2217468379.1865635
Česko,Q1-Q4 2024,Celkem,Mzdy bez ostatních osobních nákladů - meziroční rozdíl (tis. Kč),138554445.30088758
Česko,Q1-Q4 2024,Celkem,Mzdy bez ostatních osobních nákladů - meziroční index (%),106.6647513898
Česko,Q1-Q4 2024,Celkem,Ostatní osobní náklady (tis. Kč),157442542.39297843
Česko,Q1-Q4 2024,Celkem,Ostatní osobní náklady - meziroční rozdíl (tis. Kč),-2975235.722202521
Česko,Q1-Q4 2024,Celkem,Ostatní osobní náklady - meziroční index (%),98.1453204519
Česko,Q1-Q4 2024,"A - Zemědělství, lesnictví, rybářství",Mzdy včetně ostatních osobních nákladů (tis. Kč),41706156.969793096
Česko,Q1-Q4 2024,"A - Zemědělství, lesnictví, rybářství",Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč),1080434.826663794
Česko,Q1-Q4 2024,"A - Zemědělství, lesnictví, rybářství",Mzdy včetně ostatních osobních nákladů - meziroční index (%),102.6594846065
Česko,Q1-Q4 2024,"A - Zemědělství, lesnictví, rybářství",Mzdy bez ostatních osobních nákladů (tis. Kč),38378414.59989862
Česko,Q1-Q4 2024,"A - Zemědělství, lesnictví, rybářství",Mzdy bez ostatních osobních nákladů - meziroční rozdíl (tis. Kč),1632631.6883635018
Česko,Q1-Q4 2024,"A - Zemědělství, lesnictví, rybářství",Mzdy bez ostatních osobních nákladů - meziroční index (%),104.443045049
Česko,Q1-Q4 2024,"A - Zemědělství, lesnictví, rybářství",Ostatní osobní náklady (tis. Kč),3327742.369894474
Česko,Q1-Q4 2024,"A - Zemědělství, lesnictví, rybářství",Ostatní osobní náklady - meziroční rozdíl (tis. Kč),-552196.8616997077
Česko,Q1-Q4 2024,"A - Zemědělství, lesnictví, rybářství",Ostatní osobní náklady - meziroční index (%),85.7678992185
Česko,Q1-Q4 2024,B-E - Průmysl celkem,Mzdy včetně ostatních osobních nákladů (tis. Kč),660658902.9757416
Česko,Q1-Q4 2024,B-E - Průmysl celkem,Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč),34890974.63719956
Česko,Q1-Q4 2024,B-E - Průmysl celkem,Mzdy včetně ostatních osobních nákladů - meziroční index (%),105.5757051548
Česko,Q1-Q4 2024,B-E - Průmysl celkem,Mzdy bez ostatních osobních nákladů (tis. Kč),638036132.9347454
Česko,Q1-Q4 2024,B-E - Průmysl celkem,Mzdy bez ostatních osobních nákladů - meziroční rozdíl (tis. Kč),35594302.188682005
Česko,Q1-Q4 2024,B-E - Průmysl celkem,Mzdy bez ostatních osobních nákladů - meziroční index (%),105.9083384274
Česko,Q1-Q4 2024,B-E - Průmysl celkem,Ostatní osobní náklady (tis. Kč),22622770.040996164
Česko,Q1-Q4 2024,B-E - Průmysl celkem,Ostatní osobní náklady - meziroční rozdíl (tis. Kč),-703327.5514824481
Česko,Q1-Q4 2024,B-E - Průmysl celkem,Ostatní osobní náklady - meziroční index (%),96.9848040432
Česko,Q1-Q4 2024,B - Těžba a dobývání,Mzdy včetně ostatních osobních nákladů (tis. Kč),11134929.800977068
Česko,Q1-Q4 2024,B - Těžba a dobývání,Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč),373296.9688948728
Česko,Q1-Q4 2024,B - Těžba a dobývání,Mzdy včetně ostatních osobních nákladů - meziroční index (%),103.4687762974
Česko,Q1-Q4 2024,B - Těžba a dobývání,Mzdy bez ostatních osobních nákladů (tis. Kč),10427702.563591423
Česko,Q1-Q4 2024,B - Těžba a dobývání,Mzdy bez ostatních osobních nákladů - meziroční rozdíl (tis. Kč),56622.1552273901
Česko,Q1-Q4 2024,B - Těžba a dobývání,Mzdy bez ostatních osobních nákladů - meziroční index (%),100.5459619731
Česko,Q1-Q4 2024,B - Těžba a dobývání,Ostatní osobní náklady (tis. Kč),707227.237385645
Česko,Q1-Q4 2024,B - Těžba a dobývání,Ostatní osobní náklady - meziroční rozdíl (tis. Kč),316674.8136674827
Česko,Q1-Q4 2024,B - Těžba a dobývání,Ostatní osobní náklady - meziroční index (%),181.0838172895
Česko,Q1-Q4 2024,C - Zpracovatelský průmysl,Mzdy včetně ostatních osobních nákladů (tis. Kč),589331439.532262
Česko,Q1-Q4 2024,C - Zpracovatelský průmysl,Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč),30084827.934041873
Česko,Q1-Q4 2024,C - Zpracovatelský průmysl,Mzdy včetně ostatních osobních nákladů - meziroční index (%),105.3795279775
Česko,Q1-Q4 2024,C - Zpracovatelský průmysl,Mzdy bez ostatních osobních nákladů (tis. Kč),570781611.8633281
