Čtvrtletí,Šetření,"ČR, regiony, kraje",Ukazatel,value
4. čtvrtletí 2024,Pracovištní metoda,Česko,Mzdy včetně ostatních osobních nákladů (tis. Kč),632704487.7740879
4. čtvrtletí 2024,Pracovištní metoda,Česko,Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč),33761596.8028398
4. čtvrtletí 2024,Pracovištní metoda,Česko,Mzdy včetně ostatních osobních nákladů - meziroční index (%),105.6368641004
4. čtvrtletí 2024,Pracovištní metoda,Česko,Mzdy bez ostatních osobních nákladů (tis. Kč),591634229.6821824
4. čtvrtletí 2024,Pracovištní metoda,Česko,Mzdy bez ostatních osobních nákladů - meziroční rozdíl (tis. Kč),35567685.56830778
4. čtvrtletí 2024,Pracovištní metoda,Česko,Mzdy bez ostatních osobních nákladů - meziroční index (%),106.3963002171
4. čtvrtletí 2024,Pracovištní metoda,Česko,Ostatní osobní náklady (tis. Kč),41070258.091905475
4. čtvrtletí 2024,Pracovištní metoda,Česko,Ostatní osobní náklady - meziroční rozdíl (tis. Kč),-1806088.7654679792
4. čtvrtletí 2024,Pracovištní metoda,Česko,Ostatní osobní náklady - meziroční index (%),95.7876803929
4. čtvrtletí 2024,Pracovištní metoda,Praha,Mzdy včetně ostatních osobních nákladů (tis. Kč),160911210.16989264
4. čtvrtletí 2024,Pracovištní metoda,Praha,Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč),2200760.020875453
4. čtvrtletí 2024,Pracovištní metoda,Praha,Mzdy včetně ostatních osobních nákladů - meziroční index (%),101.3866509854
4. čtvrtletí 2024,Pracovištní metoda,Praha,Mzdy bez ostatních osobních nákladů (tis. Kč),148797212.2946994
4. čtvrtletí 2024,Pracovištní metoda,Praha,Mzdy bez ostatních osobních nákladů - meziroční rozdíl (tis. Kč),4369053.6612828765
4. čtvrtletí 2024,Pracovištní metoda,Praha,Mzdy bez ostatních osobních nákladů - meziroční index (%),103.0250705282
4. čtvrtletí 2024,Pracovištní metoda,Praha,Ostatní osobní náklady (tis. Kč),12113997.87519322
4. čtvrtletí 2024,Pracovištní metoda,Praha,Ostatní osobní náklady - meziroční rozdíl (tis. Kč),-2168293.640407424
4. čtvrtletí 2024,Pracovištní metoda,Praha,Ostatní osobní náklady - meziroční index (%),84.818307076
4. čtvrtletí 2024,Pracovištní metoda,Střední Čechy,Mzdy včetně ostatních osobních nákladů (tis. Kč),66293092.20687063
4. čtvrtletí 2024,Pracovištní metoda,Střední Čechy,Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč),4648299.759528577
4. čtvrtletí 2024,Pracovištní metoda,Střední Čechy,Mzdy včetně ostatních osobních nákladů - meziroční index (%),107.540458123
4. čtvrtletí 2024,Pracovištní metoda,Střední Čechy,Mzdy bez ostatních osobních nákladů (tis. Kč),62388043.48767154
4. čtvrtletí 2024,Pracovištní metoda,Střední Čechy,Mzdy bez ostatních osobních nákladů - meziroční rozdíl (tis. Kč),4533279.771700614
4. čtvrtletí 2024,Pracovištní metoda,Střední Čechy,Mzdy bez ostatních osobních nákladů - meziroční index (%),107.8356205791
4. čtvrtletí 2024,Pracovištní metoda,Střední Čechy,Ostatní osobní náklady (tis. Kč),3905048.719199089
4. čtvrtletí 2024,Pracovištní metoda,Střední Čechy,Ostatní osobní náklady - meziroční rozdíl (tis. Kč),115019.9878279639
4. čtvrtletí 2024,Pracovištní metoda,Střední Čechy,Ostatní osobní náklady - meziroční index (%),103.0348051685
4. čtvrtletí 2024,Pracovištní metoda,Jihozápad,Mzdy včetně ostatních osobních nákladů (tis. Kč),64973191.598150015
4. čtvrtletí 2024,Pracovištní metoda,Jihozápad,Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč),4660951.648777394
4. čtvrtletí 2024,Pracovištní metoda,Jihozápad,Mzdy včetně ostatních osobních nákladů - meziroční index (%),107.7280360549
4. čtvrtletí 2024,Pracovištní metoda,Jihozápad,Mzdy bez ostatních osobních nákladů (tis. Kč),61153604.281464845
4. čtvrtletí 2024,Pracovištní metoda,Jihozápad,Mzdy bez ostatních osobních nákladů - meziroční rozdíl (tis. Kč),4771552.93144927
4. čtvrtletí 2024,Pracovištní metoda,Jihozápad,Mzdy bez ostatních osobních nákladů - meziroční index (%),108.4628934514
4. čtvrtletí 2024,Pracovištní metoda,Jihozápad,Ostatní osobní náklady (tis. Kč),3819587.3166851713
4. čtvrtletí 2024,Pracovištní metoda,Jihozápad,Ostatní osobní náklady - meziroční rozdíl (tis. Kč),-110601.2826718762
4. čtvrtletí 2024,Pracovištní metoda,Jihozápad,Ostatní osobní náklady - meziroční index (%),97.1858530481
4. čtvrtletí 2024,Pracovištní metoda,Severozápad,Mzdy včetně ostatních osobních nákladů (tis. Kč),46873983.45678034
4. čtvrtletí 2024,Pracovištní metoda,Severozápad,Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč),3029917.711832915
4. čtvrtletí 2024,Pracovištní metoda,Severozápad,Mzdy včetně ostatních osobních nákladů - meziroční index (%),106.9106677502
4. čtvrtletí 2024,Pracovištní metoda,Severozápad,Mzdy bez ostatních osobních nákladů (tis. Kč),43875864.85372219
4. čtvrtletí 2024,Pracovištní metoda,Severozápad,Mzdy bez ostatních osobních nákladů - meziroční rozdíl (tis. Kč),2847863.9032840314
4. čtvrtletí 2024,Pracovištní metoda,Severozápad,Mzdy bez ostatních osobních nákladů - meziroční index (%),106.9412689805
4. čtvrtletí 2024,Pracovištní metoda,Severozápad,Ostatní osobní náklady (tis. Kč),2998118.6030581384
4. čtvrtletí 2024,Pracovištní metoda,Severozápad,Ostatní osobní náklady - meziroční rozdíl (tis. Kč),182053.8085488833
4. čtvrtletí 2024,Pracovištní metoda,Severozápad,Ostatní osobní náklady - meziroční index (%),106.4648302448
4. čtvrtletí 2024,Pracovištní metoda,Severovýchod,Mzdy včetně ostatních osobních nákladů (tis. Kč),75404983.58119276
4. čtvrtletí 2024,Pracovištní metoda,Severovýchod,Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč),5158908.684078492
4. čtvrtletí 2024,Pracovištní metoda,Severovýchod,Mzdy včetně ostatních osobních nákladů - meziroční index (%),107.3440525917
4. čtvrtletí 2024,Pracovištní metoda,Severovýchod,Mzdy bez ostatních osobních nákladů (tis. Kč),70872010.99526711
4. čtvrtletí 2024,Pracovištní metoda,Severovýchod,Mzdy bez ostatních osobních nákladů - meziroční rozdíl (tis. Kč),5126633.825378917
4. čtvrtletí 2024,Pracovištní metoda,Severovýchod,Mzdy bez ostatních osobních nákladů - meziroční index (%),107.7977099624
4. čtvrtletí 2024,Pracovištní metoda,Severovýchod,Ostatní osobní náklady (tis. Kč),4532972.585925656
4. čtvrtletí 2024,Pracovištní metoda,Severovýchod,Ostatní osobní náklady - meziroční rozdíl (tis. Kč),32274.8586995754
4. čtvrtletí 2024,Pracovištní metoda,Severovýchod,Ostatní osobní náklady - meziroční index (%),100.7171078943
4. čtvrtletí 2024,Pracovištní metoda,Jihovýchod,Mzdy včetně ostatních osobních nákladů (tis. Kč),98059398.87514104
4. čtvrtletí 2024,Pracovištní metoda,Jihovýchod,Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč),6572517.839080824
4. čtvrtletí 2024,Pracovištní metoda,Jihovýchod,Mzdy včetně ostatních osobních nákladů - meziroční index (%),107.1841096392
4. čtvrtletí 2024,Pracovištní metoda,Jihovýchod,Mzdy bez ostatních osobních nákladů (tis. Kč),91788025.62115549
4. čtvrtletí 2024,Pracovištní metoda,Jihovýchod,Mzdy bez ostatních osobních nákladů - meziroční rozdíl (tis. Kč),6443096.789395972
4. čtvrtletí 2024,Pracovištní metoda,Jihovýchod,Mzdy bez ostatních osobních nákladů - meziroční index (%),107.5494781911
4. čtvrtletí 2024,Pracovištní metoda,Jihovýchod,Ostatní osobní náklady (tis. Kč),6271373.25398556
4. čtvrtletí 2024,Pracovištní metoda,Jihovýchod,Ostatní osobní náklady - meziroční rozdíl (tis. Kč),129421.049684851
4. čtvrtletí 2024,Pracovištní metoda,Jihovýchod,Ostatní osobní náklady - meziroční index (%),102.1071647154
4. čtvrtletí 2024,Pracovištní metoda,Střední Morava,Mzdy včetně ostatních osobních nákladů (tis. Kč),60726060.04112209
4. čtvrtletí 2024,Pracovištní metoda,Střední Morava,Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč),4179447.832715221
4. čtvrtletí 2024,Pracovištní metoda,Střední Morava,Mzdy včetně ostatních osobních nákladů - meziroční index (%),107.3911551364
4. čtvrtletí 2024,Pracovištní metoda,Střední Morava,Mzdy bez ostatních osobních nákladů (tis. Kč),56980560.19756132
4. čtvrtletí 2024,Pracovištní metoda,Střední Morava,Mzdy bez ostatních osobních nákladů - meziroční rozdíl (tis. Kč),4121587.0151016386
4. čtvrtletí 2024,Pracovištní metoda,Střední Morava,Mzdy bez ostatních osobních nákladů - meziroční index (%),107.7973270515
4. čtvrtletí 2024,Pracovištní metoda,Střední Morava,Ostatní osobní náklady (tis. Kč),3745499.843560759
4. čtvrtletí 2024,Pracovištní metoda,Střední Morava,Ostatní osobní náklady - meziroční rozdíl (tis. Kč),57860.8176135829
4. čtvrtletí 2024,Pracovištní metoda,Střední Morava,Ostatní osobní náklady - meziroční index (%),101.5690477622
4. čtvrtletí 2024,Pracovištní metoda,Moravskoslezsko,Mzdy včetně ostatních osobních nákladů (tis. Kč),58898759.61613867
4. čtvrtletí 2024,Pracovištní metoda,Moravskoslezsko,Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč),3312815.527604632
4. čtvrtletí 2024,Pracovištní metoda,Moravskoslezsko,Mzdy včetně ostatních osobních nákladů - meziroční index (%),105.9598079729
4. čtvrtletí 2024,Pracovištní metoda,Moravskoslezsko,Mzdy bez ostatních osobních nákladů (tis. Kč),55233352.074678764
4. čtvrtletí 2024,Pracovištní metoda,Moravskoslezsko,Mzdy bez ostatních osobních nákladů - meziroční rozdíl (tis. Kč),3355883.888222288
4. čtvrtletí 2024,Pracovištní metoda,Moravskoslezsko,Mzdy bez ostatních osobních nákladů - meziroční index (%),106.468865975
4. čtvrtletí 2024,Pracovištní metoda,Moravskoslezsko,Ostatní osobní náklady (tis. Kč),3665407.541459906
4. čtvrtletí 2024,Pracovištní metoda,Moravskoslezsko,Ostatní osobní náklady - meziroční rozdíl (tis. Kč),-43068.3606176554
4. čtvrtletí 2024,Pracovištní metoda,Moravskoslezsko,Ostatní osobní náklady - meziroční index (%),98.8386506545
4. čtvrtletí 2024,Pracovištní metoda,Hlavní město Praha,Mzdy včetně ostatních osobních nákladů (tis. Kč),160911210.16989264
4. čtvrtletí 2024,Pracovištní metoda,Hlavní město Praha,Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč),2200760.020875453
4. čtvrtletí 2024,Pracovištní metoda,Hlavní město Praha,Mzdy včetně ostatních osobních nákladů - meziroční index (%),101.3866509854
4. čtvrtletí 2024,Pracovištní metoda,Hlavní město Praha,Mzdy bez ostatních osobních nákladů (tis. Kč),148797212.2946994
4. čtvrtletí 2024,Pracovištní metoda,Hlavní město Praha,Mzdy bez ostatních osobních nákladů - meziroční rozdíl (tis. Kč),4369053.6612828765
4. čtvrtletí 2024,Pracovištní metoda,Hlavní město Praha,Mzdy bez ostatních osobních nákladů - meziroční index (%),103.0250705282
4. čtvrtletí 2024,Pracovištní metoda,Hlavní město Praha,Ostatní osobní náklady (tis. Kč),12113997.87519322
4. čtvrtletí 2024,Pracovištní metoda,Hlavní město Praha,Ostatní osobní náklady - meziroční rozdíl (tis. Kč),-2168293.640407424
4. čtvrtletí 2024,Pracovištní metoda,Hlavní město Praha,Ostatní osobní náklady - meziroční index (%),84.818307076
4. čtvrtletí 2024,Pracovištní metoda,Středočeský kraj,Mzdy včetně ostatních osobních nákladů (tis. Kč),66293092.20687063
4. čtvrtletí 2024,Pracovištní metoda,Středočeský kraj,Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč),4648299.759528577
4. čtvrtletí 2024,Pracovištní metoda,Středočeský kraj,Mzdy včetně ostatních osobních nákladů - meziroční index (%),107.540458123
4. čtvrtletí 2024,Pracovištní metoda,Středočeský kraj,Mzdy bez ostatních osobních nákladů (tis. Kč),62388043.48767154
4. čtvrtletí 2024,Pracovištní metoda,Středočeský kraj,Mzdy bez ostatních osobních nákladů - meziroční rozdíl (tis. Kč),4533279.771700614
4. čtvrtletí 2024,Pracovištní metoda,Středočeský kraj,Mzdy bez ostatních osobních nákladů - meziroční index (%),107.8356205791
4. čtvrtletí 2024,Pracovištní metoda,Středočeský kraj,Ostatní osobní náklady (tis. Kč),3905048.719199089
4. čtvrtletí 2024,Pracovištní metoda,Středočeský kraj,Ostatní osobní náklady - meziroční rozdíl (tis. Kč),115019.9878279639
4. čtvrtletí 2024,Pracovištní metoda,Středočeský kraj,Ostatní osobní náklady - meziroční index (%),103.0348051685
4. čtvrtletí 2024,Pracovištní metoda,Jihočeský kraj,Mzdy včetně ostatních osobních nákladů (tis. Kč),32008255.03830563
4. čtvrtletí 2024,Pracovištní metoda,Jihočeský kraj,Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč),2426677.4125657217
4. čtvrtletí 2024,Pracovištní metoda,Jihočeský kraj,Mzdy včetně ostatních osobních nákladů - meziroční index (%),108.2033400763
4. čtvrtletí 2024,Pracovištní metoda,Jihočeský kraj,Mzdy bez ostatních osobních nákladů (tis. Kč),30025242.1324207
4. čtvrtletí 2024,Pracovištní metoda,Jihočeský kraj,Mzdy bez ostatních osobních nákladů - meziroční rozdíl (tis. Kč),2329896.976128758
4. čtvrtletí 2024,Pracovištní metoda,Jihočeský kraj,Mzdy bez ostatních osobních nákladů - meziroční index (%),108.4125941128
4. čtvrtletí 2024,Pracovištní metoda,Jihočeský kraj,Ostatní osobní náklady (tis. Kč),1983012.905884931
4. čtvrtletí 2024,Pracovištní metoda,Jihočeský kraj,Ostatní osobní náklady - meziroční rozdíl (tis. Kč),96780.4364369641
4. čtvrtletí 2024,Pracovištní metoda,Jihočeský kraj,Ostatní osobní náklady - meziroční index (%),105.1308859329
4. čtvrtletí 2024,Pracovištní metoda,Plzeňský kraj,Mzdy včetně ostatních osobních nákladů (tis. Kč),32964936.559844382
4. čtvrtletí 2024,Pracovištní metoda,Plzeňský kraj,Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč),2234274.2362116715
4. čtvrtletí 2024,Pracovištní metoda,Plzeňský kraj,Mzdy včetně ostatních osobních nákladů - meziroční index (%),107.2705046597
4. čtvrtletí 2024,Pracovištní metoda,Plzeňský kraj,Mzdy bez ostatních osobních nákladů (tis. Kč),31128362.149044145
4. čtvrtletí 2024,Pracovištní metoda,Plzeňský kraj,Mzdy bez ostatních osobních nákladů - meziroční rozdíl (tis. Kč),2441655.955320512
4. čtvrtletí 2024,Pracovištní metoda,Plzeňský kraj,Mzdy bez ostatních osobních nákladů - meziroční index (%),108.5114545352
4. čtvrtletí 2024,Pracovištní metoda,Plzeňský kraj,Ostatní osobní náklady (tis. Kč),1836574.4108002405
