Území,Čtvrtletí,Institucionální sektory,Ukazatel,value
Česko,4. čtvrtletí 2024,Celkem,Mzdy včetně ostatních osobních nákladů (tis. Kč),632704487.7740879
Česko,4. čtvrtletí 2024,Celkem,Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč),33761596.8028398
Česko,4. čtvrtletí 2024,Celkem,Mzdy včetně ostatních osobních nákladů - meziroční index (%),105.6368641004
Česko,4. čtvrtletí 2024,Celkem,Mzdy bez ostatních osobních nákladů (tis. Kč),591634229.6821824
Česko,4. čtvrtletí 2024,Celkem,Mzdy bez ostatních osobních nákladů - meziroční rozdíl (tis. Kč),35567685.56830778
Česko,4. čtvrtletí 2024,Celkem,Mzdy bez ostatních osobních nákladů - meziroční index (%),106.3963002171
Česko,4. čtvrtletí 2024,Celkem,Ostatní osobní náklady (tis. Kč),41070258.091905475
Česko,4. čtvrtletí 2024,Celkem,Ostatní osobní náklady - meziroční rozdíl (tis. Kč),-1806088.765467975
Česko,4. čtvrtletí 2024,Celkem,Ostatní osobní náklady - meziroční index (%),95.7876803929
Česko,4. čtvrtletí 2024,Nefinanční podniky,Mzdy včetně ostatních osobních nákladů (tis. Kč),434108158.5618597
Česko,4. čtvrtletí 2024,Nefinanční podniky,Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč),23170440.996521436
Česko,4. čtvrtletí 2024,Nefinanční podniky,Mzdy včetně ostatních osobních nákladů - meziroční index (%),105.6384313257
Česko,4. čtvrtletí 2024,Nefinanční podniky,Mzdy bez ostatních osobních nákladů (tis. Kč),407730739.6252682
Česko,4. čtvrtletí 2024,Nefinanční podniky,Mzdy bez ostatních osobních nákladů - meziroční rozdíl (tis. Kč),26816592.7253298
Česko,4. čtvrtletí 2024,Nefinanční podniky,Mzdy bez ostatních osobních nákladů - meziroční index (%),107.0400621619
Česko,4. čtvrtletí 2024,Nefinanční podniky,Ostatní osobní náklady (tis. Kč),26377418.93659153
Česko,4. čtvrtletí 2024,Nefinanční podniky,Ostatní osobní náklady - meziroční rozdíl (tis. Kč),-3646151.7288083658
Česko,4. čtvrtletí 2024,Nefinanční podniky,Ostatní osobní náklady - meziroční index (%),87.855702543
Česko,4. čtvrtletí 2024,Finanční podniky,Mzdy včetně ostatních osobních nákladů (tis. Kč),16498076.793044683
Česko,4. čtvrtletí 2024,Finanční podniky,Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč),834222.9594461282
Česko,4. čtvrtletí 2024,Finanční podniky,Mzdy včetně ostatních osobních nákladů - meziroční index (%),105.3257836054
Česko,4. čtvrtletí 2024,Finanční podniky,Mzdy bez ostatních osobních nákladů (tis. Kč),15781920.485485056
Česko,4. čtvrtletí 2024,Finanční podniky,Mzdy bez ostatních osobních nákladů - meziroční rozdíl (tis. Kč),1081346.9195122693
Česko,4. čtvrtletí 2024,Finanční podniky,Mzdy bez ostatních osobních nákladů - meziroční index (%),107.3558144834
Česko,4. čtvrtletí 2024,Finanční podniky,Ostatní osobní náklady (tis. Kč),716156.3075596271
Česko,4. čtvrtletí 2024,Finanční podniky,Ostatní osobní náklady - meziroční rozdíl (tis. Kč),-247123.9600661411
Česko,4. čtvrtletí 2024,Finanční podniky,Ostatní osobní náklady - meziroční index (%),74.345580578
Česko,4. čtvrtletí 2024,Domácnosti,Mzdy včetně ostatních osobních nákladů (tis. Kč),13986788.854356684
Česko,4. čtvrtletí 2024,Domácnosti,Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč),1539100.6272617604
Česko,4. čtvrtletí 2024,Domácnosti,Mzdy včetně ostatních osobních nákladů - meziroční index (%),112.3645499404
Česko,4. čtvrtletí 2024,Domácnosti,Mzdy bez ostatních osobních nákladů (tis. Kč),11068789.713159073
Česko,4. čtvrtletí 2024,Domácnosti,Mzdy bez ostatních osobních nákladů - meziroční rozdíl (tis. Kč),707677.0814325581
Česko,4. čtvrtletí 2024,Domácnosti,Mzdy bez ostatních osobních nákladů - meziroční index (%),106.8301263251
Česko,4. čtvrtletí 2024,Domácnosti,Ostatní osobní náklady (tis. Kč),2917999.14119761
Česko,4. čtvrtletí 2024,Domácnosti,Ostatní osobní náklady - meziroční rozdíl (tis. Kč),831423.5458292022
Česko,4. čtvrtletí 2024,Domácnosti,Ostatní osobní náklady - meziroční index (%),139.8463179419
Česko,4. čtvrtletí 2024,Vládní sektor,Mzdy včetně ostatních osobních nákladů (tis. Kč),156838867.94626936
Česko,4. čtvrtletí 2024,Vládní sektor,Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč),6912905.147648386
Česko,4. čtvrtletí 2024,Vládní sektor,Mzdy včetně ostatních osobních nákladů - meziroční index (%),104.6108792757
Česko,4. čtvrtletí 2024,Vládní sektor,Mzdy bez ostatních osobních nákladů (tis. Kč),147435321.63707867
Česko,4. čtvrtletí 2024,Vládní sektor,Mzdy bez ostatních osobních nákladů - meziroční rozdíl (tis. Kč),6173179.447879847
Česko,4. čtvrtletí 2024,Vládní sektor,Mzdy bez ostatních osobních nákladů - meziroční index (%),104.3700168723
Česko,4. čtvrtletí 2024,Vládní sektor,Ostatní osobní náklady (tis. Kč),9403546.309190672
Česko,4. čtvrtletí 2024,Vládní sektor,Ostatní osobní náklady - meziroční rozdíl (tis. Kč),739725.6997685392
Česko,4. čtvrtletí 2024,Vládní sektor,Ostatní osobní náklady - meziroční index (%),108.538100373
Česko,4. čtvrtletí 2024,Neziskové instituce sloužící domácnostem,Mzdy včetně ostatních osobních nákladů (tis. Kč),11272595.618557492
Česko,4. čtvrtletí 2024,Neziskové instituce sloužící domácnostem,Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč),1304927.0719620937
Česko,4. čtvrtletí 2024,Neziskové instituce sloužící domácnostem,Mzdy včetně ostatních osobních nákladů - meziroční index (%),113.0915977579
Česko,4. čtvrtletí 2024,Neziskové instituce sloužící domácnostem,Mzdy bez ostatních osobních nákladů (tis. Kč),9617458.221191453
Česko,4. čtvrtletí 2024,Neziskové instituce sloužící domácnostem,Mzdy bez ostatních osobních nákladů - meziroční rozdíl (tis. Kč),788889.3941533032
Česko,4. čtvrtletí 2024,Neziskové instituce sloužící domácnostem,Mzdy bez ostatních osobních nákladů - meziroční index (%),108.9356430199
Česko,4. čtvrtletí 2024,Neziskové instituce sloužící domácnostem,Ostatní osobní náklady (tis. Kč),1655137.397366039
Česko,4. čtvrtletí 2024,Neziskové instituce sloužící domácnostem,Ostatní osobní náklady - meziroční rozdíl (tis. Kč),516037.6778087904
Česko,4. čtvrtletí 2024,Neziskové instituce sloužící domácnostem,Ostatní osobní náklady - meziroční index (%),145.3022390357
