Území,Roky,Institucionální sektory,Ukazatel,value
Česko,2024,Celkem,Mzdy včetně ostatních osobních nákladů (tis. Kč),2374910921.5795417
Česko,2024,Celkem,Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč),135579209.57868505
Česko,2024,Celkem,Mzdy včetně ostatních osobních nákladů - meziroční index (%),106.0544495865
Česko,2024,Celkem,Mzdy bez ostatních osobních nákladů (tis. Kč),2217468379.1865635
Česko,2024,Celkem,Mzdy bez ostatních osobních nákladů - meziroční rozdíl (tis. Kč),138554445.30088758
Česko,2024,Celkem,Mzdy bez ostatních osobních nákladů - meziroční index (%),106.6647513898
Česko,2024,Celkem,Ostatní osobní náklady (tis. Kč),157442542.39297843
Česko,2024,Celkem,Ostatní osobní náklady - meziroční rozdíl (tis. Kč),-2975235.722202521
Česko,2024,Celkem,Ostatní osobní náklady - meziroční index (%),98.1453204519
Česko,2024,Nefinanční podniky,Mzdy včetně ostatních osobních nákladů (tis. Kč),1655278669.2819138
Česko,2024,Nefinanční podniky,Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč),94001133.09221688
Česko,2024,Nefinanční podniky,Mzdy včetně ostatních osobních nákladů - meziroční index (%),106.0207830391
Česko,2024,Nefinanční podniky,Mzdy bez ostatních osobních nákladů (tis. Kč),1552317760.7424304
Česko,2024,Nefinanční podniky,Mzdy bez ostatních osobních nákladů - meziroční rozdíl (tis. Kč),104516625.16810647
Česko,2024,Nefinanční podniky,Mzdy bez ostatních osobních nákladů - meziroční index (%),107.2189904124
Česko,2024,Nefinanční podniky,Ostatní osobní náklady (tis. Kč),102960908.53948314
Česko,2024,Nefinanční podniky,Ostatní osobní náklady - meziroční rozdíl (tis. Kč),-10515492.075889593
Česko,2024,Nefinanční podniky,Ostatní osobní náklady - meziroční index (%),90.7333225068
Česko,2024,Finanční podniky,Mzdy včetně ostatních osobních nákladů (tis. Kč),67298943.09001492
Česko,2024,Finanční podniky,Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč),3493288.761932468
Česko,2024,Finanční podniky,Mzdy včetně ostatních osobních nákladů - meziroční index (%),105.4748890184
Česko,2024,Finanční podniky,Mzdy bez ostatních osobních nákladů (tis. Kč),64099856.45949603
Česko,2024,Finanční podniky,Mzdy bez ostatních osobních nákladů - meziroční rozdíl (tis. Kč),3611026.6914396067
Česko,2024,Finanční podniky,Mzdy bez ostatních osobních nákladů - meziroční index (%),105.9697413643
Česko,2024,Finanční podniky,Ostatní osobní náklady (tis. Kč),3199086.630518893
Česko,2024,Finanční podniky,Ostatní osobní náklady - meziroční rozdíl (tis. Kč),-117737.9295071388
Česko,2024,Finanční podniky,Ostatní osobní náklady - meziroční index (%),96.4502816662
Česko,2024,Domácnosti,Mzdy včetně ostatních osobních nákladů (tis. Kč),53824841.58179183
Česko,2024,Domácnosti,Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč),5156284.781307226
Česko,2024,Domácnosti,Mzdy včetně ostatních osobních nákladů - meziroční index (%),110.5946942344
Česko,2024,Domácnosti,Mzdy bez ostatních osobních nákladů (tis. Kč),42619395.71792892
Česko,2024,Domácnosti,Mzdy bez ostatních osobních nákladů - meziroční rozdíl (tis. Kč),2019423.5444102937
Česko,2024,Domácnosti,Mzdy bez ostatních osobních nákladů - meziroční index (%),104.9739530258
Česko,2024,Domácnosti,Ostatní osobní náklady (tis. Kč),11205445.863862911
Česko,2024,Domácnosti,Ostatní osobní náklady - meziroční rozdíl (tis. Kč),3136861.2368969326
Česko,2024,Domácnosti,Ostatní osobní náklady - meziroční index (%),138.8774658992
Česko,2024,Vládní sektor,Mzdy včetně ostatních osobních nákladů (tis. Kč),558174502.3723388
Česko,2024,Vládní sektor,Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč),26982476.342850428
Česko,2024,Vládní sektor,Mzdy včetně ostatních osobních nákladů - meziroční index (%),105.0796086953
Česko,2024,Vládní sektor,Mzdy bez ostatních osobních nákladů (tis. Kč),524623202.8246569
Česko,2024,Vládní sektor,Mzdy bez ostatních osobních nákladů - meziroční rozdíl (tis. Kč),25060720.83327352
Česko,2024,Vládní sektor,Mzdy bez ostatních osobních nákladů - meziroční index (%),105.0165338144
Česko,2024,Vládní sektor,Ostatní osobní náklady (tis. Kč),33551299.547681864
Česko,2024,Vládní sektor,Ostatní osobní náklady - meziroční rozdíl (tis. Kč),1921755.5095769092
Česko,2024,Vládní sektor,Ostatní osobní náklady - meziroční index (%),106.0758242587
Česko,2024,Neziskové instituce sloužící domácnostem,Mzdy včetně ostatních osobních nákladů (tis. Kč),40333965.25348265
Česko,2024,Neziskové instituce sloužící domácnostem,Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč),5946026.600378057
Česko,2024,Neziskové instituce sloužící domácnostem,Mzdy včetně ostatních osobních nákladů - meziroční index (%),117.2910236358
Česko,2024,Neziskové instituce sloužící domácnostem,Mzdy bez ostatních osobních nákladů (tis. Kč),33808163.442051016
Česko,2024,Neziskové instituce sloužící domácnostem,Mzdy bez ostatních osobních nákladů - meziroční rozdíl (tis. Kč),3346649.063657688
Česko,2024,Neziskové instituce sloužící domácnostem,Mzdy bez ostatních osobních nákladů - meziroční index (%),110.9864828849
Česko,2024,Neziskové instituce sloužící domácnostem,Ostatní osobní náklady (tis. Kč),6525801.811431628
Česko,2024,Neziskové instituce sloužící domácnostem,Ostatní osobní náklady - meziroční rozdíl (tis. Kč),2599377.5367203695
Česko,2024,Neziskové instituce sloužící domácnostem,Ostatní osobní náklady - meziroční index (%),166.202156335
Česko,2024,Ústřední vládní instituce,Mzdy včetně ostatních osobních nákladů (tis. Kč),247863856.39331755
Česko,2024,Ústřední vládní instituce,Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč),10801239.489038305
Česko,2024,Ústřední vládní instituce,Mzdy včetně ostatních osobních nákladů - meziroční index (%),104.5562812181
Česko,2024,Ústřední vládní instituce,Mzdy bez ostatních osobních nákladů (tis. Kč),232989446.3196359
Česko,2024,Ústřední vládní instituce,Mzdy bez ostatních osobních nákladů - meziroční rozdíl (tis. Kč),9623990.253931327
Česko,2024,Ústřední vládní instituce,Mzdy bez ostatních osobních nákladů - meziroční index (%),104.3086296437
Česko,2024,Ústřední vládní instituce,Ostatní osobní náklady (tis. Kč),14874410.073681641
Česko,2024,Ústřední vládní instituce,Ostatní osobní náklady - meziroční rozdíl (tis. Kč),1177249.2351069783
Česko,2024,Ústřední vládní instituce,Ostatní osobní náklady - meziroční index (%),108.5948412885
Česko,2024,Místní vládní instituce,Mzdy včetně ostatních osobních nákladů (tis. Kč),305093473.18065333
Česko,2024,Místní vládní instituce,Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč),15812018.0554442
Česko,2024,Místní vládní instituce,Mzdy včetně ostatních osobních nákladů - meziroční index (%),105.4659632601
Česko,2024,Místní vládní instituce,Mzdy bez ostatních osobních nákladů (tis. Kč),286635087.8130546
Česko,2024,Místní vládní instituce,Mzdy bez ostatních osobních nákladů - meziroční rozdíl (tis. Kč),15085445.887375766
Česko,2024,Místní vládní instituce,Mzdy bez ostatních osobních nákladů - meziroční index (%),105.5553179081
Česko,2024,Místní vládní instituce,Ostatní osobní náklady (tis. Kč),18458385.367598724
Česko,2024,Místní vládní instituce,Ostatní osobní náklady - meziroční rozdíl (tis. Kč),726572.1680684338
Česko,2024,Místní vládní instituce,Ostatní osobní náklady - meziroční index (%),104.0975627246
Česko,2024,Fondy sociálního zabezpečení,Mzdy včetně ostatních osobních nákladů (tis. Kč),5217172.798367922
Česko,2024,Fondy sociálního zabezpečení,Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč),369218.7983679213
Česko,2024,Fondy sociálního zabezpečení,Mzdy včetně ostatních osobních nákladů - meziroční index (%),107.61597157
Česko,2024,Fondy sociálního zabezpečení,Mzdy bez ostatních osobních nákladů (tis. Kč),4998668.691966425
Česko,2024,Fondy sociálního zabezpečení,Mzdy bez ostatních osobních nákladů - meziroční rozdíl (tis. Kč),351284.6919664242
Česko,2024,Fondy sociálního zabezpečení,Mzdy bez ostatních osobních nákladů - meziroční index (%),107.5587619178
Česko,2024,Fondy sociálního zabezpečení,Ostatní osobní náklady (tis. Kč),218504.1064014971
Česko,2024,Fondy sociálního zabezpečení,Ostatní osobní náklady - meziroční rozdíl (tis. Kč),17934.1064014971
Česko,2024,Fondy sociálního zabezpečení,Ostatní osobní náklady - meziroční index (%),108.941569727
