Území,Čtvrtletí,Ukazatel,value
Česko,2. čtvrtletí 2025,Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),4038.0266474802
Česko,2. čtvrtletí 2025,Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob),14.3224619334
Česko,2. čtvrtletí 2025,Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),100.3559521593
Česko,2. čtvrtletí 2025,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),49402.4507044547
Česko,2. čtvrtletí 2025,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč),3583.2221937401
Česko,2. čtvrtletí 2025,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),107.8
Česko,2. čtvrtletí 2025,Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob),4263.2146092855
Česko,2. čtvrtletí 2025,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob),23.0493718156
Česko,2. čtvrtletí 2025,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%),100.5435960753
Česko,2. čtvrtletí 2025,Průměrná hrubá měsíční mzda na fyzické osoby (Kč),46792.9557102104
Česko,2. čtvrtletí 2025,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč),3312.8054774089
Česko,2. čtvrtletí 2025,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%),107.6191215064
Česko,1. čtvrtletí 2025,Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),4021.02948147
Česko,1. čtvrtletí 2025,Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob),11.5030957627
Česko,1. čtvrtletí 2025,Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),100.286894128
Česko,1. čtvrtletí 2025,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),46886.9351718122
Česko,1. čtvrtletí 2025,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč),2906.662267747
Česko,1. čtvrtletí 2025,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),106.6
Česko,1. čtvrtletí 2025,Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob),4246.8172986792
Česko,1. čtvrtletí 2025,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob),22.7255859499
Česko,1. čtvrtletí 2025,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%),100.5379993498
Česko,1. čtvrtletí 2025,Průměrná hrubá měsíční mzda na fyzické osoby (Kč),44394.1274987889
Česko,1. čtvrtletí 2025,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč),2647.8595074829
Česko,1. čtvrtletí 2025,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%),106.3427454354
Česko,4. čtvrtletí 2024,Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),4052.2648010223
Česko,4. čtvrtletí 2024,Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob),-18.6147787958
Česko,4. čtvrtletí 2024,Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),99.5427332489
Česko,4. čtvrtletí 2024,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),48666.9602253799
Česko,4. čtvrtletí 2024,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč),3134.904788627
Česko,4. čtvrtletí 2024,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),106.9
Česko,4. čtvrtletí 2024,Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob),4274.7426440044
Česko,4. čtvrtletí 2024,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob),8.9079659427
Česko,4. čtvrtletí 2024,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%),100.2088211714
Česko,4. čtvrtletí 2024,Průměrná hrubá měsíční mzda na fyzické osoby (Kč),46134.1012354658
Česko,4. čtvrtletí 2024,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč),2682.9296141486
Česko,4. čtvrtletí 2024,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%),106.1745852046
Česko,3. čtvrtletí 2024,Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),4018.6108529967
Česko,3. čtvrtletí 2024,Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob),-23.8508010348
Česko,3. čtvrtletí 2024,Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),99.4099931409
Česko,3. čtvrtletí 2024,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),45100.5675679599
Česko,3. čtvrtletí 2024,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč),3029.1429013586
Česko,3. čtvrtletí 2024,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),107.2
Česko,3. čtvrtletí 2024,Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob),4237.2579111166
Česko,3. čtvrtletí 2024,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob),5.5398562815
Česko,3. čtvrtletí 2024,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%),100.1309126981
Česko,3. čtvrtletí 2024,Průměrná hrubá měsíční mzda na fyzické osoby (Kč),42773.3298531162
Česko,3. čtvrtletí 2024,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč),2583.4781802492
Česko,3. čtvrtletí 2024,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%),106.4281854068
Česko,2. čtvrtletí 2024,Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),4023.7041855469
Česko,2. čtvrtletí 2024,Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob),-23.4097215056
Česko,2. čtvrtletí 2024,Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),99.4215699868
Česko,2. čtvrtletí 2024,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),45819.2285107146
Česko,2. čtvrtletí 2024,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč),3045.5077314394
Česko,2. čtvrtletí 2024,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),107.1
Česko,2. čtvrtletí 2024,Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob),4240.1652374698
Česko,2. čtvrtletí 2024,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob),2.7753614945
Česko,2. čtvrtletí 2024,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%),100.0654969586
Česko,2. čtvrtletí 2024,Průměrná hrubá měsíční mzda na fyzické osoby (Kč),43480.1502328015
Česko,2. čtvrtletí 2024,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč),2627.1427709045
Česko,2. čtvrtletí 2024,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%),106.4307206106
Česko,1. čtvrtletí 2024,Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),4009.5263857072
Česko,1. čtvrtletí 2024,Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob),-20.5985440376
Česko,1. čtvrtletí 2024,Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),99.4888857195
Česko,1. čtvrtletí 2024,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),43980.2729040652
Česko,1. čtvrtletí 2024,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč),3179.1666630207
Česko,1. čtvrtletí 2024,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),107.8
Česko,1. čtvrtletí 2024,Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob),4224.0917127293
Česko,1. čtvrtletí 2024,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob),6.2923249344
Česko,1. čtvrtletí 2024,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%),100.1491850218
Česko,1. čtvrtletí 2024,Průměrná hrubá měsíční mzda na fyzické osoby (Kč),41746.2679913061
Česko,1. čtvrtletí 2024,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč),2760.640581187
Česko,1. čtvrtletí 2024,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%),107.0811752037
Česko,4. čtvrtletí 2023,Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),4070.8795798181
Česko,4. čtvrtletí 2023,Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob),4.8633908153
Česko,4. čtvrtletí 2023,Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),100.1196107096
Česko,4. čtvrtletí 2023,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),45532.0554367528
Česko,4. čtvrtletí 2023,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč),2654.205642512
Česko,4. čtvrtletí 2023,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),106.190155652
Česko,4. čtvrtletí 2023,Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob),4265.8346780617
Česko,4. čtvrtletí 2023,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob),2.0736625487
Česko,4. čtvrtletí 2023,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%),100.0486345867
Česko,4. čtvrtletí 2023,Průměrná hrubá měsíční mzda na fyzické osoby (Kč),43451.1716213173
Česko,4. čtvrtletí 2023,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč),2561.9119328162
Česko,4. čtvrtletí 2023,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%),106.2654886695
Česko,3. čtvrtletí 2023,Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),4042.4616540316
Česko,3. čtvrtletí 2023,Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob),11.5963793327
Česko,3. čtvrtletí 2023,Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),100.2876895788
Česko,3. čtvrtletí 2023,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),42071.4246666013
Česko,3. čtvrtletí 2023,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč),2685.3029836398
Česko,3. čtvrtletí 2023,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),106.8178913508
Česko,3. čtvrtletí 2023,Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob),4231.718054835
Česko,3. čtvrtletí 2023,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob),7.2262842135
Česko,3. čtvrtletí 2023,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%),100.1710568893
Česko,3. čtvrtletí 2023,Průměrná hrubá měsíční mzda na fyzické osoby (Kč),40189.851672867
Česko,3. čtvrtletí 2023,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč),2608.964120669
