Území;Čtvrtletí;Institucionální sektory;Ukazatel;value
Česko;4. čtvrtletí 2024;Celkem;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);4048.0938110839
Česko;4. čtvrtletí 2024;Celkem;Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob);5.2725199678
Česko;4. čtvrtletí 2024;Celkem;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);100.1304168448
Česko;4. čtvrtletí 2024;Celkem;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);49228.5154016238
Česko;4. čtvrtletí 2024;Celkem;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč);3322.0009064371
Česko;4. čtvrtletí 2024;Celkem;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);107.2
Česko;4. čtvrtletí 2024;Celkem;Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob);4276.9791210003
Česko;4. čtvrtletí 2024;Celkem;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob);26.9086638889
Česko;4. čtvrtletí 2024;Celkem;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%);100.6331345365
Česko;4. čtvrtletí 2024;Celkem;Průměrná hrubá měsíční mzda na fyzické osoby (Kč);46594.0194909234
Česko;4. čtvrtletí 2024;Celkem;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč);2926.0765532884
Česko;4. čtvrtletí 2024;Celkem;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%);106.7007428252
Česko;4. čtvrtletí 2024;Nefinanční podniky;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);2850.0134249213
Česko;4. čtvrtletí 2024;Nefinanční podniky;Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob);-1.4179500427
Česko;4. čtvrtletí 2024;Nefinanční podniky;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);99.950272342
Česko;4. čtvrtletí 2024;Nefinanční podniky;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);48258.6668729758
Česko;4. čtvrtletí 2024;Nefinanční podniky;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč);3574.02783045
Česko;4. čtvrtletí 2024;Nefinanční podniky;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);107.9983365806
Česko;4. čtvrtletí 2024;Nefinanční podniky;Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob);2978.2743685906
Česko;4. čtvrtletí 2024;Nefinanční podniky;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob);14.4421170355
Česko;4. čtvrtletí 2024;Nefinanční podniky;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%);100.4872784898
