Čtvrtletí,Šetření,"ČR, regiony, kraje",Ukazatel,value
2. čtvrtletí 2025,Pracovištní metoda,Česko,Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),4038.0266474802
2. čtvrtletí 2025,Pracovištní metoda,Česko,Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob),14.3224619333
2. čtvrtletí 2025,Pracovištní metoda,Česko,Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),100.3559521593
2. čtvrtletí 2025,Pracovištní metoda,Česko,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),49402.4507044546
2. čtvrtletí 2025,Pracovištní metoda,Česko,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč),3583.2221937404
2. čtvrtletí 2025,Pracovištní metoda,Česko,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),107.8203459775
2. čtvrtletí 2025,Pracovištní metoda,Česko,Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob),4263.2146092855
2. čtvrtletí 2025,Pracovištní metoda,Česko,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob),23.0493718156
2. čtvrtletí 2025,Pracovištní metoda,Česko,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%),100.5435960753
2. čtvrtletí 2025,Pracovištní metoda,Česko,Průměrná hrubá měsíční mzda na fyzické osoby (Kč),46792.9557102102
2. čtvrtletí 2025,Pracovištní metoda,Česko,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč),3312.8054774089
2. čtvrtletí 2025,Pracovištní metoda,Česko,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%),107.6191215064
2. čtvrtletí 2025,Pracovištní metoda,Praha,Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),829.9847419464
2. čtvrtletí 2025,Pracovištní metoda,Praha,Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob),23.4241791186
2. čtvrtletí 2025,Pracovištní metoda,Praha,Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),102.9042058586
2. čtvrtletí 2025,Pracovištní metoda,Praha,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),62307.148054316
2. čtvrtletí 2025,Pracovištní metoda,Praha,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč),4728.1616522578
2. čtvrtletí 2025,Pracovištní metoda,Praha,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),108.2116097342
2. čtvrtletí 2025,Pracovištní metoda,Praha,Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob),887.2718183327
2. čtvrtletí 2025,Pracovištní metoda,Praha,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob),27.2390010627
2. čtvrtletí 2025,Pracovištní metoda,Praha,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%),103.1672048456
2. čtvrtletí 2025,Pracovištní metoda,Praha,Průměrná hrubá měsíční mzda na fyzické osoby (Kč),58284.2609567543
2. čtvrtletí 2025,Pracovištní metoda,Praha,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč),4285.2288885169
2. čtvrtletí 2025,Pracovištní metoda,Praha,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%),107.9357512985
2. čtvrtletí 2025,Pracovištní metoda,Střední Čechy,Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),426.3024670691
2. čtvrtletí 2025,Pracovištní metoda,Střední Čechy,Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob),0.2892271089
2. čtvrtletí 2025,Pracovištní metoda,Střední Čechy,Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),100.0678915775
2. čtvrtletí 2025,Pracovištní metoda,Střední Čechy,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),52380.873426365
