Území,Roky,Odvětví ekonomické činnosti,Ukazatel,value
Česko,2024,Celkem,Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),4026.0265563183
Česko,2024,Celkem,Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob),-21.6184613435
Česko,2024,Celkem,Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),99.4659002642
Česko,2024,Celkem,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),45898.6121959081
Česko,2024,Celkem,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč),3097.7175848769
Česko,2024,Celkem,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),107.2375066293
Česko,2024,Celkem,Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob),4244.06437633
Česko,2024,Celkem,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob),5.8788771633
Česko,2024,Celkem,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%),100.1387121249
Česko,2024,Celkem,Průměrná hrubá měsíční mzda na fyzické osoby (Kč),43540.5816720134
Česko,2024,Celkem,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč),2663.9310728673
Česko,2024,Celkem,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%),106.5169993965
Česko,2024,"A - Zemědělství, lesnictví, rybářství",Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),90.6088614704
Česko,2024,"A - Zemědělství, lesnictví, rybářství",Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob),-2.4336981757
Česko,2024,"A - Zemědělství, lesnictví, rybářství",Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),97.3843172577
Česko,2024,"A - Zemědělství, lesnictví, rybářství",Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),35296.7818462719
Česko,2024,"A - Zemědělství, lesnictví, rybářství",Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč),2385.5142757042
Česko,2024,"A - Zemědělství, lesnictví, rybářství",Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),107.2483208694
Česko,2024,"A - Zemědělství, lesnictví, rybářství",Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob),92.9919306101
Česko,2024,"A - Zemědělství, lesnictví, rybářství",Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob),-1.9258012647
Česko,2024,"A - Zemědělství, lesnictví, rybářství",Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%),97.9710837725
Česko,2024,"A - Zemědělství, lesnictví, rybářství",Průměrná hrubá měsíční mzda na fyzické osoby (Kč),34392.2445278328
Česko,2024,"A - Zemědělství, lesnictví, rybářství",Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč),2131.1641640662
Česko,2024,"A - Zemědělství, lesnictví, rybářství",Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%),106.605991306
Česko,2024,B-E - Průmysl celkem,Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),1161.6558965232
Česko,2024,B-E - Průmysl celkem,Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob),-22.4650395871
Česko,2024,B-E - Průmysl celkem,Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),98.1028086826
Česko,2024,B-E - Průmysl celkem,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),45770.5917076626
Česko,2024,B-E - Průmysl celkem,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč),3373.3294310429
Česko,2024,B-E - Průmysl celkem,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),107.9564793808
Česko,2024,B-E - Průmysl celkem,Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob),1182.5904270144
Česko,2024,B-E - Průmysl celkem,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob),-17.7416029582
Česko,2024,B-E - Průmysl celkem,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%),98.5219420531
Česko,2024,B-E - Průmysl celkem,Průměrná hrubá měsíční mzda na fyzické osoby (Kč),44960.3485111882
Česko,2024,B-E - Průmysl celkem,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč),3135.6828004411
