Území,Roky,Institucionální sektory,Ukazatel,value
Česko,2024,Celkem,Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),4026.0265563183
Česko,2024,Celkem,Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob),-21.6184613435
Česko,2024,Celkem,Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),99.4659002642
Česko,2024,Celkem,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),45898.6121959081
Česko,2024,Celkem,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč),3097.7175848769
Česko,2024,Celkem,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),107.2375066293
Česko,2024,Celkem,Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob),4244.06437633
Česko,2024,Celkem,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob),5.8788771633
Česko,2024,Celkem,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%),100.1387121249
Česko,2024,Celkem,Průměrná hrubá měsíční mzda na fyzické osoby (Kč),43540.5816720134
Česko,2024,Celkem,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč),2663.9310728673
Česko,2024,Celkem,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%),106.5169993965
Česko,2024,Nefinanční podniky,Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),2837.0478731153
Česko,2024,Nefinanční podniky,Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob),-24.7948552339
Česko,2024,Nefinanční podniky,Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),99.1336052471
Česko,2024,Nefinanční podniky,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),45596.6269096318
Česko,2024,Nefinanční podniky,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč),3438.4421023251
Česko,2024,Nefinanční podniky,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),108.1560487437
Česko,2024,Nefinanční podniky,Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob),2957.7874862558
Česko,2024,Nefinanční podniky,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob),-1.7231527685
Česko,2024,Nefinanční podniky,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%),99.9417757535
Česko,2024,Nefinanční podniky,Průměrná hrubá měsíční mzda na fyzické osoby (Kč),43735.3305456564
Česko,2024,Nefinanční podniky,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč),2968.423665751
Česko,2024,Nefinanční podniky,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%),107.2814542307
Česko,2024,Finanční podniky,Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),69.3326698245
Česko,2024,Finanční podniky,Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob),-0.4086899753
Česko,2024,Finanční podniky,Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),99.4139919605
Česko,2024,Finanční podniky,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),77043.8340032341
Česko,2024,Finanční podniky,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč),4766.2668827085
Česko,2024,Finanční podniky,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),106.5943930774
Česko,2024,Finanční podniky,Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob),71.9813362118
Česko,2024,Finanční podniky,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob),-0.4229598484
Česko,2024,Finanční podniky,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%),99.4158359773
Česko,2024,Finanční podniky,Průměrná hrubá měsíční mzda na fyzické osoby (Kč),74208.8850537426
Česko,2024,Finanční podniky,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč),4589.5932674009
Česko,2024,Finanční podniky,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%),106.5924159089
Česko,2024,Domácnosti,Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),138.5659176738
Česko,2024,Domácnosti,Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob),-7.0802889779
Česko,2024,Domácnosti,Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),95.1387069113
