ČR, kraje, okresy;Ukazatel;Pohlaví;Věkové skupiny;Roky;value
Česko;Uchazeči o zaměstnání v evidenci ÚP - celkem;Celkem;Celkem;2024;306478.0
Česko;Uchazeči o zaměstnání v evidenci ÚP - celkem;Celkem;Celkem;2023;279227.0
Česko;Uchazeči o zaměstnání v evidenci ÚP - celkem;Celkem;Celkem;2022;271803.0
Česko;Uchazeči o zaměstnání v evidenci ÚP - celkem;Celkem;Celkem;2021;258173.0
Česko;Uchazeči o zaměstnání v evidenci ÚP - celkem;Celkem;Celkem;2020;291977.0
Česko;Uchazeči o zaměstnání v evidenci ÚP - celkem;Celkem;Celkem;2019;215532.0
Česko;Uchazeči o zaměstnání v evidenci ÚP - celkem;Celkem;Celkem;2018;231534.0
Česko;Uchazeči o zaměstnání v evidenci ÚP - celkem;Celkem;Celkem;2017;280620.0
Česko;Uchazeči o zaměstnání v evidenci ÚP - celkem;Celkem;Celkem;2016;381373.0
Česko;Uchazeči o zaměstnání v evidenci ÚP - celkem;Celkem;Celkem;2015;453118.0
Česko;Uchazeči o zaměstnání v evidenci ÚP - celkem;Celkem;Celkem;2014;541914.0
Česko;Uchazeči o zaměstnání v evidenci ÚP - celkem;Celkem;do 19 let;2024;
Česko;Uchazeči o zaměstnání v evidenci ÚP - celkem;Celkem;do 19 let;2023;14310.0
Česko;Uchazeči o zaměstnání v evidenci ÚP - celkem;Celkem;do 19 let;2022;12391.0
Česko;Uchazeči o zaměstnání v evidenci ÚP - celkem;Celkem;do 19 let;2021;10405.0
Česko;Uchazeči o zaměstnání v evidenci ÚP - celkem;Celkem;do 19 let;2020;11144.0
Česko;Uchazeči o zaměstnání v evidenci ÚP - celkem;Celkem;do 19 let;2019;8364.0
Česko;Uchazeči o zaměstnání v evidenci ÚP - celkem;Celkem;do 19 let;2018;8454.0
Česko;Uchazeči o zaměstnání v evidenci ÚP - celkem;Celkem;do 19 let;2017;9265.0
Česko;Uchazeči o zaměstnání v evidenci ÚP - celkem;Celkem;do 19 let;2016;12459.0
Česko;Uchazeči o zaměstnání v evidenci ÚP - celkem;Celkem;do 19 let;2015;14446.0
Česko;Uchazeči o zaměstnání v evidenci ÚP - celkem;Celkem;do 19 let;2014;17370.0
Česko;Uchazeči o zaměstnání v evidenci ÚP - celkem;Celkem;20 až 24;2024;
Česko;Uchazeči o zaměstnání v evidenci ÚP - celkem;Celkem;20 až 24;2023;24472.0
Česko;Uchazeči o zaměstnání v evidenci ÚP - celkem;Celkem;20 až 24;2022;22311.0
Česko;Uchazeči o zaměstnání v evidenci ÚP - celkem;Celkem;20 až 24;2021;19727.0
Česko;Uchazeči o zaměstnání v evidenci ÚP - celkem;Celkem;20 až 24;2020;24803.0
Česko;Uchazeči o zaměstnání v evidenci ÚP - celkem;Celkem;20 až 24;2019;17302.0
