"ČR, kraje, okresy",Ukazatel,Pohlaví,Délka nezaměstnanosti,Roky,value
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Celkem,2024,306478.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Celkem,2023,279227.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Celkem,2022,271803.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Celkem,2021,258173.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Celkem,2020,291977.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Celkem,2019,215532.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Celkem,2018,231534.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Celkem,2017,280620.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Celkem,2016,381373.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Celkem,2015,453118.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Celkem,2014,541914.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Do 3 měsíců,2024,
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Do 3 měsíců,2023,93707.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Do 3 měsíců,2022,95168.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Do 3 měsíců,2021,81328.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Do 3 měsíců,2020,92627.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Do 3 měsíců,2019,94024.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Do 3 měsíců,2018,96208.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Do 3 měsíců,2017,98900.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Do 3 měsíců,2016,117961.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Do 3 měsíců,2015,129421.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Do 3 měsíců,2014,136168.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Více než 3 až 6 měsíců,2024,
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Více než 3 až 6 měsíců,2023,56283.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Více než 3 až 6 měsíců,2022,59333.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Více než 3 až 6 měsíců,2021,46689.0
