Území;Ukazatel;Čtvrtletí;value
Česko;Hrubý domácí produkt (mil. Kč, běžné ceny);1. čtvrtletí 1995;354007
Česko;Hrubý domácí produkt (mil. Kč, běžné ceny);2. čtvrtletí 1995;398647
Česko;Hrubý domácí produkt (mil. Kč, běžné ceny);3. čtvrtletí 1995;418234
Česko;Hrubý domácí produkt (mil. Kč, běžné ceny);4. čtvrtletí 1995;436703
Česko;Hrubý domácí produkt (mil. Kč, běžné ceny);1. čtvrtletí 1996;412362
Česko;Hrubý domácí produkt (mil. Kč, běžné ceny);2. čtvrtletí 1996;459843
Česko;Hrubý domácí produkt (mil. Kč, běžné ceny);3. čtvrtletí 1996;475375
Česko;Hrubý domácí produkt (mil. Kč, běžné ceny);4. čtvrtletí 1996;492976
Česko;Hrubý domácí produkt (mil. Kč, běžné ceny);1. čtvrtletí 1997;443888
Česko;Hrubý domácí produkt (mil. Kč, běžné ceny);2. čtvrtletí 1997;494137
Česko;Hrubý domácí produkt (mil. Kč, běžné ceny);3. čtvrtletí 1997;511068
Česko;Hrubý domácí produkt (mil. Kč, běžné ceny);4. čtvrtletí 1997;533330
Česko;Hrubý domácí produkt (mil. Kč, běžné ceny);1. čtvrtletí 1998;487783
Česko;Hrubý domácí produkt (mil. Kč, běžné ceny);2. čtvrtletí 1998;549518
Česko;Hrubý domácí produkt (mil. Kč, běžné ceny);3. čtvrtletí 1998;563516
Česko;Hrubý domácí produkt (mil. Kč, běžné ceny);4. čtvrtletí 1998;568067
Česko;Hrubý domácí produkt (mil. Kč, běžné ceny);1. čtvrtletí 1999;510054
Česko;Hrubý domácí produkt (mil. Kč, běžné ceny);2. čtvrtletí 1999;570520
Česko;Hrubý domácí produkt (mil. Kč, běžné ceny);3. čtvrtletí 1999;580921
Česko;Hrubý domácí produkt (mil. Kč, běžné ceny);4. čtvrtletí 1999;605780
Česko;Hrubý domácí produkt (mil. Kč, běžné ceny);1. čtvrtletí 2000;544207
Česko;Hrubý domácí produkt (mil. Kč, běžné ceny);2. čtvrtletí 2000;601962
Česko;Hrubý domácí produkt (mil. Kč, běžné ceny);3. čtvrtletí 2000;616431
Česko;Hrubý domácí produkt (mil. Kč, běžné ceny);4. čtvrtletí 2000;637100
Česko;Hrubý domácí produkt (mil. Kč, běžné ceny);1. čtvrtletí 2001;587849
Česko;Hrubý domácí produkt (mil. Kč, běžné ceny);2. čtvrtletí 2001;646570
Česko;Hrubý domácí produkt (mil. Kč, běžné ceny);3. čtvrtletí 2001;664252
Česko;Hrubý domácí produkt (mil. Kč, běžné ceny);4. čtvrtletí 2001;692903
Česko;Hrubý domácí produkt (mil. Kč, běžné ceny);1. čtvrtletí 2002;622419
Česko;Hrubý domácí produkt (mil. Kč, běžné ceny);2. čtvrtletí 2002;684240
Česko;Hrubý domácí produkt (mil. Kč, běžné ceny);3. čtvrtletí 2002;691652
Česko;Hrubý domácí produkt (mil. Kč, běžné ceny);4. čtvrtletí 2002;706155
Česko;Hrubý domácí produkt (mil. Kč, běžné ceny);1. čtvrtletí 2003;652010
Česko;Hrubý domácí produkt (mil. Kč, běžné ceny);2. čtvrtletí 2003;713077
Česko;Hrubý domácí produkt (mil. Kč, běžné ceny);3. čtvrtletí 2003;724366
Česko;Hrubý domácí produkt (mil. Kč, běžné ceny);4. čtvrtletí 2003;743744
