Ukazatel;ČR, Reg. soudržnosti, Kraje;Odvětví;Roky;value
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Celkem;1990;193904.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Celkem;1991;234336.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Celkem;1992;275659.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Celkem;1993;343941.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Celkem;1994;411715.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Celkem;1995;538248.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Celkem;1996;628793.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Celkem;1997;640667.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Celkem;1998;668880.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Celkem;1999;680543.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Celkem;2000;746447.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Celkem;2001;803390.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Celkem;2002;801454.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Celkem;2003;828755.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Celkem;2004;882501.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Celkem;2005;938038.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Celkem;2006;993804.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Celkem;2007;1144129.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Celkem;2008;1167085.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Celkem;2009;1072552.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Celkem;2010;1069618.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Celkem;2011;1068820.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Celkem;2012;1045045.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Celkem;2013;1032888.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Celkem;2014;1083151.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Celkem;2015;1194421.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Celkem;2016;1177309.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Celkem;2017;1228924.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Celkem;2018;1360492.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Celkem;2019;1517682.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Celkem;2020;1488282.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Celkem;2021;1654963.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Celkem;2022;1951952.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Celkem;2023;2079836.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Celkem;2024;2096104.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Zemědělství, lesnictví, rybářství;1990;
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Zemědělství, lesnictví, rybářství;1991;
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Zemědělství, lesnictví, rybářství;1992;
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Zemědělství, lesnictví, rybářství;1993;9573.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Zemědělství, lesnictví, rybářství;1994;13846.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Zemědělství, lesnictví, rybářství;1995;22092.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Zemědělství, lesnictví, rybářství;1996;25155.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Zemědělství, lesnictví, rybářství;1997;18529.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Zemědělství, lesnictví, rybářství;1998;18543.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Zemědělství, lesnictví, rybářství;1999;14747.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Zemědělství, lesnictví, rybářství;2000;18311.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Zemědělství, lesnictví, rybářství;2001;23154.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Zemědělství, lesnictví, rybářství;2002;21881.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Zemědělství, lesnictví, rybářství;2003;16526.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Zemědělství, lesnictví, rybářství;2004;19373.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Zemědělství, lesnictví, rybářství;2005;19161.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Zemědělství, lesnictví, rybářství;2006;20633.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Zemědělství, lesnictví, rybářství;2007;27401.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Zemědělství, lesnictví, rybářství;2008;25294.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Zemědělství, lesnictví, rybářství;2009;20327.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Zemědělství, lesnictví, rybářství;2010;23695.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Zemědělství, lesnictví, rybářství;2011;27820.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Zemědělství, lesnictví, rybářství;2012;38488.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Zemědělství, lesnictví, rybářství;2013;36456.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Zemědělství, lesnictví, rybářství;2014;36996.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Zemědělství, lesnictví, rybářství;2015;30329.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Zemědělství, lesnictví, rybářství;2016;39023.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Zemědělství, lesnictví, rybářství;2017;42027.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Zemědělství, lesnictví, rybářství;2018;40798.0
