Typ indexu;Ukazatel;Očištění;Území;Odvětví (NACE);Měsíce;value
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;45+47 Maloobchod (vč.maloobchodního prodeje pohonných hmot) a prodej a opravy motorových vozidel;leden 2000;
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;45+47 Maloobchod (vč.maloobchodního prodeje pohonných hmot) a prodej a opravy motorových vozidel;únor 2000;
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;45+47 Maloobchod (vč.maloobchodního prodeje pohonných hmot) a prodej a opravy motorových vozidel;březen 2000;
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;45+47 Maloobchod (vč.maloobchodního prodeje pohonných hmot) a prodej a opravy motorových vozidel;duben 2000;
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;45+47 Maloobchod (vč.maloobchodního prodeje pohonných hmot) a prodej a opravy motorových vozidel;květen 2000;
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;45+47 Maloobchod (vč.maloobchodního prodeje pohonných hmot) a prodej a opravy motorových vozidel;červen 2000;
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;45+47 Maloobchod (vč.maloobchodního prodeje pohonných hmot) a prodej a opravy motorových vozidel;červenec 2000;
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;45+47 Maloobchod (vč.maloobchodního prodeje pohonných hmot) a prodej a opravy motorových vozidel;srpen 2000;
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;45+47 Maloobchod (vč.maloobchodního prodeje pohonných hmot) a prodej a opravy motorových vozidel;září 2000;
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;45+47 Maloobchod (vč.maloobchodního prodeje pohonných hmot) a prodej a opravy motorových vozidel;říjen 2000;
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;45+47 Maloobchod (vč.maloobchodního prodeje pohonných hmot) a prodej a opravy motorových vozidel;listopad 2000;
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;45+47 Maloobchod (vč.maloobchodního prodeje pohonných hmot) a prodej a opravy motorových vozidel;prosinec 2000;
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;45+47 Maloobchod (vč.maloobchodního prodeje pohonných hmot) a prodej a opravy motorových vozidel;leden 2001;109.821306288
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;45+47 Maloobchod (vč.maloobchodního prodeje pohonných hmot) a prodej a opravy motorových vozidel;únor 2001;102.7307503185
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;45+47 Maloobchod (vč.maloobchodního prodeje pohonných hmot) a prodej a opravy motorových vozidel;březen 2001;107.2598839738
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;45+47 Maloobchod (vč.maloobchodního prodeje pohonných hmot) a prodej a opravy motorových vozidel;duben 2001;108.2698373077
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;45+47 Maloobchod (vč.maloobchodního prodeje pohonných hmot) a prodej a opravy motorových vozidel;květen 2001;107.4386036163
