Typ indexu,Ukazatel,Očištění,Území,Odvětví (NACE),Měsíce,value
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"46 Velkoobchod, kromě motorových vozidel",leden 2015,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"46 Velkoobchod, kromě motorových vozidel",únor 2015,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"46 Velkoobchod, kromě motorových vozidel",březen 2015,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"46 Velkoobchod, kromě motorových vozidel",duben 2015,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"46 Velkoobchod, kromě motorových vozidel",květen 2015,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"46 Velkoobchod, kromě motorových vozidel",červen 2015,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"46 Velkoobchod, kromě motorových vozidel",červenec 2015,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"46 Velkoobchod, kromě motorových vozidel",srpen 2015,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"46 Velkoobchod, kromě motorových vozidel",září 2015,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"46 Velkoobchod, kromě motorových vozidel",říjen 2015,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"46 Velkoobchod, kromě motorových vozidel",listopad 2015,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"46 Velkoobchod, kromě motorových vozidel",prosinec 2015,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"46 Velkoobchod, kromě motorových vozidel",leden 2016,100.3821246473
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"46 Velkoobchod, kromě motorových vozidel",únor 2016,100.5896316206
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"46 Velkoobchod, kromě motorových vozidel",březen 2016,98.0600099257
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"46 Velkoobchod, kromě motorových vozidel",duben 2016,98.3486412691
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"46 Velkoobchod, kromě motorových vozidel",květen 2016,97.3676845196
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"46 Velkoobchod, kromě motorových vozidel",červen 2016,100.4734075666
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"46 Velkoobchod, kromě motorových vozidel",červenec 2016,99.6445910327
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"46 Velkoobchod, kromě motorových vozidel",srpen 2016,101.1994076882
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"46 Velkoobchod, kromě motorových vozidel",září 2016,100.7355279299
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"46 Velkoobchod, kromě motorových vozidel",říjen 2016,99.0006600928
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"46 Velkoobchod, kromě motorových vozidel",listopad 2016,99.037359986
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"46 Velkoobchod, kromě motorových vozidel",prosinec 2016,99.6960197664
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"46 Velkoobchod, kromě motorových vozidel",leden 2017,98.3760284826
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"46 Velkoobchod, kromě motorových vozidel",únor 2017,99.8689115012
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"46 Velkoobchod, kromě motorových vozidel",březen 2017,102.7160673402
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"46 Velkoobchod, kromě motorových vozidel",duben 2017,102.4407681866
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"46 Velkoobchod, kromě motorových vozidel",květen 2017,105.3477048046
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"46 Velkoobchod, kromě motorových vozidel",červen 2017,102.1220851643
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"46 Velkoobchod, kromě motorových vozidel",červenec 2017,102.1968464249
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"46 Velkoobchod, kromě motorových vozidel",srpen 2017,101.8186678031
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"46 Velkoobchod, kromě motorových vozidel",září 2017,101.3107128724
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"46 Velkoobchod, kromě motorových vozidel",říjen 2017,103.0328881331
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"46 Velkoobchod, kromě motorových vozidel",listopad 2017,102.8304406093
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"46 Velkoobchod, kromě motorových vozidel",prosinec 2017,104.3021243369
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"46 Velkoobchod, kromě motorových vozidel",leden 2018,105.4745209614
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"46 Velkoobchod, kromě motorových vozidel",únor 2018,102.451054443
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"46 Velkoobchod, kromě motorových vozidel",březen 2018,100.2978305237
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"46 Velkoobchod, kromě motorových vozidel",duben 2018,102.321616853
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"46 Velkoobchod, kromě motorových vozidel",květen 2018,99.6869265171
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"46 Velkoobchod, kromě motorových vozidel",červen 2018,100.0310168779
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"46 Velkoobchod, kromě motorových vozidel",červenec 2018,101.9866826305
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"46 Velkoobchod, kromě motorových vozidel",srpen 2018,100.0715906505
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"46 Velkoobchod, kromě motorových vozidel",září 2018,101.6278400574
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"46 Velkoobchod, kromě motorových vozidel",říjen 2018,99.8325863119
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"46 Velkoobchod, kromě motorových vozidel",listopad 2018,98.9507879678
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"46 Velkoobchod, kromě motorových vozidel",prosinec 2018,97.5161944773
