Typ indexu,Ukazatel,Očištění,Území,Odvětví (NACE),Roky,value
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"46 Velkoobchod, kromě motorových vozidel",2015,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"46 Velkoobchod, kromě motorových vozidel",2016,99.5391847699
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"46 Velkoobchod, kromě motorových vozidel",2017,102.1883637321
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"46 Velkoobchod, kromě motorových vozidel",2018,100.8293176153
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"46 Velkoobchod, kromě motorových vozidel",2019,100.523736569
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"46 Velkoobchod, kromě motorových vozidel",2020,102.5620262648
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"46 Velkoobchod, kromě motorových vozidel",2021,103.023025784
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"46 Velkoobchod, kromě motorových vozidel",2022,94.0371183097
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"46 Velkoobchod, kromě motorových vozidel",2023,94.7477969799
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"46 Velkoobchod, kromě motorových vozidel",2024,94.6271707379
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,46.1 Zprostředkování velkoobchodu a velkoobchod v zastoupení,2015,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,46.1 Zprostředkování velkoobchodu a velkoobchod v zastoupení,2016,102.8587803217
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,46.1 Zprostředkování velkoobchodu a velkoobchod v zastoupení,2017,98.9925403885
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,46.1 Zprostředkování velkoobchodu a velkoobchod v zastoupení,2018,101.0712941343
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,46.1 Zprostředkování velkoobchodu a velkoobchod v zastoupení,2019,96.3959168414
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,46.1 Zprostředkování velkoobchodu a velkoobchod v zastoupení,2020,99.3941519437
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,46.1 Zprostředkování velkoobchodu a velkoobchod v zastoupení,2021,101.1797868036
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,46.1 Zprostředkování velkoobchodu a velkoobchod v zastoupení,2022,94.6816484816
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,46.1 Zprostředkování velkoobchodu a velkoobchod v zastoupení,2023,105.3444483177
