Typ indexu;Ukazatel;Očištění;Území;Odvětví (NACE);Roky;value
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46 Velkoobchod, kromě motorových vozidel;2015;
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46 Velkoobchod, kromě motorových vozidel;2016;100.0008671749
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46 Velkoobchod, kromě motorových vozidel;2017;101.5691983558
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46 Velkoobchod, kromě motorových vozidel;2018;100.8605842259
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46 Velkoobchod, kromě motorových vozidel;2019;100.4797626124
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46 Velkoobchod, kromě motorových vozidel;2020;102.8455335596
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46 Velkoobchod, kromě motorových vozidel;2021;103.0670046575
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46 Velkoobchod, kromě motorových vozidel;2022;92.9837538834
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46 Velkoobchod, kromě motorových vozidel;2023;95.4911601818
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46 Velkoobchod, kromě motorových vozidel;2024;94.521726736
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.1 Zprostředkování velkoobchodu a velkoobchod v zastoupení;2015;
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.1 Zprostředkování velkoobchodu a velkoobchod v zastoupení;2016;103.043916279
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.1 Zprostředkování velkoobchodu a velkoobchod v zastoupení;2017;98.7440523141
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.1 Zprostředkování velkoobchodu a velkoobchod v zastoupení;2018;100.6837172466
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.1 Zprostředkování velkoobchodu a velkoobchod v zastoupení;2019;96.8703231477
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.1 Zprostředkování velkoobchodu a velkoobchod v zastoupení;2020;99.2730476298
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.1 Zprostředkování velkoobchodu a velkoobchod v zastoupení;2021;101.0405510925
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.1 Zprostředkování velkoobchodu a velkoobchod v zastoupení;2022;94.6991112112
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.1 Zprostředkování velkoobchodu a velkoobchod v zastoupení;2023;105.6381856653
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.1 Zprostředkování velkoobchodu a velkoobchod v zastoupení;2024;104.4958319269
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.2 Velkoobchod se základními zemědělskými produkty a živými zvířaty;2015;
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.2 Velkoobchod se základními zemědělskými produkty a živými zvířaty;2016;99.5643559934
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.2 Velkoobchod se základními zemědělskými produkty a živými zvířaty;2017;93.5333219385
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.2 Velkoobchod se základními zemědělskými produkty a živými zvířaty;2018;91.0679700948
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.2 Velkoobchod se základními zemědělskými produkty a živými zvířaty;2019;97.0016095912
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.2 Velkoobchod se základními zemědělskými produkty a živými zvířaty;2020;106.3333447488
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.2 Velkoobchod se základními zemědělskými produkty a živými zvířaty;2021;96.7925309646
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.2 Velkoobchod se základními zemědělskými produkty a živými zvířaty;2022;87.4042054161
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.2 Velkoobchod se základními zemědělskými produkty a živými zvířaty;2023;105.5029101731
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.2 Velkoobchod se základními zemědělskými produkty a živými zvířaty;2024;107.1303482605
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.3 Velkoobchod s potravinami, nápoji a tabákovými výrobky;2015;
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.3 Velkoobchod s potravinami, nápoji a tabákovými výrobky;2016;100.5113400234
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.3 Velkoobchod s potravinami, nápoji a tabákovými výrobky;2017;96.6182899388
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.3 Velkoobchod s potravinami, nápoji a tabákovými výrobky;2018;100.1787684387
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.3 Velkoobchod s potravinami, nápoji a tabákovými výrobky;2019;100.1626335465
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.3 Velkoobchod s potravinami, nápoji a tabákovými výrobky;2020;92.6188352726
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.3 Velkoobchod s potravinami, nápoji a tabákovými výrobky;2021;102.1601505278
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.3 Velkoobchod s potravinami, nápoji a tabákovými výrobky;2022;100.812081892
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.3 Velkoobchod s potravinami, nápoji a tabákovými výrobky;2023;92.5954085793
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.3 Velkoobchod s potravinami, nápoji a tabákovými výrobky;2024;102.5191650617
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.4 Velkoobchod s výrobky převážně pro domácnost;2015;
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.4 Velkoobchod s výrobky převážně pro domácnost;2016;103.1831040509
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.4 Velkoobchod s výrobky převážně pro domácnost;2017;101.8818436271
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.4 Velkoobchod s výrobky převážně pro domácnost;2018;100.0896091146
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.4 Velkoobchod s výrobky převážně pro domácnost;2019;101.9272734858
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.4 Velkoobchod s výrobky převážně pro domácnost;2020;103.1507667204
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.4 Velkoobchod s výrobky převážně pro domácnost;2021;107.783451187
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.4 Velkoobchod s výrobky převážně pro domácnost;2022;94.5748056454
