Území,Měsíce,Ukazatel,value
Česko,červen 2025,Sňatky na 1 000 obyvatel,8.302736221
Česko,červen 2025,Rozvody na 1 000 obyvatel,1.913866219
Česko,červen 2025,Živě narození na 1 000 obyvatel,7.181469972
Česko,červen 2025,Potraty na 1 000 obyvatel,
Česko,červen 2025,UPT na 1 000 obyvatel,
Česko,červen 2025,Zemřelí na 1 000 obyvatel,9.8912899
Česko,červen 2025,Přistěhovalí na 1 000 obyvatel,10.69730482
Česko,červen 2025,Vystěhovalí na 1 000 obyvatel,10.30938918
Česko,červen 2025,Přirozený přírůstek/úbytek na 1 000 obyvatel,-2.709819927
Česko,červen 2025,Přírůstek/úbytek stěhováním na 1 000 obyvatel,0.387915641
Česko,červen 2025,Celkový přírůstek/úbytek na 1 000 obyvatel,-2.321904286
Česko,červen 2025,Kojenecká úmrtnost,2.02366127
Česko,červen 2025,Novorozenecká úmrtnost,0.933997509
Česko,květen 2025,Sňatky na 1 000 obyvatel,4.72410959
Česko,květen 2025,Rozvody na 1 000 obyvatel,1.864979376
Česko,květen 2025,Živě narození na 1 000 obyvatel,6.780563067
Česko,květen 2025,Potraty na 1 000 obyvatel,
Česko,květen 2025,UPT na 1 000 obyvatel,
Česko,květen 2025,Zemřelí na 1 000 obyvatel,9.70784508
Česko,květen 2025,Přistěhovalí na 1 000 obyvatel,7.509679134
Česko,květen 2025,Vystěhovalí na 1 000 obyvatel,3.994993524
Česko,květen 2025,Přirozený přírůstek/úbytek na 1 000 obyvatel,-2.927282013
Česko,květen 2025,Přírůstek/úbytek stěhováním na 1 000 obyvatel,3.51468561
Česko,květen 2025,Celkový přírůstek/úbytek na 1 000 obyvatel,0.587403597
Česko,květen 2025,Kojenecká úmrtnost,2.712188896
Česko,květen 2025,Novorozenecká úmrtnost,1.91448628
Česko,duben 2025,Sňatky na 1 000 obyvatel,2.74007129
Česko,duben 2025,Rozvody na 1 000 obyvatel,2.039122821
Česko,duben 2025,Živě narození na 1 000 obyvatel,6.823906632
Česko,duben 2025,Potraty na 1 000 obyvatel,
Česko,duben 2025,UPT na 1 000 obyvatel,
Česko,duben 2025,Zemřelí na 1 000 obyvatel,10.0424563
Česko,duben 2025,Přistěhovalí na 1 000 obyvatel,8.21350623
Česko,duben 2025,Vystěhovalí na 1 000 obyvatel,3.28562608
Česko,duben 2025,Přirozený přírůstek/úbytek na 1 000 obyvatel,-3.218549671
Česko,duben 2025,Přírůstek/úbytek stěhováním na 1 000 obyvatel,4.92788015
Česko,duben 2025,Celkový přírůstek/úbytek na 1 000 obyvatel,1.709330479
Česko,duben 2025,Kojenecká úmrtnost,3.276539974
Česko,duben 2025,Novorozenecká úmrtnost,2.129750983
Česko,březen 2025,Sňatky na 1 000 obyvatel,1.413292594
Česko,březen 2025,Rozvody na 1 000 obyvatel,1.981635029
Česko,březen 2025,Živě narození na 1 000 obyvatel,6.75635978
Česko,březen 2025,Potraty na 1 000 obyvatel,
Česko,březen 2025,UPT na 1 000 obyvatel,
Česko,březen 2025,Zemřelí na 1 000 obyvatel,10.86873869
Česko,březen 2025,Přistěhovalí na 1 000 obyvatel,9.001636547
Česko,březen 2025,Vystěhovalí na 1 000 obyvatel,36.54895665
Česko,březen 2025,Přirozený přírůstek/úbytek na 1 000 obyvatel,-4.11237891
Česko,březen 2025,Přírůstek/úbytek stěhováním na 1 000 obyvatel,-27.5473201
Česko,březen 2025,Celkový přírůstek/úbytek na 1 000 obyvatel,-31.65969901
Česko,březen 2025,Kojenecká úmrtnost,2.718695026
Česko,březen 2025,Novorozenecká úmrtnost,1.919078842
Česko,únor 2025,Sňatky na 1 000 obyvatel,1.191058238
Česko,únor 2025,Rozvody na 1 000 obyvatel,1.930541737
Česko,únor 2025,Živě narození na 1 000 obyvatel,6.928924552
Česko,únor 2025,Potraty na 1 000 obyvatel,
Česko,únor 2025,UPT na 1 000 obyvatel,
Česko,únor 2025,Zemřelí na 1 000 obyvatel,11.75288961
Česko,únor 2025,Přistěhovalí na 1 000 obyvatel,8.344575516
Česko,únor 2025,Vystěhovalí na 1 000 obyvatel,3.920815583
Česko,únor 2025,Přirozený přírůstek/úbytek na 1 000 obyvatel,-4.823965059
Česko,únor 2025,Přírůstek/úbytek stěhováním na 1 000 obyvatel,4.423759934
Česko,únor 2025,Celkový přírůstek/úbytek na 1 000 obyvatel,-0.400205125
Česko,únor 2025,Kojenecká úmrtnost,3.965517241
Česko,únor 2025,Novorozenecká úmrtnost,2.586206897
Česko,leden 2025,Sňatky na 1 000 obyvatel,0.848202347
Česko,leden 2025,Rozvody na 1 000 obyvatel,1.810793307
Česko,leden 2025,Živě narození na 1 000 obyvatel,7.107201858
Česko,leden 2025,Potraty na 1 000 obyvatel,
Česko,leden 2025,UPT na 1 000 obyvatel,
Česko,leden 2025,Zemřelí na 1 000 obyvatel,11.8985739
Česko,leden 2025,Přistěhovalí na 1 000 obyvatel,11.23058757
Česko,leden 2025,Vystěhovalí na 1 000 obyvatel,3.760795396
Česko,leden 2025,Přirozený přírůstek/úbytek na 1 000 obyvatel,-4.791372039
Česko,leden 2025,Přírůstek/úbytek stěhováním na 1 000 obyvatel,7.469792175
Česko,leden 2025,Celkový přírůstek/úbytek na 1 000 obyvatel,2.678420135
Česko,leden 2025,Kojenecká úmrtnost,1.973883996
Česko,leden 2025,Novorozenecká úmrtnost,0.759186152
Česko,prosinec 2024,Sňatky na 1 000 obyvatel,1.1222917274
Česko,prosinec 2024,Rozvody na 1 000 obyvatel,1.9989130381
Česko,prosinec 2024,Živě narození na 1 000 obyvatel,7.0789876459
Česko,prosinec 2024,Potraty na 1 000 obyvatel,
Česko,prosinec 2024,UPT na 1 000 obyvatel,
Česko,prosinec 2024,Zemřelí na 1 000 obyvatel,11.0140433072
Česko,prosinec 2024,Přistěhovalí na 1 000 obyvatel,6.3095089399
Česko,prosinec 2024,Vystěhovalí na 1 000 obyvatel,1.6958834492
Česko,prosinec 2024,Přirozený přírůstek/úbytek na 1 000 obyvatel,-3.9350556613
Česko,prosinec 2024,Přírůstek/úbytek stěhováním na 1 000 obyvatel,4.6136254907
Česko,prosinec 2024,Celkový přírůstek/úbytek na 1 000 obyvatel,0.6785698294
Česko,prosinec 2024,Kojenecká úmrtnost,4.4335728482
Česko,prosinec 2024,Novorozenecká úmrtnost,3.5162819141
Česko,listopad 2024,Sňatky na 1 000 obyvatel,1.8267498842
Česko,listopad 2024,Rozvody na 1 000 obyvatel,1.983360407
Česko,listopad 2024,Živě narození na 1 000 obyvatel,7.2286942754
Česko,listopad 2024,Potraty na 1 000 obyvatel,
Česko,listopad 2024,UPT na 1 000 obyvatel,
Česko,listopad 2024,Zemřelí na 1 000 obyvatel,10.2635824785
Česko,listopad 2024,Přistěhovalí na 1 000 obyvatel,11.5153480146
Česko,listopad 2024,Vystěhovalí na 1 000 obyvatel,2.1321404037
Česko,listopad 2024,Přirozený přírůstek/úbytek na 1 000 obyvatel,-3.0348882032
Česko,listopad 2024,Přírůstek/úbytek stěhováním na 1 000 obyvatel,9.3832076109
Česko,listopad 2024,Celkový přírůstek/úbytek na 1 000 obyvatel,6.3483194077
Česko,listopad 2024,Kojenecká úmrtnost,3.7140204271
Česko,listopad 2024,Novorozenecká úmrtnost,2.9402661715
Česko,říjen 2024,Sňatky na 1 000 obyvatel,3.5084177499
Česko,říjen 2024,Rozvody na 1 000 obyvatel,1.9512866622
Česko,říjen 2024,Živě narození na 1 000 obyvatel,7.4066596943
