Území;Čtvrtletí;Ukazatel;value
Česko;4. čtvrtletí 2024;Sňatky na 1 000 obyvatel;2.1558073553
Česko;4. čtvrtletí 2024;Rozvody na 1 000 obyvatel;1.97779822
Česko;4. čtvrtletí 2024;Živě narození na 1 000 obyvatel;7.2381870306
Česko;4. čtvrtletí 2024;Potraty na 1 000 obyvatel;
Česko;4. čtvrtletí 2024;UPT na 1 000 obyvatel;
Česko;4. čtvrtletí 2024;Zemřelí na 1 000 obyvatel;10.6925856185
Česko;4. čtvrtletí 2024;Přistěhovalí na 1 000 obyvatel;10.0250513613
Česko;4. čtvrtletí 2024;Vystěhovalí na 1 000 obyvatel;4.2572635607
Česko;4. čtvrtletí 2024;Přirozený přírůstek/úbytek na 1 000 obyvatel;-3.4543985879
Česko;4. čtvrtletí 2024;Přírůstek/úbytek stěhováním na 1 000 obyvatel;5.7677878006
Česko;4. čtvrtletí 2024;Celkový přírůstek/úbytek na 1 000 obyvatel;2.3133892127
Česko;4. čtvrtletí 2024;Kojenecká úmrtnost;3.4269011742
Česko;4. čtvrtletí 2024;Novorozenecká úmrtnost;2.5701758807
Česko;3. čtvrtletí 2024;Sňatky na 1 000 obyvatel;7.1605611507
Česko;3. čtvrtletí 2024;Rozvody na 1 000 obyvatel;1.8085765239
Česko;3. čtvrtletí 2024;Živě narození na 1 000 obyvatel;8.0904045917
Česko;3. čtvrtletí 2024;Potraty na 1 000 obyvatel;
Česko;3. čtvrtletí 2024;UPT na 1 000 obyvatel;
Česko;3. čtvrtletí 2024;Zemřelí na 1 000 obyvatel;9.9019017075
Česko;3. čtvrtletí 2024;Přistěhovalí na 1 000 obyvatel;12.8531598059
Česko;3. čtvrtletí 2024;Vystěhovalí na 1 000 obyvatel;4.9715775339
Česko;3. čtvrtletí 2024;Přirozený přírůstek/úbytek na 1 000 obyvatel;-1.8114971158
Česko;3. čtvrtletí 2024;Přírůstek/úbytek stěhováním na 1 000 obyvatel;7.881582272
Česko;3. čtvrtletí 2024;Celkový přírůstek/úbytek na 1 000 obyvatel;6.0700851562
Česko;3. čtvrtletí 2024;Kojenecká úmrtnost;1.9403456523
Česko;3. čtvrtletí 2024;Novorozenecká úmrtnost;1.3086052073
Česko;2. čtvrtletí 2024;Sňatky na 1 000 obyvatel;5.7644015992
Česko;2. čtvrtletí 2024;Rozvody na 1 000 obyvatel;2.01648684
Česko;2. čtvrtletí 2024;Živě narození na 1 000 obyvatel;7.8836723302
Česko;2. čtvrtletí 2024;Potraty na 1 000 obyvatel;
Česko;2. čtvrtletí 2024;UPT na 1 000 obyvatel;
Česko;2. čtvrtletí 2024;Zemřelí na 1 000 obyvatel;9.6428297164
Česko;2. čtvrtletí 2024;Přistěhovalí na 1 000 obyvatel;11.2888508774
Česko;2. čtvrtletí 2024;Vystěhovalí na 1 000 obyvatel;2.6904977511
Česko;2. čtvrtletí 2024;Přirozený přírůstek/úbytek na 1 000 obyvatel;-1.7591573863
Česko;2. čtvrtletí 2024;Přírůstek/úbytek stěhováním na 1 000 obyvatel;8.5983531262
Česko;2. čtvrtletí 2024;Celkový přírůstek/úbytek na 1 000 obyvatel;6.83919574
Česko;2. čtvrtletí 2024;Kojenecká úmrtnost;1.6414200628
Česko;2. čtvrtletí 2024;Novorozenecká úmrtnost;1.1255451859
Česko;1. čtvrtletí 2024;Sňatky na 1 000 obyvatel;1.2438914036
Česko;1. čtvrtletí 2024;Rozvody na 1 000 obyvatel;1.8324428094
Česko;1. čtvrtletí 2024;Živě narození na 1 000 obyvatel;7.7430487136
Česko;1. čtvrtletí 2024;Potraty na 1 000 obyvatel;
Česko;1. čtvrtletí 2024;UPT na 1 000 obyvatel;
Česko;1. čtvrtletí 2024;Zemřelí na 1 000 obyvatel;10.957019086
Česko;1. čtvrtletí 2024;Přistěhovalí na 1 000 obyvatel;10.5533355513
Česko;1. čtvrtletí 2024;Vystěhovalí na 1 000 obyvatel;19.3399098921
Česko;1. čtvrtletí 2024;Přirozený přírůstek/úbytek na 1 000 obyvatel;-3.2139703724
Česko;1. čtvrtletí 2024;Přírůstek/úbytek stěhováním na 1 000 obyvatel;-8.7865743408
Česko;1. čtvrtletí 2024;Celkový přírůstek/úbytek na 1 000 obyvatel;-12.0005447133
Česko;1. čtvrtletí 2024;Kojenecká úmrtnost;2.3827678231
Česko;1. čtvrtletí 2024;Novorozenecká úmrtnost;1.3820053374
Česko;4. čtvrtletí 2023;Sňatky na 1 000 obyvatel;2.107032417
Česko;4. čtvrtletí 2023;Rozvody na 1 000 obyvatel;1.819031269
Česko;4. čtvrtletí 2023;Živě narození na 1 000 obyvatel;7.665345338
Česko;4. čtvrtletí 2023;Potraty na 1 000 obyvatel;2.142349877
Česko;4. čtvrtletí 2023;UPT na 1 000 obyvatel;1.257592875
Česko;4. čtvrtletí 2023;Zemřelí na 1 000 obyvatel;10.89634684
Česko;4. čtvrtletí 2023;Přistěhovalí na 1 000 obyvatel;10.40299468
Česko;4. čtvrtletí 2023;Vystěhovalí na 1 000 obyvatel;2.998343175
Česko;4. čtvrtletí 2023;Přirozený přírůstek/úbytek na 1 000 obyvatel;-3.231001498
Česko;4. čtvrtletí 2023;Přírůstek/úbytek stěhováním na 1 000 obyvatel;7.404651505
Česko;4. čtvrtletí 2023;Celkový přírůstek/úbytek na 1 000 obyvatel;4.173650007
Česko;4. čtvrtletí 2023;Kojenecká úmrtnost;2.659953451
Česko;4. čtvrtletí 2023;Novorozenecká úmrtnost;1.709970076
Česko;3. čtvrtletí 2023;Sňatky na 1 000 obyvatel;8.219442235
Česko;3. čtvrtletí 2023;Rozvody na 1 000 obyvatel;1.557973979
Česko;3. čtvrtletí 2023;Živě narození na 1 000 obyvatel;8.751397803
Česko;3. čtvrtletí 2023;Potraty na 1 000 obyvatel;2.262997284
Česko;3. čtvrtletí 2023;UPT na 1 000 obyvatel;1.36122329
Česko;3. čtvrtletí 2023;Zemřelí na 1 000 obyvatel;9.426179798
Česko;3. čtvrtletí 2023;Přistěhovalí na 1 000 obyvatel;13.19031197
Česko;3. čtvrtletí 2023;Vystěhovalí na 1 000 obyvatel;8.489427904
Česko;3. čtvrtletí 2023;Přirozený přírůstek/úbytek na 1 000 obyvatel;-0.674781995
Česko;3. čtvrtletí 2023;Přírůstek/úbytek stěhováním na 1 000 obyvatel;4.700884069
Česko;3. čtvrtletí 2023;Celkový přírůstek/úbytek na 1 000 obyvatel;4.026102074
Česko;3. čtvrtletí 2023;Kojenecká úmrtnost;2.164952746
Česko;3. čtvrtletí 2023;Novorozenecká úmrtnost;1.207377493
Česko;2. čtvrtletí 2023;Sňatky na 1 000 obyvatel;5.881206897
Česko;2. čtvrtletí 2023;Rozvody na 1 000 obyvatel;1.940096814
Česko;2. čtvrtletí 2023;Živě narození na 1 000 obyvatel;8.563746088
Česko;2. čtvrtletí 2023;Potraty na 1 000 obyvatel;2.300426879
Česko;2. čtvrtletí 2023;UPT na 1 000 obyvatel;1.428398587
Česko;2. čtvrtletí 2023;Zemřelí na 1 000 obyvatel;9.76398486
Česko;2. čtvrtletí 2023;Přistěhovalí na 1 000 obyvatel;13.93473152
Česko;2. čtvrtletí 2023;Vystěhovalí na 1 000 obyvatel;3.314224376
Česko;2. čtvrtletí 2023;Přirozený přírůstek/úbytek na 1 000 obyvatel;-1.200238771
Česko;2. čtvrtletí 2023;Přírůstek/úbytek stěhováním na 1 000 obyvatel;10.62050715
Česko;2. čtvrtletí 2023;Celkový přírůstek/úbytek na 1 000 obyvatel;9.420268374
Česko;2. čtvrtletí 2023;Kojenecká úmrtnost;1.939989653
Česko;2. čtvrtletí 2023;Novorozenecká úmrtnost;1.163993792
Česko;1. čtvrtletí 2023;Sňatky na 1 000 obyvatel;1.493457595
Česko;1. čtvrtletí 2023;Rozvody na 1 000 obyvatel;1.842878786
Česko;1. čtvrtletí 2023;Živě narození na 1 000 obyvatel;8.560070951
Česko;1. čtvrtletí 2023;Potraty na 1 000 obyvatel;2.474380896
Česko;1. čtvrtletí 2023;UPT na 1 000 obyvatel;1.507299762
Česko;1. čtvrtletí 2023;Zemřelí na 1 000 obyvatel;11.42914067
Česko;1. čtvrtletí 2023;Přistěhovalí na 1 000 obyvatel;14.49499362
Česko;1. čtvrtletí 2023;Vystěhovalí na 1 000 obyvatel;2.274230642
Česko;1. čtvrtletí 2023;Přirozený přírůstek/úbytek na 1 000 obyvatel;-2.869069714
Česko;1. čtvrtletí 2023;Přírůstek/úbytek stěhováním na 1 000 obyvatel;12.22076298
Česko;1. čtvrtletí 2023;Celkový přírůstek/úbytek na 1 000 obyvatel;9.351693264
Česko;1. čtvrtletí 2023;Kojenecká úmrtnost;2.054106027
Česko;1. čtvrtletí 2023;Novorozenecká úmrtnost;1.442244657
Česko;4. čtvrtletí 2022;Sňatky na 1 000 obyvatel;2.46569136183698
Česko;4. čtvrtletí 2022;Rozvody na 1 000 obyvatel;1.87696261507287
Česko;4. čtvrtletí 2022;Živě narození na 1 000 obyvatel;8.62038272754102
Česko;4. čtvrtletí 2022;Potraty na 1 000 obyvatel;2.55079109345646
Česko;4. čtvrtletí 2022;UPT na 1 000 obyvatel;1.4943806319732
Česko;4. čtvrtletí 2022;Zemřelí na 1 000 obyvatel;11.6993790517391
Česko;4. čtvrtletí 2022;Přistěhovalí na 1 000 obyvatel;14.8069864926024
