Území;Roky;Ukazatel;value
Česko;2024;Sňatky na 1 000 obyvatel;4.0863338377
Česko;2024;Rozvody na 1 000 obyvatel;1.9102503819
Česko;2024;Živě narození na 1 000 obyvatel;7.7445239443
Česko;2024;Potraty na 1 000 obyvatel;
Česko;2024;UPT na 1 000 obyvatel;
Česko;2024;Zemřelí na 1 000 obyvatel;10.307323793
Česko;2024;Přistěhovalí na 1 000 obyvatel;11.1902496764
Česko;2024;Vystěhovalí na 1 000 obyvatel;7.8057923135
Česko;2024;Přirozený přírůstek/úbytek na 1 000 obyvatel;-2.5627998487
Česko;2024;Přírůstek/úbytek stěhováním na 1 000 obyvatel;3.384457363
Česko;2024;Celkový přírůstek/úbytek na 1 000 obyvatel;0.8216575142
Česko;2024;Podíl živě narozených mimo manželství (%);46.9677740746
Česko;2024;Mrtvorozenost;3.4396349968
Česko;2024;Perinatální úmrtnost;
Česko;2024;Novorozenecká úmrtnost;1.5774928538
Česko;2024;Kojenecká úmrtnost;2.3247263109
Česko;2023;Sňatky na 1 000 obyvatel;4.437195591
Česko;2023;Rozvody na 1 000 obyvatel;1.788281384
Česko;2023;Živě narození na 1 000 obyvatel;8.379173384
Česko;2023;Potraty na 1 000 obyvatel;2.292692012
Česko;2023;UPT na 1 000 obyvatel;1.387014317
Česko;2023;Zemřelí na 1 000 obyvatel;10.36905355
Česko;2023;Přistěhovalí na 1 000 obyvatel;12.98606863
Česko;2023;Vystěhovalí na 1 000 obyvatel;4.283031818
Česko;2023;Přirozený přírůstek/úbytek na 1 000 obyvatel;-1.989880164
Česko;2023;Přírůstek/úbytek stěhováním na 1 000 obyvatel;8.703036815
Česko;2023;Celkový přírůstek/úbytek na 1 000 obyvatel;6.713156651
Česko;2023;Podíl živě narozených mimo manželství (%);47.09322099
Česko;2023;Mrtvorozenost;3.345907824
Česko;2023;Perinatální úmrtnost;4.264392324
Česko;2023;Novorozenecká úmrtnost;1.371380926
Česko;2023;Kojenecká úmrtnost;2.194209481
Česko;2022;Sňatky na 1 000 obyvatel;5.095020459
Česko;2022;Rozvody na 1 000 obyvatel;1.844505217
Česko;2022;Živě narození na 1 000 obyvatel;9.414820822
Česko;2022;Potraty na 1 000 obyvatel;2.56498311960798
Česko;2022;UPT na 1 000 obyvatel;1.52776261033828
Česko;2022;Zemřelí na 1 000 obyvatel;11.17326276
Česko;2022;Přistěhovalí na 1 000 obyvatel;32.48730776
Česko;2022;Vystěhovalí na 1 000 obyvatel;1.840787581
Česko;2022;Přirozený přírůstek/úbytek na 1 000 obyvatel;-1.758441939
Česko;2022;Přírůstek/úbytek stěhováním na 1 000 obyvatel;30.64652018
Česko;2022;Celkový přírůstek/úbytek na 1 000 obyvatel;28.88807824
Česko;2022;Podíl živě narozených mimo manželství (%);48.24529364
Česko;2022;Mrtvorozenost;3.707856328
Česko;2022;Perinatální úmrtnost;4.5635154805
Česko;2022;Novorozenecká úmrtnost;1.23397072
Česko;2022;Kojenecká úmrtnost;2.270506125
Česko;2021;Sňatky na 1 000 obyvatel;4.454687002
Česko;2021;Rozvody na 1 000 obyvatel;2.01002776
Česko;2021;Živě narození na 1 000 obyvatel;10.64609055
Česko;2021;Potraty na 1 000 obyvatel;2.66254636529424
Česko;2021;UPT na 1 000 obyvatel;1.47530914164091
Česko;2021;Zemřelí na 1 000 obyvatel;13.32187394
Česko;2021;Přistěhovalí na 1 000 obyvatel;6.590037949
Česko;2021;Vystěhovalí na 1 000 obyvatel;1.831470786
Česko;2021;Přirozený přírůstek/úbytek na 1 000 obyvatel;-2.675783389
Česko;2021;Přírůstek/úbytek stěhováním na 1 000 obyvatel;4.758567164
Česko;2021;Celkový přírůstek/úbytek na 1 000 obyvatel;2.082783775
Česko;2021;Podíl živě narozených mimo manželství (%);48.48514665
Česko;2021;Mrtvorozenost;3.600809291
Česko;2021;Perinatální úmrtnost;4.5723147678
Česko;2021;Novorozenecká úmrtnost;1.359655792
Česko;2021;Kojenecká úmrtnost;2.200495559
Česko;2020;Sňatky na 1 000 obyvatel;4.24433104
Česko;2020;Rozvody na 1 000 obyvatel;2.03118553
Česko;2020;Živě narození na 1 000 obyvatel;10.29891623
Česko;2020;Potraty na 1 000 obyvatel;2.838089729
Česko;2020;UPT na 1 000 obyvatel;1.57810798067878
Česko;2020;Zemřelí na 1 000 obyvatel;12.08290908
Česko;2020;Přistěhovalí na 1 000 obyvatel;5.201887262
Česko;2020;Vystěhovalí na 1 000 obyvatel;2.68538166
Česko;2020;Přirozený přírůstek/úbytek na 1 000 obyvatel;-1.783992849
Česko;2020;Přírůstek/úbytek stěhováním na 1 000 obyvatel;2.516505602
Česko;2020;Celkový přírůstek/úbytek na 1 000 obyvatel;0.732512753
Česko;2020;Podíl živě narozených mimo manželství (%);48.4646098
Česko;2020;Mrtvorozenost;3.895833898
Česko;2020;Perinatální úmrtnost;5.1070676393
Česko;2020;Novorozenecká úmrtnost;1.560798548
Česko;2020;Kojenecká úmrtnost;2.259528131
Česko;2019;Sňatky na 1 000 obyvatel;5.142781305
Česko;2019;Rozvody na 1 000 obyvatel;2.262655066
Česko;2019;Živě narození na 1 000 obyvatel;10.5190357
Česko;2019;Potraty na 1 000 obyvatel;2.98022630112273
Česko;2019;UPT na 1 000 obyvatel;1.66430413023356
Česko;2019;Zemřelí na 1 000 obyvatel;10.53131389
Česko;2019;Přistěhovalí na 1 000 obyvatel;6.14575019
Česko;2019;Vystěhovalí na 1 000 obyvatel;1.996471379
Česko;2019;Přirozený přírůstek/úbytek na 1 000 obyvatel;-0.012278191
Česko;2019;Přírůstek/úbytek stěhováním na 1 000 obyvatel;4.149278811
Česko;2019;Celkový přírůstek/úbytek na 1 000 obyvatel;4.13700062
Česko;2019;Podíl živě narozených mimo manželství (%);48.19791323
Česko;2019;Mrtvorozenost;3.569113848
Česko;2019;Perinatální úmrtnost;4.5368586471
Česko;2019;Novorozenecká úmrtnost;1.559283977
Česko;2019;Kojenecká úmrtnost;2.566135916
Česko;2018;Sňatky na 1 000 obyvatel;5.12589835
Česko;2018;Rozvody na 1 000 obyvatel;2.287974419
Česko;2018;Živě narození na 1 000 obyvatel;10.73135569
Česko;2018;Potraty na 1 000 obyvatel;3.10094735485012
Česko;2018;UPT na 1 000 obyvatel;1.72193295396478
Česko;2018;Zemřelí na 1 000 obyvatel;10.62633453
Česko;2018;Přistěhovalí na 1 000 obyvatel;5.472016472
Česko;2018;Vystěhovalí na 1 000 obyvatel;1.836835137
Česko;2018;Přirozený přírůstek/úbytek na 1 000 obyvatel;0.10502116
Česko;2018;Přírůstek/úbytek stěhováním na 1 000 obyvatel;3.635181336
Česko;2018;Celkový přírůstek/úbytek na 1 000 obyvatel;3.740202495
Česko;2018;Podíl živě narozených mimo manželství (%);48.52678102
Česko;2018;Mrtvorozenost;3.347346158
Česko;2018;Perinatální úmrtnost;4.4223424431
Česko;2018;Novorozenecká úmrtnost;1.639833035
Česko;2018;Kojenecká úmrtnost;2.5605949
Česko;2017;Sňatky na 1 000 obyvatel;4.964055993
Česko;2017;Rozvody na 1 000 obyvatel;2.432120191
Česko;2017;Živě narození na 1 000 obyvatel;10.80359971
Česko;2017;Potraty na 1 000 obyvatel;3.30629
Česko;2017;UPT na 1 000 obyvatel;1.83341539555217
Česko;2017;Zemřelí na 1 000 obyvatel;10.52388936
Česko;2017;Přistěhovalí na 1 000 obyvatel;4.339854305
Česko;2017;Vystěhovalí na 1 000 obyvatel;1.669951988
Česko;2017;Přirozený přírůstek/úbytek na 1 000 obyvatel;0.279710348
Česko;2017;Přírůstek/úbytek stěhováním na 1 000 obyvatel;2.669902317
Česko;2017;Celkový přírůstek/úbytek na 1 000 obyvatel;2.949612664
Česko;2017;Podíl živě narozených mimo manželství (%);49.02845155
Česko;2017;Mrtvorozenost;3.345268275
Česko;2017;Perinatální úmrtnost;4.538762425
Česko;2017;Novorozenecká úmrtnost;1.774397972
Česko;2017;Kojenecká úmrtnost;2.65722652
Česko;2016;Sňatky na 1 000 obyvatel;4.805171352
Česko;2016;Rozvody na 1 000 obyvatel;2.365861628
Česko;2016;Živě narození na 1 000 obyvatel;10.6635089
Česko;2016;Potraty na 1 000 obyvatel;3.39990860633751
Česko;2016;UPT na 1 000 obyvatel;1.93141992207687
Česko;2016;Zemřelí na 1 000 obyvatel;10.19849537
Česko;2016;Přistěhovalí na 1 000 obyvatel;3.549644288
Česko;2016;Vystěhovalí na 1 000 obyvatel;1.650594532
Česko;2016;Přirozený přírůstek/úbytek na 1 000 obyvatel;0.465013529
Česko;2016;Přírůstek/úbytek stěhováním na 1 000 obyvatel;1.899049756
Česko;2016;Celkový přírůstek/úbytek na 1 000 obyvatel;2.364063285
Česko;2016;Podíl živě narozených mimo manželství (%);48.58116684
Česko;2016;Mrtvorozenost;3.714086114
Česko;2016;Perinatální úmrtnost;4.8902133831
Česko;2016;Novorozenecká úmrtnost;1.704197474
Česko;2016;Kojenecká úmrtnost;2.813701038
Česko;2015;Sňatky na 1 000 obyvatel;4.570925269
Česko;2015;Rozvody na 1 000 obyvatel;2.473977377
Česko;2015;Živě narození na 1 000 obyvatel;10.5059859
Česko;2015;Potraty na 1 000 obyvatel;3.39193746868758
Česko;2015;UPT na 1 000 obyvatel;1.93522832621103
Česko;2015;Zemřelí na 1 000 obyvatel;10.54477963
Česko;2015;Přistěhovalí na 1 000 obyvatel;3.312358163
Česko;2015;Vystěhovalí na 1 000 obyvatel;1.796936756
Česko;2015;Přirozený přírůstek/úbytek na 1 000 obyvatel;-0.038793726
Česko;2015;Přírůstek/úbytek stěhováním na 1 000 obyvatel;1.515421407
Česko;2015;Celkový přírůstek/úbytek na 1 000 obyvatel;1.476627681
Česko;2015;Podíl živě narozených mimo manželství (%);47.82781409
Česko;2015;Mrtvorozenost;3.580360195
Česko;2015;Perinatální úmrtnost;4.5339234631
Česko;2015;Novorozenecká úmrtnost;1.489653678
Česko;2015;Kojenecká úmrtnost;2.455671518
Česko;2014;Sňatky na 1 000 obyvatel;4.33025555
Česko;2014;Rozvody na 1 000 obyvatel;2.542950292
Česko;2014;Živě narození na 1 000 obyvatel;10.43821996
Česko;2014;Potraty na 1 000 obyvatel;3.51133130250761
Česko;2014;UPT na 1 000 obyvatel;2.0801378992802
Česko;2014;Zemřelí na 1 000 obyvatel;10.03963692
