Kumulace čtvrtletí,Pohlaví,"ČR, kraje",Ukazatel,value
Q1-Q2 2025,Celkem,Česko,Počet obyvatel na počátku období,10909500
Q1-Q2 2025,Celkem,Česko,Střední stav obyvatel,10895032
Q1-Q2 2025,Celkem,Česko,Počet obyvatel na konci období,10882341
Q1-Q2 2025,Celkem,Hlavní město Praha,Počet obyvatel na počátku období,1397880
Q1-Q2 2025,Celkem,Hlavní město Praha,Střední stav obyvatel,1397774
Q1-Q2 2025,Celkem,Hlavní město Praha,Počet obyvatel na konci období,1396886
Q1-Q2 2025,Celkem,Středočeský kraj,Počet obyvatel na počátku období,1466215
Q1-Q2 2025,Celkem,Středočeský kraj,Střední stav obyvatel,1466758
Q1-Q2 2025,Celkem,Středočeský kraj,Počet obyvatel na konci období,1467723
Q1-Q2 2025,Celkem,Jihočeský kraj,Počet obyvatel na počátku období,653227
Q1-Q2 2025,Celkem,Jihočeský kraj,Střední stav obyvatel,652435
Q1-Q2 2025,Celkem,Jihočeský kraj,Počet obyvatel na konci období,651830
Q1-Q2 2025,Celkem,Plzeňský kraj,Počet obyvatel na počátku období,614640
Q1-Q2 2025,Celkem,Plzeňský kraj,Střední stav obyvatel,612939
Q1-Q2 2025,Celkem,Plzeňský kraj,Počet obyvatel na konci období,611269
Q1-Q2 2025,Celkem,Karlovarský kraj,Počet obyvatel na počátku období,293195
Q1-Q2 2025,Celkem,Karlovarský kraj,Střední stav obyvatel,292339
Q1-Q2 2025,Celkem,Karlovarský kraj,Počet obyvatel na konci období,291649
Q1-Q2 2025,Celkem,Ústecký kraj,Počet obyvatel na počátku období,808356
Q1-Q2 2025,Celkem,Ústecký kraj,Střední stav obyvatel,806643
Q1-Q2 2025,Celkem,Ústecký kraj,Počet obyvatel na konci období,805342
Q1-Q2 2025,Celkem,Liberecký kraj,Počet obyvatel na počátku období,449494
Q1-Q2 2025,Celkem,Liberecký kraj,Střední stav obyvatel,448621
Q1-Q2 2025,Celkem,Liberecký kraj,Počet obyvatel na konci období,447804
Q1-Q2 2025,Celkem,Královéhradecký kraj,Počet obyvatel na počátku období,555923
Q1-Q2 2025,Celkem,Královéhradecký kraj,Střední stav obyvatel,554697
Q1-Q2 2025,Celkem,Královéhradecký kraj,Počet obyvatel na konci období,553652
Q1-Q2 2025,Celkem,Pardubický kraj,Počet obyvatel na počátku období,530469
Q1-Q2 2025,Celkem,Pardubický kraj,Střední stav obyvatel,529915
Q1-Q2 2025,Celkem,Pardubický kraj,Počet obyvatel na konci období,529439
Q1-Q2 2025,Celkem,Kraj Vysočina,Počet obyvatel na počátku období,517647
Q1-Q2 2025,Celkem,Kraj Vysočina,Střední stav obyvatel,516509
Q1-Q2 2025,Celkem,Kraj Vysočina,Počet obyvatel na konci období,515557
Q1-Q2 2025,Celkem,Jihomoravský kraj,Počet obyvatel na počátku období,1229343
Q1-Q2 2025,Celkem,Jihomoravský kraj,Střední stav obyvatel,1227286
Q1-Q2 2025,Celkem,Jihomoravský kraj,Počet obyvatel na konci období,1225911
Q1-Q2 2025,Celkem,Olomoucký kraj,Počet obyvatel na počátku období,631500
Q1-Q2 2025,Celkem,Olomoucký kraj,Střední stav obyvatel,630730
Q1-Q2 2025,Celkem,Olomoucký kraj,Počet obyvatel na konci období,630024
Q1-Q2 2025,Celkem,Zlínský kraj,Počet obyvatel na počátku období,578998
Q1-Q2 2025,Celkem,Zlínský kraj,Střední stav obyvatel,578184
Q1-Q2 2025,Celkem,Zlínský kraj,Počet obyvatel na konci období,577517
Q1-Q2 2025,Celkem,Moravskoslezský kraj,Počet obyvatel na počátku období,1182613
Q1-Q2 2025,Celkem,Moravskoslezský kraj,Střední stav obyvatel,1180202
Q1-Q2 2025,Celkem,Moravskoslezský kraj,Počet obyvatel na konci období,1177738
