Kumulace čtvrtletí;ČR, kraje;Ukazatel;value
Q1-Q3 2024;Česko;Rozvody;
Q1-Q3 2024;Česko;Rozvody na návrh ženy;
Q1-Q3 2024;Česko;Rozvody na společný návrh;
Q1-Q3 2024;Česko;Rozvody manželství s nezletilými dětmi celkem;
Q1-Q3 2024;Česko;Rozvody manželství s 1 nezletilým dítětem;
Q1-Q3 2024;Česko;Rozvody manželství se 2 nezletilými dětmi;
Q1-Q3 2024;Česko;Rozvody manželství se 3+ nezletilými dětmi;
Q1-Q3 2024;Česko;1. rozvod - muži;
Q1-Q3 2024;Česko;1. rozvod - ženy;
Q1-Q3 2024;Hlavní město Praha;Rozvody;
Q1-Q3 2024;Hlavní město Praha;Rozvody na návrh ženy;
Q1-Q3 2024;Hlavní město Praha;Rozvody na společný návrh;
Q1-Q3 2024;Hlavní město Praha;Rozvody manželství s nezletilými dětmi celkem;
Q1-Q3 2024;Hlavní město Praha;Rozvody manželství s 1 nezletilým dítětem;
Q1-Q3 2024;Hlavní město Praha;Rozvody manželství se 2 nezletilými dětmi;
Q1-Q3 2024;Hlavní město Praha;Rozvody manželství se 3+ nezletilými dětmi;
Q1-Q3 2024;Hlavní město Praha;1. rozvod - muži;
Q1-Q3 2024;Hlavní město Praha;1. rozvod - ženy;
Q1-Q3 2024;Středočeský kraj;Rozvody;
Q1-Q3 2024;Středočeský kraj;Rozvody na návrh ženy;
Q1-Q3 2024;Středočeský kraj;Rozvody na společný návrh;
Q1-Q3 2024;Středočeský kraj;Rozvody manželství s nezletilými dětmi celkem;
Q1-Q3 2024;Středočeský kraj;Rozvody manželství s 1 nezletilým dítětem;
Q1-Q3 2024;Středočeský kraj;Rozvody manželství se 2 nezletilými dětmi;
Q1-Q3 2024;Středočeský kraj;Rozvody manželství se 3+ nezletilými dětmi;
Q1-Q3 2024;Středočeský kraj;1. rozvod - muži;
Q1-Q3 2024;Středočeský kraj;1. rozvod - ženy;
Q1-Q3 2024;Jihočeský kraj;Rozvody;
Q1-Q3 2024;Jihočeský kraj;Rozvody na návrh ženy;
Q1-Q3 2024;Jihočeský kraj;Rozvody na společný návrh;
Q1-Q3 2024;Jihočeský kraj;Rozvody manželství s nezletilými dětmi celkem;
Q1-Q3 2024;Jihočeský kraj;Rozvody manželství s 1 nezletilým dítětem;
Q1-Q3 2024;Jihočeský kraj;Rozvody manželství se 2 nezletilými dětmi;
Q1-Q3 2024;Jihočeský kraj;Rozvody manželství se 3+ nezletilými dětmi;
Q1-Q3 2024;Jihočeský kraj;1. rozvod - muži;
Q1-Q3 2024;Jihočeský kraj;1. rozvod - ženy;
Q1-Q3 2024;Plzeňský kraj;Rozvody;
Q1-Q3 2024;Plzeňský kraj;Rozvody na návrh ženy;
Q1-Q3 2024;Plzeňský kraj;Rozvody na společný návrh;
Q1-Q3 2024;Plzeňský kraj;Rozvody manželství s nezletilými dětmi celkem;
Q1-Q3 2024;Plzeňský kraj;Rozvody manželství s 1 nezletilým dítětem;
Q1-Q3 2024;Plzeňský kraj;Rozvody manželství se 2 nezletilými dětmi;
Q1-Q3 2024;Plzeňský kraj;Rozvody manželství se 3+ nezletilými dětmi;
Q1-Q3 2024;Plzeňský kraj;1. rozvod - muži;
Q1-Q3 2024;Plzeňský kraj;1. rozvod - ženy;
Q1-Q3 2024;Karlovarský kraj;Rozvody;
Q1-Q3 2024;Karlovarský kraj;Rozvody na návrh ženy;
Q1-Q3 2024;Karlovarský kraj;Rozvody na společný návrh;
Q1-Q3 2024;Karlovarský kraj;Rozvody manželství s nezletilými dětmi celkem;
Q1-Q3 2024;Karlovarský kraj;Rozvody manželství s 1 nezletilým dítětem;
Q1-Q3 2024;Karlovarský kraj;Rozvody manželství se 2 nezletilými dětmi;
Q1-Q3 2024;Karlovarský kraj;Rozvody manželství se 3+ nezletilými dětmi;
Q1-Q3 2024;Karlovarský kraj;1. rozvod - muži;
Q1-Q3 2024;Karlovarský kraj;1. rozvod - ženy;
Q1-Q3 2024;Ústecký kraj;Rozvody;
Q1-Q3 2024;Ústecký kraj;Rozvody na návrh ženy;
Q1-Q3 2024;Ústecký kraj;Rozvody na společný návrh;
Q1-Q3 2024;Ústecký kraj;Rozvody manželství s nezletilými dětmi celkem;
Q1-Q3 2024;Ústecký kraj;Rozvody manželství s 1 nezletilým dítětem;
Q1-Q3 2024;Ústecký kraj;Rozvody manželství se 2 nezletilými dětmi;
Q1-Q3 2024;Ústecký kraj;Rozvody manželství se 3+ nezletilými dětmi;
Q1-Q3 2024;Ústecký kraj;1. rozvod - muži;
Q1-Q3 2024;Ústecký kraj;1. rozvod - ženy;
Q1-Q3 2024;Liberecký kraj;Rozvody;
Q1-Q3 2024;Liberecký kraj;Rozvody na návrh ženy;
Q1-Q3 2024;Liberecký kraj;Rozvody na společný návrh;
Q1-Q3 2024;Liberecký kraj;Rozvody manželství s nezletilými dětmi celkem;
Q1-Q3 2024;Liberecký kraj;Rozvody manželství s 1 nezletilým dítětem;
Q1-Q3 2024;Liberecký kraj;Rozvody manželství se 2 nezletilými dětmi;
Q1-Q3 2024;Liberecký kraj;Rozvody manželství se 3+ nezletilými dětmi;
Q1-Q3 2024;Liberecký kraj;1. rozvod - muži;
Q1-Q3 2024;Liberecký kraj;1. rozvod - ženy;
Q1-Q3 2024;Královéhradecký kraj;Rozvody;
Q1-Q3 2024;Královéhradecký kraj;Rozvody na návrh ženy;
Q1-Q3 2024;Královéhradecký kraj;Rozvody na společný návrh;
Q1-Q3 2024;Královéhradecký kraj;Rozvody manželství s nezletilými dětmi celkem;
Q1-Q3 2024;Královéhradecký kraj;Rozvody manželství s 1 nezletilým dítětem;
Q1-Q3 2024;Královéhradecký kraj;Rozvody manželství se 2 nezletilými dětmi;
Q1-Q3 2024;Královéhradecký kraj;Rozvody manželství se 3+ nezletilými dětmi;
Q1-Q3 2024;Královéhradecký kraj;1. rozvod - muži;
Q1-Q3 2024;Královéhradecký kraj;1. rozvod - ženy;
Q1-Q3 2024;Pardubický kraj;Rozvody;
Q1-Q3 2024;Pardubický kraj;Rozvody na návrh ženy;
Q1-Q3 2024;Pardubický kraj;Rozvody na společný návrh;
Q1-Q3 2024;Pardubický kraj;Rozvody manželství s nezletilými dětmi celkem;
Q1-Q3 2024;Pardubický kraj;Rozvody manželství s 1 nezletilým dítětem;
Q1-Q3 2024;Pardubický kraj;Rozvody manželství se 2 nezletilými dětmi;
Q1-Q3 2024;Pardubický kraj;Rozvody manželství se 3+ nezletilými dětmi;
Q1-Q3 2024;Pardubický kraj;1. rozvod - muži;
Q1-Q3 2024;Pardubický kraj;1. rozvod - ženy;
Q1-Q3 2024;Kraj Vysočina;Rozvody;
Q1-Q3 2024;Kraj Vysočina;Rozvody na návrh ženy;
Q1-Q3 2024;Kraj Vysočina;Rozvody na společný návrh;
Q1-Q3 2024;Kraj Vysočina;Rozvody manželství s nezletilými dětmi celkem;
Q1-Q3 2024;Kraj Vysočina;Rozvody manželství s 1 nezletilým dítětem;
Q1-Q3 2024;Kraj Vysočina;Rozvody manželství se 2 nezletilými dětmi;
Q1-Q3 2024;Kraj Vysočina;Rozvody manželství se 3+ nezletilými dětmi;
Q1-Q3 2024;Kraj Vysočina;1. rozvod - muži;
Q1-Q3 2024;Kraj Vysočina;1. rozvod - ženy;
Q1-Q3 2024;Jihomoravský kraj;Rozvody;
Q1-Q3 2024;Jihomoravský kraj;Rozvody na návrh ženy;
Q1-Q3 2024;Jihomoravský kraj;Rozvody na společný návrh;
Q1-Q3 2024;Jihomoravský kraj;Rozvody manželství s nezletilými dětmi celkem;
Q1-Q3 2024;Jihomoravský kraj;Rozvody manželství s 1 nezletilým dítětem;
Q1-Q3 2024;Jihomoravský kraj;Rozvody manželství se 2 nezletilými dětmi;
Q1-Q3 2024;Jihomoravský kraj;Rozvody manželství se 3+ nezletilými dětmi;
Q1-Q3 2024;Jihomoravský kraj;1. rozvod - muži;
Q1-Q3 2024;Jihomoravský kraj;1. rozvod - ženy;
Q1-Q3 2024;Olomoucký kraj;Rozvody;
Q1-Q3 2024;Olomoucký kraj;Rozvody na návrh ženy;
Q1-Q3 2024;Olomoucký kraj;Rozvody na společný návrh;
Q1-Q3 2024;Olomoucký kraj;Rozvody manželství s nezletilými dětmi celkem;
Q1-Q3 2024;Olomoucký kraj;Rozvody manželství s 1 nezletilým dítětem;
Q1-Q3 2024;Olomoucký kraj;Rozvody manželství se 2 nezletilými dětmi;
Q1-Q3 2024;Olomoucký kraj;Rozvody manželství se 3+ nezletilými dětmi;
Q1-Q3 2024;Olomoucký kraj;1. rozvod - muži;
Q1-Q3 2024;Olomoucký kraj;1. rozvod - ženy;
Q1-Q3 2024;Zlínský kraj;Rozvody;
Q1-Q3 2024;Zlínský kraj;Rozvody na návrh ženy;
Q1-Q3 2024;Zlínský kraj;Rozvody na společný návrh;
Q1-Q3 2024;Zlínský kraj;Rozvody manželství s nezletilými dětmi celkem;
Q1-Q3 2024;Zlínský kraj;Rozvody manželství s 1 nezletilým dítětem;
Q1-Q3 2024;Zlínský kraj;Rozvody manželství se 2 nezletilými dětmi;
Q1-Q3 2024;Zlínský kraj;Rozvody manželství se 3+ nezletilými dětmi;
Q1-Q3 2024;Zlínský kraj;1. rozvod - muži;
Q1-Q3 2024;Zlínský kraj;1. rozvod - ženy;
Q1-Q3 2024;Moravskoslezský kraj;Rozvody;
Q1-Q3 2024;Moravskoslezský kraj;Rozvody na návrh ženy;
Q1-Q3 2024;Moravskoslezský kraj;Rozvody na společný návrh;
Q1-Q3 2024;Moravskoslezský kraj;Rozvody manželství s nezletilými dětmi celkem;
Q1-Q3 2024;Moravskoslezský kraj;Rozvody manželství s 1 nezletilým dítětem;
Q1-Q3 2024;Moravskoslezský kraj;Rozvody manželství se 2 nezletilými dětmi;
Q1-Q3 2024;Moravskoslezský kraj;Rozvody manželství se 3+ nezletilými dětmi;
Q1-Q3 2024;Moravskoslezský kraj;1. rozvod - muži;
Q1-Q3 2024;Moravskoslezský kraj;1. rozvod - ženy;
