Ukazatel;Roky;ČR, kraje;Pohlaví;value
Počet obyvatel k 31. 12. (koncový stav);2024;Česko;Celkem;10909500
Počet obyvatel k 31. 12. (koncový stav);2024;Česko;Muži;5354579
Počet obyvatel k 31. 12. (koncový stav);2024;Česko;Ženy;5554921
Počet obyvatel k 31. 12. (koncový stav);2024;Hlavní město Praha;Celkem;1397880
Počet obyvatel k 31. 12. (koncový stav);2024;Hlavní město Praha;Muži;679162
Počet obyvatel k 31. 12. (koncový stav);2024;Hlavní město Praha;Ženy;718718
Počet obyvatel k 31. 12. (koncový stav);2024;Středočeský kraj;Celkem;1466215
Počet obyvatel k 31. 12. (koncový stav);2024;Středočeský kraj;Muži;720810
Počet obyvatel k 31. 12. (koncový stav);2024;Středočeský kraj;Ženy;745405
Počet obyvatel k 31. 12. (koncový stav);2024;Jihočeský kraj;Celkem;653227
Počet obyvatel k 31. 12. (koncový stav);2024;Jihočeský kraj;Muži;322004
Počet obyvatel k 31. 12. (koncový stav);2024;Jihočeský kraj;Ženy;331223
Počet obyvatel k 31. 12. (koncový stav);2024;Plzeňský kraj;Celkem;614640
Počet obyvatel k 31. 12. (koncový stav);2024;Plzeňský kraj;Muži;302499
Počet obyvatel k 31. 12. (koncový stav);2024;Plzeňský kraj;Ženy;312141
Počet obyvatel k 31. 12. (koncový stav);2024;Karlovarský kraj;Celkem;293195
Počet obyvatel k 31. 12. (koncový stav);2024;Karlovarský kraj;Muži;142969
Počet obyvatel k 31. 12. (koncový stav);2024;Karlovarský kraj;Ženy;150226
Počet obyvatel k 31. 12. (koncový stav);2024;Ústecký kraj;Celkem;808356
Počet obyvatel k 31. 12. (koncový stav);2024;Ústecký kraj;Muži;398312
Počet obyvatel k 31. 12. (koncový stav);2024;Ústecký kraj;Ženy;410044
Počet obyvatel k 31. 12. (koncový stav);2024;Liberecký kraj;Celkem;449494
Počet obyvatel k 31. 12. (koncový stav);2024;Liberecký kraj;Muži;220699
Počet obyvatel k 31. 12. (koncový stav);2024;Liberecký kraj;Ženy;228795
Počet obyvatel k 31. 12. (koncový stav);2024;Královéhradecký kraj;Celkem;555923
Počet obyvatel k 31. 12. (koncový stav);2024;Královéhradecký kraj;Muži;273369
Počet obyvatel k 31. 12. (koncový stav);2024;Královéhradecký kraj;Ženy;282554
Počet obyvatel k 31. 12. (koncový stav);2024;Pardubický kraj;Celkem;530469
Počet obyvatel k 31. 12. (koncový stav);2024;Pardubický kraj;Muži;262437
Počet obyvatel k 31. 12. (koncový stav);2024;Pardubický kraj;Ženy;268032
Počet obyvatel k 31. 12. (koncový stav);2024;Kraj Vysočina;Celkem;517647
Počet obyvatel k 31. 12. (koncový stav);2024;Kraj Vysočina;Muži;257216
Počet obyvatel k 31. 12. (koncový stav);2024;Kraj Vysočina;Ženy;260431
Počet obyvatel k 31. 12. (koncový stav);2024;Jihomoravský kraj;Celkem;1229343
Počet obyvatel k 31. 12. (koncový stav);2024;Jihomoravský kraj;Muži;602539
Počet obyvatel k 31. 12. (koncový stav);2024;Jihomoravský kraj;Ženy;626804
Počet obyvatel k 31. 12. (koncový stav);2024;Olomoucký kraj;Celkem;631500
Počet obyvatel k 31. 12. (koncový stav);2024;Olomoucký kraj;Muži;308853
Počet obyvatel k 31. 12. (koncový stav);2024;Olomoucký kraj;Ženy;322647
Počet obyvatel k 31. 12. (koncový stav);2024;Zlínský kraj;Celkem;578998
Počet obyvatel k 31. 12. (koncový stav);2024;Zlínský kraj;Muži;284122
Počet obyvatel k 31. 12. (koncový stav);2024;Zlínský kraj;Ženy;294876
Počet obyvatel k 31. 12. (koncový stav);2024;Moravskoslezský kraj;Celkem;1182613
Počet obyvatel k 31. 12. (koncový stav);2024;Moravskoslezský kraj;Muži;579588
Počet obyvatel k 31. 12. (koncový stav);2024;Moravskoslezský kraj;Ženy;603025
