Ukazatel,"ČR, kraje",Rok,Věk (roky),Pohlaví,value
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,Celkem,Celkem,10909500
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,Celkem,Muži,5354579
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,Celkem,Ženy,5554921
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,0,Celkem,84705
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,0,Muži,43578
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,0,Ženy,41127
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,1,Celkem,92666
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,1,Muži,47643
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,1,Ženy,45023
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,2,Celkem,103658
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,2,Muži,53206
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,2,Ženy,50452
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,3,Celkem,116655
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,3,Muži,59670
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,3,Ženy,56985
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,4,Celkem,113374
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,4,Muži,57875
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,4,Ženy,55499
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,5,Celkem,115985
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,5,Muži,59473
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,5,Ženy,56512
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,6,Celkem,118603
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,6,Muži,60486
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,6,Ženy,58117
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,7,Celkem,119643
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,7,Muži,61287
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,7,Ženy,58356
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,8,Celkem,119355
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,8,Muži,61209
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,8,Ženy,58146
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,9,Celkem,117586
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,9,Muži,60293
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,9,Ženy,57293
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,10,Celkem,117341
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,10,Muži,60142
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,10,Ženy,57199
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,11,Celkem,114526
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,11,Muži,58722
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,11,Ženy,55804
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,12,Celkem,116546
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,12,Muži,59454
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,12,Ženy,57092
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,13,Celkem,116287
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,13,Muži,59620
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,13,Ženy,56667
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,14,Celkem,123853
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,14,Muži,63571
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,14,Ženy,60282
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,15,Celkem,125417
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,15,Muži,64078
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,15,Ženy,61339
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,16,Celkem,127855
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,16,Muži,65792
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,16,Ženy,62063
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,17,Celkem,126878
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,17,Muži,66250
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,17,Ženy,60628
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,18,Celkem,121771
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,18,Muži,65041
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,18,Ženy,56730
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,19,Celkem,116665
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,19,Muži,60648
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,19,Ženy,56017
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,20,Celkem,111381
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,20,Muži,57033
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,20,Ženy,54348
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,21,Celkem,106139
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,21,Muži,53005
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,21,Ženy,53134
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,22,Celkem,104987
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,22,Muži,52813
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,22,Ženy,52174
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,23,Celkem,102900
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,23,Muži,51833
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,23,Ženy,51067
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,24,Celkem,103699
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,24,Muži,52871
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,24,Ženy,50828
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,25,Celkem,101724
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,25,Muži,51643
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,25,Ženy,50081
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,26,Celkem,104130
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,26,Muži,53077
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,26,Ženy,51053
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,27,Celkem,105469
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,27,Muži,53770
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,27,Ženy,51699
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,28,Celkem,106484
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,28,Muži,54352
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,28,Ženy,52132
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,29,Celkem,112530
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,29,Muži,57870
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,29,Ženy,54660
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,30,Celkem,123419
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,30,Muži,63201
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,30,Ženy,60218
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,31,Celkem,136980
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,31,Muži,70421
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,31,Ženy,66559
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,32,Celkem,138086
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,32,Muži,71286
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,32,Ženy,66800
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,33,Celkem,145260
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,33,Muži,74839
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,33,Ženy,70421
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,34,Celkem,145854
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,34,Muži,74868
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,34,Ženy,70986
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,35,Celkem,143715
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,35,Muži,73598
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,35,Ženy,70117
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,36,Celkem,148473
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,36,Muži,75501
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,36,Ženy,72972
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,37,Celkem,146991
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,37,Muži,75382
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,37,Ženy,71609
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,38,Celkem,148997
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,38,Muži,76045
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,38,Ženy,72952
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,39,Celkem,151185
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,39,Muži,77155
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,39,Ženy,74030
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,40,Celkem,151583
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,40,Muži,77278
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,40,Ženy,74305
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,41,Celkem,151967
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,41,Muži,77225
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,41,Ženy,74742
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,42,Celkem,154052
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,42,Muži,78214
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,42,Ženy,75838
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,43,Celkem,154470
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,43,Muži,78675
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,43,Ženy,75795
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,44,Celkem,162680
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,44,Muži,83166
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,44,Ženy,79514
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,45,Celkem,178018
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,45,Muži,90814
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,45,Ženy,87204
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,46,Celkem,183107
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,46,Muži,93288
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,46,Ženy,89819
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,47,Celkem,185518
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,47,Muži,94057
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,47,Ženy,91461
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,48,Celkem,189878
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,48,Muži,96351
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,48,Ženy,93527
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,49,Celkem,192495
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,49,Muži,97385
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,49,Ženy,95110
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,50,Celkem,193845
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,50,Muži,98285
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,50,Ženy,95560
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,51,Celkem,181273
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,51,Muži,92333
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,51,Ženy,88940
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,52,Celkem,163795
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,52,Muži,82731
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,52,Ženy,81064
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,53,Celkem,154285
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,53,Muži,77866
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,53,Ženy,76419
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,54,Celkem,147328
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,54,Muži,74099
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,54,Ženy,73229
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,55,Celkem,140983
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,55,Muži,70989
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,55,Ženy,69994
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,56,Celkem,133048
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,56,Muži,66640
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,56,Ženy,66408
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,57,Celkem,132736
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,57,Muži,66532
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,57,Ženy,66204
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,58,Celkem,133401
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,58,Muži,66524
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,58,Ženy,66877
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,59,Celkem,137076
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,59,Muži,68236
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,59,Ženy,68840
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,60,Celkem,142592
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,60,Muži,71142
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,60,Ženy,71450
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,61,Celkem,137059
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,61,Muži,67947
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,61,Ženy,69112
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,62,Celkem,122155
