Ukazatel,Rok,Pohlaví,"ČR, kraje",Věkové skupiny (pětileté),value
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Česko,Celkem,10909500
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Česko,0,84705
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Česko,1 - 4,426353
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Česko,5 - 9,591172
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Česko,10 - 14,588553
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Česko,15 - 19,618586
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Česko,20 - 24,529106
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Česko,25 - 29,530337
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Česko,30 - 34,689599
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Česko,35 - 39,739361
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Česko,40 - 44,774752
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Česko,45 - 49,929016
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Česko,50 - 54,840526
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Česko,55 - 59,677244
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Česko,60 - 64,634303
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Česko,65 - 69,613533
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Česko,70 - 74,613427
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Česko,75 - 79,509125
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Česko,80 - 84,307862
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Česko,85 - 89,142940
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Česko,90 - 94,56931
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Česko,95 a více,12069
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Hlavní město Praha,Celkem,1397880
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Hlavní město Praha,0,12083
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Hlavní město Praha,1 - 4,56104
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Hlavní město Praha,5 - 9,73809
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Hlavní město Praha,10 - 14,73289
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Hlavní město Praha,15 - 19,76557
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Hlavní město Praha,20 - 24,71480
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Hlavní město Praha,25 - 29,77968
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Hlavní město Praha,30 - 34,103183
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Hlavní město Praha,35 - 39,112165
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Hlavní město Praha,40 - 44,112207
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Hlavní město Praha,45 - 49,123542
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Hlavní město Praha,50 - 54,100500
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Hlavní město Praha,55 - 59,77145
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Hlavní město Praha,60 - 64,70407
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Hlavní město Praha,65 - 69,63595
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Hlavní město Praha,70 - 74,67411
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Hlavní město Praha,75 - 79,60350
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Hlavní město Praha,80 - 84,38719
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Hlavní město Praha,85 - 89,17331
