Ukazatel;Území;Pohlaví;Roky;Věkové skupiny (pětileté);Rodinný stav;value
Počet obyvatel k 31. 12.;Česko;Celkem;2024;Celkem;Celkem;10909500
Počet obyvatel k 31. 12.;Česko;Celkem;2024;Celkem;Svobodní, svobodné;4818250
Počet obyvatel k 31. 12.;Česko;Celkem;2024;Celkem;Ženatí, vdané;4104623
Počet obyvatel k 31. 12.;Česko;Celkem;2024;Celkem;Rozvedení, rozvedené;1259381
Počet obyvatel k 31. 12.;Česko;Celkem;2024;Celkem;Ovdovělí, ovdovělé;727246
Počet obyvatel k 31. 12.;Česko;Celkem;2024;0;Celkem;84705
Počet obyvatel k 31. 12.;Česko;Celkem;2024;0;Svobodní, svobodné;84705
Počet obyvatel k 31. 12.;Česko;Celkem;2024;0;Ženatí, vdané;0
Počet obyvatel k 31. 12.;Česko;Celkem;2024;0;Rozvedení, rozvedené;0
Počet obyvatel k 31. 12.;Česko;Celkem;2024;0;Ovdovělí, ovdovělé;0
Počet obyvatel k 31. 12.;Česko;Celkem;2024;1 - 4;Celkem;426353
Počet obyvatel k 31. 12.;Česko;Celkem;2024;1 - 4;Svobodní, svobodné;426353
Počet obyvatel k 31. 12.;Česko;Celkem;2024;1 - 4;Ženatí, vdané;0
Počet obyvatel k 31. 12.;Česko;Celkem;2024;1 - 4;Rozvedení, rozvedené;0
Počet obyvatel k 31. 12.;Česko;Celkem;2024;1 - 4;Ovdovělí, ovdovělé;0
Počet obyvatel k 31. 12.;Česko;Celkem;2024;5 - 9;Celkem;591172
Počet obyvatel k 31. 12.;Česko;Celkem;2024;5 - 9;Svobodní, svobodné;591172
Počet obyvatel k 31. 12.;Česko;Celkem;2024;5 - 9;Ženatí, vdané;0
Počet obyvatel k 31. 12.;Česko;Celkem;2024;5 - 9;Rozvedení, rozvedené;0
Počet obyvatel k 31. 12.;Česko;Celkem;2024;5 - 9;Ovdovělí, ovdovělé;0
Počet obyvatel k 31. 12.;Česko;Celkem;2024;10 - 14;Celkem;588553
Počet obyvatel k 31. 12.;Česko;Celkem;2024;10 - 14;Svobodní, svobodné;588553
Počet obyvatel k 31. 12.;Česko;Celkem;2024;10 - 14;Ženatí, vdané;0
Počet obyvatel k 31. 12.;Česko;Celkem;2024;10 - 14;Rozvedení, rozvedené;0
Počet obyvatel k 31. 12.;Česko;Celkem;2024;10 - 14;Ovdovělí, ovdovělé;0
Počet obyvatel k 31. 12.;Česko;Celkem;2024;15 - 19;Celkem;618586
Počet obyvatel k 31. 12.;Česko;Celkem;2024;15 - 19;Svobodní, svobodné;618115
Počet obyvatel k 31. 12.;Česko;Celkem;2024;15 - 19;Ženatí, vdané;468
Počet obyvatel k 31. 12.;Česko;Celkem;2024;15 - 19;Rozvedení, rozvedené;3
Počet obyvatel k 31. 12.;Česko;Celkem;2024;15 - 19;Ovdovělí, ovdovělé;0
Počet obyvatel k 31. 12.;Česko;Celkem;2024;20 - 24;Celkem;529106
Počet obyvatel k 31. 12.;Česko;Celkem;2024;20 - 24;Svobodní, svobodné;510722
Počet obyvatel k 31. 12.;Česko;Celkem;2024;20 - 24;Ženatí, vdané;17695
Počet obyvatel k 31. 12.;Česko;Celkem;2024;20 - 24;Rozvedení, rozvedené;667
Počet obyvatel k 31. 12.;Česko;Celkem;2024;20 - 24;Ovdovělí, ovdovělé;22
Počet obyvatel k 31. 12.;Česko;Celkem;2024;25 - 29;Celkem;530337
Počet obyvatel k 31. 12.;Česko;Celkem;2024;25 - 29;Svobodní, svobodné;416983
Počet obyvatel k 31. 12.;Česko;Celkem;2024;25 - 29;Ženatí, vdané;106716
Počet obyvatel k 31. 12.;Česko;Celkem;2024;25 - 29;Rozvedení, rozvedené;6467
Počet obyvatel k 31. 12.;Česko;Celkem;2024;25 - 29;Ovdovělí, ovdovělé;171
Počet obyvatel k 31. 12.;Česko;Celkem;2024;30 - 34;Celkem;689599
Počet obyvatel k 31. 12.;Česko;Celkem;2024;30 - 34;Svobodní, svobodné;395790
Počet obyvatel k 31. 12.;Česko;Celkem;2024;30 - 34;Ženatí, vdané;269333
Počet obyvatel k 31. 12.;Česko;Celkem;2024;30 - 34;Rozvedení, rozvedené;23799
Počet obyvatel k 31. 12.;Česko;Celkem;2024;30 - 34;Ovdovělí, ovdovělé;677
Počet obyvatel k 31. 12.;Česko;Celkem;2024;35 - 39;Celkem;739361
Počet obyvatel k 31. 12.;Česko;Celkem;2024;35 - 39;Svobodní, svobodné;331668
Počet obyvatel k 31. 12.;Česko;Celkem;2024;35 - 39;Ženatí, vdané;355021
Počet obyvatel k 31. 12.;Česko;Celkem;2024;35 - 39;Rozvedení, rozvedené;50868
Počet obyvatel k 31. 12.;Česko;Celkem;2024;35 - 39;Ovdovělí, ovdovělé;1804
Počet obyvatel k 31. 12.;Česko;Celkem;2024;40 - 44;Celkem;774752
Počet obyvatel k 31. 12.;Česko;Celkem;2024;40 - 44;Svobodní, svobodné;278087
Počet obyvatel k 31. 12.;Česko;Celkem;2024;40 - 44;Ženatí, vdané;401671
Počet obyvatel k 31. 12.;Česko;Celkem;2024;40 - 44;Rozvedení, rozvedené;91091
Počet obyvatel k 31. 12.;Česko;Celkem;2024;40 - 44;Ovdovělí, ovdovělé;3903
Počet obyvatel k 31. 12.;Česko;Celkem;2024;45 - 49;Celkem;929016
Počet obyvatel k 31. 12.;Česko;Celkem;2024;45 - 49;Svobodní, svobodné;242227
Počet obyvatel k 31. 12.;Česko;Celkem;2024;45 - 49;Ženatí, vdané;505638
Počet obyvatel k 31. 12.;Česko;Celkem;2024;45 - 49;Rozvedení, rozvedené;172083
Počet obyvatel k 31. 12.;Česko;Celkem;2024;45 - 49;Ovdovělí, ovdovělé;9068
Počet obyvatel k 31. 12.;Česko;Celkem;2024;50 - 54;Celkem;840526
Počet obyvatel k 31. 12.;Česko;Celkem;2024;50 - 54;Svobodní, svobodné;136057
