Ukazatel;Území;Roky;Pohlaví;Věkové skupiny;Rodinný stav;value
Počet obyvatel k 31. 12.;Česko;2024;Celkem;Celkem;Celkem;10909500
Počet obyvatel k 31. 12.;Česko;2024;Celkem;Celkem;Svobodní, svobodné;4818250
Počet obyvatel k 31. 12.;Česko;2024;Celkem;Celkem;Ženatí, vdané;4104623
Počet obyvatel k 31. 12.;Česko;2024;Celkem;Celkem;Rozvedení, rozvedené;1259381
Počet obyvatel k 31. 12.;Česko;2024;Celkem;Celkem;Ovdovělí, ovdovělé;727246
Počet obyvatel k 31. 12.;Česko;2024;Celkem;0 - 14 let;Celkem;1690783
Počet obyvatel k 31. 12.;Česko;2024;Celkem;0 - 14 let;Svobodní, svobodné;1690783
Počet obyvatel k 31. 12.;Česko;2024;Celkem;0 - 14 let;Ženatí, vdané;0
Počet obyvatel k 31. 12.;Česko;2024;Celkem;0 - 14 let;Rozvedení, rozvedené;0
Počet obyvatel k 31. 12.;Česko;2024;Celkem;0 - 14 let;Ovdovělí, ovdovělé;0
Počet obyvatel k 31. 12.;Česko;2024;Celkem;15 - 64 let;Celkem;6962830
Počet obyvatel k 31. 12.;Česko;2024;Celkem;15 - 64 let;Svobodní, svobodné;3045465
Počet obyvatel k 31. 12.;Česko;2024;Celkem;15 - 64 let;Ženatí, vdané;2918791
Počet obyvatel k 31. 12.;Česko;2024;Celkem;15 - 64 let;Rozvedení, rozvedené;902919
Počet obyvatel k 31. 12.;Česko;2024;Celkem;15 - 64 let;Ovdovělí, ovdovělé;95655
Počet obyvatel k 31. 12.;Česko;2024;Celkem;65 a více let;Celkem;2255887
Počet obyvatel k 31. 12.;Česko;2024;Celkem;65 a více let;Svobodní, svobodné;82002
Počet obyvatel k 31. 12.;Česko;2024;Celkem;65 a více let;Ženatí, vdané;1185832
Počet obyvatel k 31. 12.;Česko;2024;Celkem;65 a více let;Rozvedení, rozvedené;356462
Počet obyvatel k 31. 12.;Česko;2024;Celkem;65 a více let;Ovdovělí, ovdovělé;631591
Počet obyvatel k 31. 12.;Česko;2024;Muži;Celkem;Celkem;5354579
Počet obyvatel k 31. 12.;Česko;2024;Muži;Celkem;Svobodní, svobodné;2635886
Počet obyvatel k 31. 12.;Česko;2024;Muži;Celkem;Ženatí, vdané;2047712
Počet obyvatel k 31. 12.;Česko;2024;Muži;Celkem;Rozvedení, rozvedené;543016
Počet obyvatel k 31. 12.;Česko;2024;Muži;Celkem;Ovdovělí, ovdovělé;127965
Počet obyvatel k 31. 12.;Česko;2024;Muži;0 - 14 let;Celkem;866229
Počet obyvatel k 31. 12.;Česko;2024;Muži;0 - 14 let;Svobodní, svobodné;866229
Počet obyvatel k 31. 12.;Česko;2024;Muži;0 - 14 let;Ženatí, vdané;0
Počet obyvatel k 31. 12.;Česko;2024;Muži;0 - 14 let;Rozvedení, rozvedené;0
Počet obyvatel k 31. 12.;Česko;2024;Muži;0 - 14 let;Ovdovělí, ovdovělé;0
Počet obyvatel k 31. 12.;Česko;2024;Muži;15 - 64 let;Celkem;3536189
Počet obyvatel k 31. 12.;Česko;2024;Muži;15 - 64 let;Svobodní, svobodné;1722263
Počet obyvatel k 31. 12.;Česko;2024;Muži;15 - 64 let;Ženatí, vdané;1395281
Počet obyvatel k 31. 12.;Česko;2024;Muži;15 - 64 let;Rozvedení, rozvedené;401283
Počet obyvatel k 31. 12.;Česko;2024;Muži;15 - 64 let;Ovdovělí, ovdovělé;17362
Počet obyvatel k 31. 12.;Česko;2024;Muži;65 a více let;Celkem;952161
Počet obyvatel k 31. 12.;Česko;2024;Muži;65 a více let;Svobodní, svobodné;47394
Počet obyvatel k 31. 12.;Česko;2024;Muži;65 a více let;Ženatí, vdané;652431
Počet obyvatel k 31. 12.;Česko;2024;Muži;65 a více let;Rozvedení, rozvedené;141733
