Území,Ukazatel,Roky,value
Česko,Živě narození,2024,92689.0
Česko,Živě narození,2025,90582.0
Česko,Živě narození,2026,88297.0
Česko,Živě narození,2027,86266.0
Česko,Živě narození,2028,85017.0
Česko,Živě narození,2029,84548.0
Česko,Živě narození,2030,84365.0
Česko,Živě narození,2031,84457.0
Česko,Živě narození,2032,84813.0
Česko,Živě narození,2033,85407.0
Česko,Živě narození,2034,86204.0
Česko,Živě narození,2035,87160.0
Česko,Živě narození,2036,88222.0
Česko,Živě narození,2037,89318.0
Česko,Živě narození,2038,90383.0
Česko,Živě narození,2039,91358.0
Česko,Živě narození,2040,92193.0
Česko,Živě narození,2041,92856.0
Česko,Živě narození,2042,93333.0
Česko,Živě narození,2043,93627.0
Česko,Živě narození,2044,93746.0
Česko,Živě narození,2045,93697.0
Česko,Živě narození,2046,93487.0
Česko,Živě narození,2047,93113.0
Česko,Živě narození,2048,92576.0
Česko,Živě narození,2049,91872.0
Česko,Živě narození,2050,91012.0
Česko,Živě narození,2051,89932.0
Česko,Živě narození,2052,88717.0
Česko,Živě narození,2053,87396.0
Česko,Živě narození,2054,86024.0
Česko,Živě narození,2055,84651.0
Česko,Živě narození,2056,83329.0
Česko,Živě narození,2057,82097.0
Česko,Živě narození,2058,80994.0
Česko,Živě narození,2059,80056.0
Česko,Živě narození,2060,79302.0
Česko,Živě narození,2061,78743.0
Česko,Živě narození,2062,78370.0
Česko,Živě narození,2063,78176.0
Česko,Živě narození,2064,78149.0
Česko,Živě narození,2065,78264.0
Česko,Živě narození,2066,78492.0
Česko,Živě narození,2067,78803.0
Česko,Živě narození,2068,79164.0
Česko,Živě narození,2069,79550.0
Česko,Živě narození,2070,79934.0
Česko,Živě narození,2071,80291.0
Česko,Živě narození,2072,80605.0
Česko,Živě narození,2073,80857.0
Česko,Živě narození,2074,81032.0
Česko,Živě narození,2075,81123.0
Česko,Živě narození,2076,81121.0
Česko,Živě narození,2077,81024.0
Česko,Živě narození,2078,80832.0
Česko,Živě narození,2079,80546.0
Česko,Živě narození,2080,80174.0
Česko,Živě narození,2081,79722.0
Česko,Živě narození,2082,79202.0
Česko,Živě narození,2083,78623.0
Česko,Živě narození,2084,78004.0
Česko,Živě narození,2085,77358.0
Česko,Živě narození,2086,76702.0
Česko,Živě narození,2087,76052.0
Česko,Živě narození,2088,75426.0
Česko,Živě narození,2089,74835.0
Česko,Živě narození,2090,74296.0
Česko,Živě narození,2091,73815.0
Česko,Živě narození,2092,73402.0
Česko,Živě narození,2093,73063.0
Česko,Živě narození,2094,72799.0
Česko,Živě narození,2095,72604.0
Česko,Živě narození,2096,72481.0
Česko,Živě narození,2097,72416.0
Česko,Živě narození,2098,72407.0
Česko,Živě narození,2099,72435.0
Česko,Živě narození,2100,72496.0
Česko,Živě narození,2101,
Česko,Živě narození - muži,2024,47456.0
Česko,Živě narození - muži,2025,46378.0
Česko,Živě narození - muži,2026,45208.0
Česko,Živě narození - muži,2027,44168.0
Česko,Živě narození - muži,2028,43529.0
Česko,Živě narození - muži,2029,43289.0
Česko,Živě narození - muži,2030,43195.0
Česko,Živě narození - muži,2031,43242.0
Česko,Živě narození - muži,2032,43424.0
Česko,Živě narození - muži,2033,43728.0
Česko,Živě narození - muži,2034,44136.0
Česko,Živě narození - muži,2035,44626.0
Česko,Živě narození - muži,2036,45169.0
Česko,Živě narození - muži,2037,45730.0
Česko,Živě narození - muži,2038,46276.0
Česko,Živě narození - muži,2039,46775.0
Česko,Živě narození - muži,2040,47203.0
Česko,Živě narození - muži,2041,47542.0
Česko,Živě narození - muži,2042,47786.0
Česko,Živě narození - muži,2043,47937.0
Česko,Živě narození - muži,2044,47998.0
Česko,Živě narození - muži,2045,47973.0
Česko,Živě narození - muži,2046,47865.0
Česko,Živě narození - muži,2047,47673.0
Česko,Živě narození - muži,2048,47399.0
Česko,Živě narození - muži,2049,47038.0
Česko,Živě narození - muži,2050,46598.0
Česko,Živě narození - muži,2051,46045.0
Česko,Živě narození - muži,2052,45423.0
Česko,Živě narození - muži,2053,44746.0
Česko,Živě narození - muži,2054,44044.0
Česko,Živě narození - muži,2055,43341.0
Česko,Živě narození - muži,2056,42664.0
Česko,Živě narození - muži,2057,42034.0
Česko,Živě narození - muži,2058,41469.0
Česko,Živě narození - muži,2059,40988.0
Česko,Živě narození - muži,2060,40602.0
Česko,Živě narození - muži,2061,40317.0
Česko,Živě narození - muži,2062,40125.0
Česko,Živě narození - muži,2063,40027.0
Česko,Živě narození - muži,2064,40012.0
Česko,Živě narození - muži,2065,40071.0
Česko,Živě narození - muži,2066,40188.0
Česko,Živě narození - muži,2067,40347.0
Česko,Živě narození - muži,2068,40532.0
Česko,Živě narození - muži,2069,40730.0
Česko,Živě narození - muži,2070,40926.0
Česko,Živě narození - muži,2071,41109.0
Česko,Živě narození - muži,2072,41270.0
Česko,Živě narození - muži,2073,41399.0
Česko,Živě narození - muži,2074,41489.0
Česko,Živě narození - muži,2075,41535.0
Česko,Živě narození - muži,2076,41534.0
Česko,Živě narození - muži,2077,41484.0
Česko,Živě narození - muži,2078,41386.0
Česko,Živě narození - muži,2079,41239.0
Česko,Živě narození - muži,2080,41050.0
Česko,Živě narození - muži,2081,40818.0
Česko,Živě narození - muži,2082,40552.0
Česko,Živě narození - muži,2083,40255.0
Česko,Živě narození - muži,2084,39938.0
Česko,Živě narození - muži,2085,39607.0
Česko,Živě narození - muži,2086,39271.0
Česko,Živě narození - muži,2087,38939.0
Česko,Živě narození - muži,2088,38618.0
Česko,Živě narození - muži,2089,38316.0
Česko,Živě narození - muži,2090,38040.0
