Ukazatel,Území,Pořadí narození,Rodinný stav matky,Věk matky (jednoleté skupiny),Roky,value
Živě narození,Česko,Celkem,Celkem,Celkem,2024,84311.0
Živě narození,Česko,Celkem,Celkem,Celkem,2023,91149.0
Živě narození,Česko,Celkem,Celkem,Celkem,2022,101299.0
Živě narození,Česko,Celkem,Celkem,Celkem,2021,111793.0
Živě narození,Česko,Celkem,Celkem,Celkem,2020,110200.0
Živě narození,Česko,Celkem,Celkem,Celkem,2019,112231.0
Živě narození,Česko,Celkem,Celkem,Celkem,2018,114036.0
Živě narození,Česko,Celkem,Celkem,Celkem,2017,114405.0
Živě narození,Česko,Celkem,Celkem,Celkem,2016,112663.0
Živě narození,Česko,Celkem,Celkem,Celkem,2015,110764.0
Živě narození,Česko,Celkem,Celkem,Celkem,2014,109860.0
Živě narození,Česko,Celkem,Celkem,Celkem,2013,106751.0
Živě narození,Česko,Celkem,Celkem,Celkem,2012,108576.0
Živě narození,Česko,Celkem,Celkem,Celkem,2011,108673.0
Živě narození,Česko,Celkem,Celkem,Celkem,2010,117153.0
Živě narození,Česko,Celkem,Celkem,Celkem,2009,118348.0
Živě narození,Česko,Celkem,Celkem,Celkem,2008,119570.0
Živě narození,Česko,Celkem,Celkem,Celkem,2007,114632.0
Živě narození,Česko,Celkem,Celkem,Celkem,2006,105831.0
Živě narození,Česko,Celkem,Celkem,Celkem,2005,102211.0
Živě narození,Česko,Celkem,Celkem,Celkem,2004,97664.0
Živě narození,Česko,Celkem,Celkem,Celkem,2003,93685.0
Živě narození,Česko,Celkem,Celkem,Celkem,2002,92786.0
Živě narození,Česko,Celkem,Celkem,Celkem,2001,90715.0
Živě narození,Česko,Celkem,Celkem,do 14,2024,15.0
Živě narození,Česko,Celkem,Celkem,do 14,2023,12.0
Živě narození,Česko,Celkem,Celkem,do 14,2022,21.0
Živě narození,Česko,Celkem,Celkem,do 14,2021,17.0
Živě narození,Česko,Celkem,Celkem,do 14,2020,19.0
Živě narození,Česko,Celkem,Celkem,do 14,2019,22.0
Živě narození,Česko,Celkem,Celkem,do 14,2018,14.0
Živě narození,Česko,Celkem,Celkem,do 14,2017,9.0
Živě narození,Česko,Celkem,Celkem,do 14,2016,14.0
Živě narození,Česko,Celkem,Celkem,do 14,2015,13.0
Živě narození,Česko,Celkem,Celkem,do 14,2014,6.0
Živě narození,Česko,Celkem,Celkem,do 14,2013,9.0
Živě narození,Česko,Celkem,Celkem,do 14,2012,12.0
Živě narození,Česko,Celkem,Celkem,do 14,2011,19.0
Živě narození,Česko,Celkem,Celkem,do 14,2010,15.0
Živě narození,Česko,Celkem,Celkem,do 14,2009,15.0
Živě narození,Česko,Celkem,Celkem,do 14,2008,14.0
Živě narození,Česko,Celkem,Celkem,do 14,2007,18.0
Živě narození,Česko,Celkem,Celkem,do 14,2006,19.0
Živě narození,Česko,Celkem,Celkem,do 14,2005,19.0
Živě narození,Česko,Celkem,Celkem,do 14,2004,14.0
Živě narození,Česko,Celkem,Celkem,do 14,2003,26.0
Živě narození,Česko,Celkem,Celkem,do 14,2002,20.0
Živě narození,Česko,Celkem,Celkem,do 14,2001,17.0
Živě narození,Česko,Celkem,Celkem,15,2024,
Živě narození,Česko,Celkem,Celkem,15,2023,44.0
Živě narození,Česko,Celkem,Celkem,15,2022,39.0
Živě narození,Česko,Celkem,Celkem,15,2021,53.0
Živě narození,Česko,Celkem,Celkem,15,2020,64.0
Živě narození,Česko,Celkem,Celkem,15,2019,61.0
Živě narození,Česko,Celkem,Celkem,15,2018,59.0
Živě narození,Česko,Celkem,Celkem,15,2017,69.0
Živě narození,Česko,Celkem,Celkem,15,2016,47.0
Živě narození,Česko,Celkem,Celkem,15,2015,66.0
Živě narození,Česko,Celkem,Celkem,15,2014,62.0
Živě narození,Česko,Celkem,Celkem,15,2013,55.0
Živě narození,Česko,Celkem,Celkem,15,2012,53.0
Živě narození,Česko,Celkem,Celkem,15,2011,67.0
Živě narození,Česko,Celkem,Celkem,15,2010,74.0
Živě narození,Česko,Celkem,Celkem,15,2009,80.0
Živě narození,Česko,Celkem,Celkem,15,2008,66.0
Živě narození,Česko,Celkem,Celkem,15,2007,72.0
Živě narození,Česko,Celkem,Celkem,15,2006,63.0
Živě narození,Česko,Celkem,Celkem,15,2005,72.0
Živě narození,Česko,Celkem,Celkem,15,2004,77.0
Živě narození,Česko,Celkem,Celkem,15,2003,69.0
Živě narození,Česko,Celkem,Celkem,15,2002,70.0
Živě narození,Česko,Celkem,Celkem,15,2001,63.0
Živě narození,Česko,Celkem,Celkem,16,2024,
Živě narození,Česko,Celkem,Celkem,16,2023,122.0
Živě narození,Česko,Celkem,Celkem,16,2022,141.0
Živě narození,Česko,Celkem,Celkem,16,2021,147.0
Živě narození,Česko,Celkem,Celkem,16,2020,162.0
Živě narození,Česko,Celkem,Celkem,16,2019,172.0
Živě narození,Česko,Celkem,Celkem,16,2018,202.0
Živě narození,Česko,Celkem,Celkem,16,2017,197.0
Živě narození,Česko,Celkem,Celkem,16,2016,223.0
Živě narození,Česko,Celkem,Celkem,16,2015,177.0
Živě narození,Česko,Celkem,Celkem,16,2014,230.0
Živě narození,Česko,Celkem,Celkem,16,2013,204.0
Živě narození,Česko,Celkem,Celkem,16,2012,225.0
Živě narození,Česko,Celkem,Celkem,16,2011,224.0
Živě narození,Česko,Celkem,Celkem,16,2010,250.0
Živě narození,Česko,Celkem,Celkem,16,2009,247.0
Živě narození,Česko,Celkem,Celkem,16,2008,243.0
Živě narození,Česko,Celkem,Celkem,16,2007,239.0
Živě narození,Česko,Celkem,Celkem,16,2006,246.0
Živě narození,Česko,Celkem,Celkem,16,2005,264.0
Živě narození,Česko,Celkem,Celkem,16,2004,265.0
Živě narození,Česko,Celkem,Celkem,16,2003,222.0
Živě narození,Česko,Celkem,Celkem,16,2002,247.0
