Ukazatel,Roky,Věk (jednoleté skupiny),"ČR, Reg. soudržnosti, Kraje",value
Míry plodnosti,2024,15,Česko,0.89526972
Míry plodnosti,2024,15,Praha,0.139295166
Míry plodnosti,2024,15,Střední Čechy,0.331235508
Míry plodnosti,2024,15,Jihozápad,0.423131171
Míry plodnosti,2024,15,Severozápad,2.907866544
Míry plodnosti,2024,15,Severovýchod,1.235955056
Míry plodnosti,2024,15,Jihovýchod,0.630981176
Míry plodnosti,2024,15,Střední Morava,0.898338075
Míry plodnosti,2024,15,Moravskoslezsko,0.92506938
Míry plodnosti,2024,15,Hlavní město Praha,0.139295166
Míry plodnosti,2024,15,Středočeský kraj,0.331235508
Míry plodnosti,2024,15,Jihočeský kraj,0.272405339
Míry plodnosti,2024,15,Plzeňský kraj,0.584966364
Míry plodnosti,2024,15,Karlovarský kraj,0.587544066
Míry plodnosti,2024,15,Ústecký kraj,3.725165563
Míry plodnosti,2024,15,Liberecký kraj,1.837559721
Míry plodnosti,2024,15,Královéhradecký kraj,0.624804749
Míry plodnosti,2024,15,Pardubický kraj,1.343183345
Míry plodnosti,2024,15,Kraj Vysočina,1.803101334
Míry plodnosti,2024,15,Jihomoravský kraj,0.148456057
Míry plodnosti,2024,15,Olomoucký kraj,1.11919418
Míry plodnosti,2024,15,Zlínský kraj,0.644122383
Míry plodnosti,2024,15,Moravskoslezský kraj,0.92506938
Míry plodnosti,2024,16,Česko,2.238241006
Míry plodnosti,2024,16,Praha,1.447596989
Míry plodnosti,2024,16,Střední Čechy,1.245048104
Míry plodnosti,2024,16,Jihozápad,1.839796207
Míry plodnosti,2024,16,Severozápad,4.385964912
Míry plodnosti,2024,16,Severovýchod,2.500284123
Míry plodnosti,2024,16,Jihovýchod,1.174084748
Míry plodnosti,2024,16,Střední Morava,1.818181818
Míry plodnosti,2024,16,Moravskoslezsko,4.259850905
Míry plodnosti,2024,16,Hlavní město Praha,1.447596989
Míry plodnosti,2024,16,Středočeský kraj,1.245048104
Míry plodnosti,2024,16,Jihočeský kraj,1.907356948
Míry plodnosti,2024,16,Plzeňský kraj,1.766784452
Míry plodnosti,2024,16,Karlovarský kraj,2.865329513
Míry plodnosti,2024,16,Ústecký kraj,4.931169098
Míry plodnosti,2024,16,Liberecký kraj,3.384731102
Míry plodnosti,2024,16,Královéhradecký kraj,3.136762861
Míry plodnosti,2024,16,Pardubický kraj,1.016260163
Míry plodnosti,2024,16,Kraj Vysočina,1.413927183
Míry plodnosti,2024,16,Jihomoravský kraj,1.070336391
Míry plodnosti,2024,16,Olomoucký kraj,3.124112468
Míry plodnosti,2024,16,Zlínský kraj,0.324780773
Míry plodnosti,2024,16,Moravskoslezský kraj,4.259850905
Míry plodnosti,2024,17,Česko,4.628190516
Míry plodnosti,2024,17,Praha,2.060035315
Míry plodnosti,2024,17,Střední Čechy,2.535007243
Míry plodnosti,2024,17,Jihozápad,4.592592593
Míry plodnosti,2024,17,Severozápad,11.72690763
Míry plodnosti,2024,17,Severovýchod,3.945952409
Míry plodnosti,2024,17,Jihovýchod,3.947220029
Míry plodnosti,2024,17,Střední Morava,4.138809296
Míry plodnosti,2024,17,Moravskoslezsko,5.521375611
Míry plodnosti,2024,17,Hlavní město Praha,2.060035315
Míry plodnosti,2024,17,Středočeský kraj,2.535007243
Míry plodnosti,2024,17,Jihočeský kraj,6.022368798
Míry plodnosti,2024,17,Plzeňský kraj,3.064664419
Míry plodnosti,2024,17,Karlovarský kraj,11.69230769
Míry plodnosti,2024,17,Ústecký kraj,11.73913043
Míry plodnosti,2024,17,Liberecký kraj,4.04040404
Míry plodnosti,2024,17,Královéhradecký kraj,4.274909569
Míry plodnosti,2024,17,Pardubický kraj,3.512469266
Míry plodnosti,2024,17,Kraj Vysočina,4.078605858
Míry plodnosti,2024,17,Jihomoravský kraj,3.889789303
Míry plodnosti,2024,17,Olomoucký kraj,6.563245823
Míry plodnosti,2024,17,Zlínský kraj,1.365187713
Míry plodnosti,2024,17,Moravskoslezský kraj,5.521375611
Míry plodnosti,2024,18,Česko,8.252601363
Míry plodnosti,2024,18,Praha,2.860411899
Míry plodnosti,2024,18,Střední Čechy,5.373592631
Míry plodnosti,2024,18,Jihozápad,9.041309431
Míry plodnosti,2024,18,Severozápad,17.58879781
Míry plodnosti,2024,18,Severovýchod,8.875364524
Míry plodnosti,2024,18,Jihovýchod,5.767677933
Míry plodnosti,2024,18,Střední Morava,6.599571028
Míry plodnosti,2024,18,Moravskoslezsko,12.73990735
Míry plodnosti,2024,18,Hlavní město Praha,2.860411899
Míry plodnosti,2024,18,Středočeský kraj,5.373592631
Míry plodnosti,2024,18,Jihočeský kraj,8.547008547
Míry plodnosti,2024,18,Plzeňský kraj,9.557183817
Míry plodnosti,2024,18,Karlovarský kraj,17.32178548
Míry plodnosti,2024,18,Ústecký kraj,17.68082664
Míry plodnosti,2024,18,Liberecký kraj,10.26957638
Míry plodnosti,2024,18,Královéhradecký kraj,6.641034603
Míry plodnosti,2024,18,Pardubický kraj,10.0409074
Míry plodnosti,2024,18,Kraj Vysočina,6.891271057
Míry plodnosti,2024,18,Jihomoravský kraj,5.28314347
Míry plodnosti,2024,18,Olomoucký kraj,9.13673598
Míry plodnosti,2024,18,Zlínský kraj,3.810183582
Míry plodnosti,2024,18,Moravskoslezský kraj,12.73990735
Míry plodnosti,2024,19,Česko,13.45340528
Míry plodnosti,2024,19,Praha,7.144820005
Míry plodnosti,2024,19,Střední Čechy,10.4
