Roky;ČR, kraje;Ukazatel;value
2024;Česko;Narození;84602.0
2024;Česko;Živě narození;84311.0
2024;Česko;Živě narození - chlapci;
2024;Česko;Živě narození - dívky;
2024;Česko;Pořadí dítěte 1.;
2024;Česko;Pořadí dítěte 2.;
2024;Česko;Pořadí dítěte 3.;
2024;Česko;Pořadí dítěte 4. a vyšší;
2024;Česko;Živě narození mimo manželství;39599.0
2024;Česko;Podíl živě narozených mimo manželství (%);46.9677740746
2024;Česko;Mrtvě narození;291.0
2024;Česko;Průměrný věk matek při narození dítěte;
2024;Česko;Průměrný věk matek při narození 1. dítěte;
2024;Česko;Úhrnná plodnost;
2024;Hlavní město Praha;Narození;12125.0
2024;Hlavní město Praha;Živě narození;12085.0
2024;Hlavní město Praha;Živě narození - chlapci;
2024;Hlavní město Praha;Živě narození - dívky;
2024;Hlavní město Praha;Pořadí dítěte 1.;
2024;Hlavní město Praha;Pořadí dítěte 2.;
2024;Hlavní město Praha;Pořadí dítěte 3.;
2024;Hlavní město Praha;Pořadí dítěte 4. a vyšší;
2024;Hlavní město Praha;Živě narození mimo manželství;4591.0
2024;Hlavní město Praha;Podíl živě narozených mimo manželství (%);37.9892428631
2024;Hlavní město Praha;Mrtvě narození;40.0
2024;Hlavní město Praha;Průměrný věk matek při narození dítěte;
2024;Hlavní město Praha;Průměrný věk matek při narození 1. dítěte;
2024;Hlavní město Praha;Úhrnná plodnost;
2024;Středočeský kraj;Narození;11022.0
2024;Středočeský kraj;Živě narození;10981.0
2024;Středočeský kraj;Živě narození - chlapci;
2024;Středočeský kraj;Živě narození - dívky;
2024;Středočeský kraj;Pořadí dítěte 1.;
2024;Středočeský kraj;Pořadí dítěte 2.;
2024;Středočeský kraj;Pořadí dítěte 3.;
2024;Středočeský kraj;Pořadí dítěte 4. a vyšší;
2024;Středočeský kraj;Živě narození mimo manželství;5111.0
2024;Středočeský kraj;Podíl živě narozených mimo manželství (%);46.5440305983
2024;Středočeský kraj;Mrtvě narození;41.0
2024;Středočeský kraj;Průměrný věk matek při narození dítěte;
2024;Středočeský kraj;Průměrný věk matek při narození 1. dítěte;
2024;Středočeský kraj;Úhrnná plodnost;
2024;Jihočeský kraj;Narození;5099.0
2024;Jihočeský kraj;Živě narození;5082.0
2024;Jihočeský kraj;Živě narození - chlapci;
2024;Jihočeský kraj;Živě narození - dívky;
2024;Jihočeský kraj;Pořadí dítěte 1.;
2024;Jihočeský kraj;Pořadí dítěte 2.;
2024;Jihočeský kraj;Pořadí dítěte 3.;
2024;Jihočeský kraj;Pořadí dítěte 4. a vyšší;
2024;Jihočeský kraj;Živě narození mimo manželství;2445.0
2024;Jihočeský kraj;Podíl živě narozených mimo manželství (%);48.1109799292
2024;Jihočeský kraj;Mrtvě narození;17.0
2024;Jihočeský kraj;Průměrný věk matek při narození dítěte;
2024;Jihočeský kraj;Průměrný věk matek při narození 1. dítěte;
2024;Jihočeský kraj;Úhrnná plodnost;
2024;Plzeňský kraj;Narození;4579.0
2024;Plzeňský kraj;Živě narození;4569.0
2024;Plzeňský kraj;Živě narození - chlapci;
2024;Plzeňský kraj;Živě narození - dívky;
2024;Plzeňský kraj;Pořadí dítěte 1.;
2024;Plzeňský kraj;Pořadí dítěte 2.;
