Pohlaví;Rok;ČR, kraje;Ukazatel;value
Celkem;2024;Česko;Zemřelí;112211.0
Celkem;2024;Česko;Zemřelí ve věku 0 - 14 let;
Celkem;2024;Česko;Zemřelí ve věku 15- 64 let;
Celkem;2024;Česko;Zemřelí ve věku 65 a více let;
Celkem;2024;Hlavní město Praha;Zemřelí;11792.0
Celkem;2024;Hlavní město Praha;Zemřelí ve věku 0 - 14 let;
Celkem;2024;Hlavní město Praha;Zemřelí ve věku 15- 64 let;
Celkem;2024;Hlavní město Praha;Zemřelí ve věku 65 a více let;
Celkem;2024;Středočeský kraj;Zemřelí;13754.0
Celkem;2024;Středočeský kraj;Zemřelí ve věku 0 - 14 let;
Celkem;2024;Středočeský kraj;Zemřelí ve věku 15- 64 let;
Celkem;2024;Středočeský kraj;Zemřelí ve věku 65 a více let;
Celkem;2024;Jihočeský kraj;Zemřelí;6938.0
Celkem;2024;Jihočeský kraj;Zemřelí ve věku 0 - 14 let;
Celkem;2024;Jihočeský kraj;Zemřelí ve věku 15- 64 let;
Celkem;2024;Jihočeský kraj;Zemřelí ve věku 65 a více let;
Celkem;2024;Plzeňský kraj;Zemřelí;6256.0
Celkem;2024;Plzeňský kraj;Zemřelí ve věku 0 - 14 let;
Celkem;2024;Plzeňský kraj;Zemřelí ve věku 15- 64 let;
Celkem;2024;Plzeňský kraj;Zemřelí ve věku 65 a více let;
Celkem;2024;Karlovarský kraj;Zemřelí;3401.0
Celkem;2024;Karlovarský kraj;Zemřelí ve věku 0 - 14 let;
Celkem;2024;Karlovarský kraj;Zemřelí ve věku 15- 64 let;
Celkem;2024;Karlovarský kraj;Zemřelí ve věku 65 a více let;
Celkem;2024;Ústecký kraj;Zemřelí;9493.0
Celkem;2024;Ústecký kraj;Zemřelí ve věku 0 - 14 let;
Celkem;2024;Ústecký kraj;Zemřelí ve věku 15- 64 let;
Celkem;2024;Ústecký kraj;Zemřelí ve věku 65 a více let;
Celkem;2024;Liberecký kraj;Zemřelí;4730.0
Celkem;2024;Liberecký kraj;Zemřelí ve věku 0 - 14 let;
Celkem;2024;Liberecký kraj;Zemřelí ve věku 15- 64 let;
Celkem;2024;Liberecký kraj;Zemřelí ve věku 65 a více let;
Celkem;2024;Královéhradecký kraj;Zemřelí;5882.0
Celkem;2024;Královéhradecký kraj;Zemřelí ve věku 0 - 14 let;
Celkem;2024;Královéhradecký kraj;Zemřelí ve věku 15- 64 let;
Celkem;2024;Královéhradecký kraj;Zemřelí ve věku 65 a více let;
Celkem;2024;Pardubický kraj;Zemřelí;5442.0
Celkem;2024;Pardubický kraj;Zemřelí ve věku 0 - 14 let;
Celkem;2024;Pardubický kraj;Zemřelí ve věku 15- 64 let;
Celkem;2024;Pardubický kraj;Zemřelí ve věku 65 a více let;
Celkem;2024;Kraj Vysočina;Zemřelí;5408.0
Celkem;2024;Kraj Vysočina;Zemřelí ve věku 0 - 14 let;
Celkem;2024;Kraj Vysočina;Zemřelí ve věku 15- 64 let;
Celkem;2024;Kraj Vysočina;Zemřelí ve věku 65 a více let;
Celkem;2024;Jihomoravský kraj;Zemřelí;12239.0
Celkem;2024;Jihomoravský kraj;Zemřelí ve věku 0 - 14 let;
Celkem;2024;Jihomoravský kraj;Zemřelí ve věku 15- 64 let;
Celkem;2024;Jihomoravský kraj;Zemřelí ve věku 65 a více let;
Celkem;2024;Olomoucký kraj;Zemřelí;6967.0
Celkem;2024;Olomoucký kraj;Zemřelí ve věku 0 - 14 let;
Celkem;2024;Olomoucký kraj;Zemřelí ve věku 15- 64 let;
Celkem;2024;Olomoucký kraj;Zemřelí ve věku 65 a více let;
Celkem;2024;Zlínský kraj;Zemřelí;6306.0
Celkem;2024;Zlínský kraj;Zemřelí ve věku 0 - 14 let;
Celkem;2024;Zlínský kraj;Zemřelí ve věku 15- 64 let;
Celkem;2024;Zlínský kraj;Zemřelí ve věku 65 a více let;
Celkem;2024;Moravskoslezský kraj;Zemřelí;13603.0
Celkem;2024;Moravskoslezský kraj;Zemřelí ve věku 0 - 14 let;
Celkem;2024;Moravskoslezský kraj;Zemřelí ve věku 15- 64 let;
Celkem;2024;Moravskoslezský kraj;Zemřelí ve věku 65 a více let;
