Ukazatel,Území,Roky (ČR),Věk (roky),Pohlaví,value
Naděje dožití (ex),Česko,2024,0,muži,77.1537508479
Naděje dožití (ex),Česko,2024,0,ženy,83.1368450937
Naděje dožití (ex),Česko,2024,1,muži,76.3305292005
Naděje dožití (ex),Česko,2024,1,ženy,82.315411739
Naděje dožití (ex),Česko,2024,2,muži,75.3494685022
Naděje dožití (ex),Česko,2024,2,ženy,81.3293986828
Naděje dožití (ex),Česko,2024,3,muži,74.3586866248
Naděje dožití (ex),Česko,2024,3,ženy,80.3361551584
Naděje dožití (ex),Česko,2024,4,muži,73.3669897238
Naděje dožití (ex),Česko,2024,4,ženy,79.3430172977
Naděje dožití (ex),Česko,2024,5,muži,72.3746319676
Naděje dožití (ex),Česko,2024,5,ženy,78.3501421344
Naděje dožití (ex),Česko,2024,6,muži,71.3815098199
Naděje dožití (ex),Česko,2024,6,ženy,77.3572382382
Naděje dožití (ex),Česko,2024,7,muži,70.3876649193
Naděje dožití (ex),Česko,2024,7,ženy,76.3640801947
Naděje dožití (ex),Česko,2024,8,muži,69.3932476665
Naděje dožití (ex),Česko,2024,8,ženy,75.3705598534
Naděje dožití (ex),Česko,2024,9,muži,68.3984931762
Naděje dožití (ex),Česko,2024,9,ženy,74.3767157995
Naděje dožití (ex),Česko,2024,10,muži,67.4037083285
Naděje dožití (ex),Česko,2024,10,ženy,73.3827062294
Naděje dožití (ex),Česko,2024,11,muži,66.4092359244
Naděje dožití (ex),Česko,2024,11,ženy,72.3887360922
Naděje dožití (ex),Česko,2024,12,muži,65.4154580348
Naděje dožití (ex),Česko,2024,12,ženy,71.3950191422
Naděje dožití (ex),Česko,2024,13,muži,64.4228581879
Naděje dožití (ex),Česko,2024,13,ženy,70.4017937167
Naděje dožití (ex),Česko,2024,14,muži,63.4320257016
Naděje dožití (ex),Česko,2024,14,ženy,69.4092890774
Naděje dožití (ex),Česko,2024,15,muži,62.4436302209
Naděje dožití (ex),Česko,2024,15,ženy,68.4176906858
Naděje dožití (ex),Česko,2024,16,muži,61.4583616433
Naděje dožití (ex),Česko,2024,16,ženy,67.4271163466
Naděje dožití (ex),Česko,2024,17,muži,60.4768261124
Naděje dožití (ex),Česko,2024,17,ženy,66.4376100155
Naděje dožití (ex),Česko,2024,18,muži,59.4993481904
Naděje dožití (ex),Česko,2024,18,ženy,65.449119142
Naděje dožití (ex),Česko,2024,19,muži,58.5257798918
Naděje dožití (ex),Česko,2024,19,ženy,64.4614872892
Naděje dožití (ex),Česko,2024,20,muži,57.5556150855
