Kraje,Dvouleté období (kraje),Pohlaví,Věk (roky),Ukazatel,value
Hlavní město Praha,2023-2024,muži,0,Počet zemřelých (Dx),21.0
Hlavní město Praha,2023-2024,muži,0,Počet obyvatel (Px),12952.0
Hlavní město Praha,2023-2024,muži,0,Míra úmrtnosti (mx),0.0016213712
Hlavní město Praha,2023-2024,muži,0,Pravděpodobnost úmrtí (qx),0.0016190349
Hlavní město Praha,2023-2024,muži,0,Tabulkový počet dožívajících (lx),100000.0
Hlavní město Praha,2023-2024,muži,0,Tabulkový počet zemřelých (dx),161.9034916415
Hlavní město Praha,2023-2024,muži,0,Tabulkový počet žijících (Lx),99855.905892439
Hlavní město Praha,2023-2024,muži,0,Pomocný ukazatel (Tx),7882844.11868998
Hlavní město Praha,2023-2024,muži,0,Naděje dožití (ex),78.8284411869
Hlavní město Praha,2023-2024,muži,1,Počet zemřelých (Dx),3.0
Hlavní město Praha,2023-2024,muži,1,Počet obyvatel (Px),14179.0
Hlavní město Praha,2023-2024,muži,1,Míra úmrtnosti (mx),0.0002625746
Hlavní město Praha,2023-2024,muži,1,Pravděpodobnost úmrtí (qx),0.0002625401
Hlavní město Praha,2023-2024,muži,1,Tabulkový počet dožívajících (lx),99838.0965083585
Hlavní město Praha,2023-2024,muži,1,Tabulkový počet zemřelých (dx),26.2115074727
Hlavní město Praha,2023-2024,muži,1,Tabulkový počet žijících (Lx),99824.9907546221
Hlavní město Praha,2023-2024,muži,1,Pomocný ukazatel (Tx),7782988.21279754
Hlavní město Praha,2023-2024,muži,1,Naděje dožití (ex),77.956095769
Hlavní město Praha,2023-2024,muži,2,Počet zemřelých (Dx),2.0
Hlavní město Praha,2023-2024,muži,2,Počet obyvatel (Px),15104.0
Hlavní město Praha,2023-2024,muži,2,Míra úmrtnosti (mx),0.0001333765
Hlavní město Praha,2023-2024,muži,2,Pravděpodobnost úmrtí (qx),0.0001333676
Hlavní město Praha,2023-2024,muži,2,Tabulkový počet dožívajících (lx),99811.8850008858
