SO ORP,Pětileté období (SO ORP),Pohlaví,Věk (roky),Ukazatel,value
Praha,2020-2024,muži,0,Počet zemřelých (Dx),60.0
Praha,2020-2024,muži,0,Počet obyvatel (Px),34983.5
Praha,2020-2024,muži,0,Míra úmrtnosti (mx),0.0017150943
Praha,2020-2024,muži,0,Pravděpodobnost úmrtí (qx),0.0017125683
Praha,2020-2024,muži,0,Tabulkový počet dožívajících (lx),100000.0
Praha,2020-2024,muži,0,Tabulkový počet zemřelých (dx),171.2568252981
Praha,2020-2024,muži,0,Tabulkový počet žijících (Lx),99852.7191302437
Praha,2020-2024,muži,0,Pomocný ukazatel (Tx),7789424.50868861
Praha,2020-2024,muži,0,Naděje dožití (ex),77.8942450869
Praha,2020-2024,muži,1,Počet zemřelých (Dx),3.0
Praha,2020-2024,muži,1,Počet obyvatel (Px),36235.5
Praha,2020-2024,muži,1,Míra úmrtnosti (mx),0.0001271757
Praha,2020-2024,muži,1,Pravděpodobnost úmrtí (qx),0.0001271676
Praha,2020-2024,muži,1,Tabulkový počet dožívajících (lx),99828.7431747019
Praha,2020-2024,muži,1,Tabulkový počet zemřelých (dx),12.6949784383
Praha,2020-2024,muži,1,Tabulkový počet žijících (Lx),99822.3956854828
Praha,2020-2024,muži,1,Pomocný ukazatel (Tx),7689571.78955836
Praha,2020-2024,muži,1,Naděje dožití (ex),77.0276329744
Praha,2020-2024,muži,2,Počet zemřelých (Dx),6.0
Praha,2020-2024,muži,2,Počet obyvatel (Px),37186.0
Praha,2020-2024,muži,2,Míra úmrtnosti (mx),0.0001212611
Praha,2020-2024,muži,2,Pravděpodobnost úmrtí (qx),0.0001212538
Praha,2020-2024,muži,2,Tabulkový počet dožívajících (lx),99816.0481962636
Praha,2020-2024,muži,2,Tabulkový počet zemřelých (dx),12.1030714702
Praha,2020-2024,muži,2,Tabulkový počet žijících (Lx),99809.9966605285
Praha,2020-2024,muži,2,Pomocný ukazatel (Tx),7589749.39387288
Praha,2020-2024,muži,2,Naděje dožití (ex),76.0373660451
Praha,2020-2024,muži,3,Počet zemřelých (Dx),8.0
Praha,2020-2024,muži,3,Počet obyvatel (Px),37124.5
