Regiony;Roky (regiony soudržnosti);Pohlaví;Věk (roky);Ukazatel;value
Střední Čechy;2023;muži;0;Počet zemřelých (Dx);18.0
Střední Čechy;2023;muži;0;Počet obyvatel (Px);6763.0
Střední Čechy;2023;muži;0;Míra úmrtnosti (mx);0.002661541
Střední Čechy;2023;muži;0;Pravděpodobnost úmrtí (qx);0.002655251
Střední Čechy;2023;muži;0;Tabulkový počet dožívajících (lx);100000.0
Střední Čechy;2023;muži;0;Tabulkový počet zemřelých (dx);265.5251054
Střední Čechy;2023;muži;0;Tabulkový počet žijících (Lx);99763.68266
Střední Čechy;2023;muži;0;Pomocný ukazatel (Tx);7692246.059
Střední Čechy;2023;muži;0;Naděje dožití (ex);76.92246059
Střední Čechy;2023;muži;1;Počet zemřelých (Dx);1.0
Střední Čechy;2023;muži;1;Počet obyvatel (Px);7851.0
Střední Čechy;2023;muži;1;Míra úmrtnosti (mx);0.000146531
Střední Čechy;2023;muži;1;Pravděpodobnost úmrtí (qx);0.00014652
Střední Čechy;2023;muži;1;Tabulkový počet dožívajících (lx);99734.47489
Střední Čechy;2023;muži;1;Tabulkový počet zemřelých (dx);14.61309892
Střední Čechy;2023;muži;1;Tabulkový počet žijících (Lx);99727.16835
Střední Čechy;2023;muži;1;Pomocný ukazatel (Tx);7592482.376
Střední Čechy;2023;muži;1;Naděje dožití (ex);76.12695995
Střední Čechy;2023;muži;2;Počet zemřelých (Dx);0.0
Střední Čechy;2023;muži;2;Počet obyvatel (Px);8321.0
Střední Čechy;2023;muži;2;Míra úmrtnosti (mx);5.69e-05
Střední Čechy;2023;muži;2;Pravděpodobnost úmrtí (qx);5.69e-05
Střední Čechy;2023;muži;2;Tabulkový počet dožívajících (lx);99719.8618
Střední Čechy;2023;muži;2;Tabulkový počet zemřelých (dx);5.678873521
Střední Čechy;2023;muži;2;Tabulkový počet žijících (Lx);99717.02236
Střední Čechy;2023;muži;2;Pomocný ukazatel (Tx);7492755.208
Střední Čechy;2023;muži;2;Naděje dožití (ex);75.13804244
Střední Čechy;2023;muži;3;Počet zemřelých (Dx);1.0
Střední Čechy;2023;muži;3;Počet obyvatel (Px);8466.0
Střední Čechy;2023;muži;3;Míra úmrtnosti (mx);5.11e-05
Střední Čechy;2023;muži;3;Pravděpodobnost úmrtí (qx);5.11e-05
Střední Čechy;2023;muži;3;Tabulkový počet dožívajících (lx);99714.18292
Střední Čechy;2023;muži;3;Tabulkový počet zemřelých (dx);5.099504749
Střední Čechy;2023;muži;3;Tabulkový počet žijících (Lx);99711.63317
Střední Čechy;2023;muži;3;Pomocný ukazatel (Tx);7393038.185
Střední Čechy;2023;muži;3;Naděje dožití (ex);74.14229319
Střední Čechy;2023;muži;4;Počet zemřelých (Dx);1.0
Střední Čechy;2023;muži;4;Počet obyvatel (Px);8788.0
Střední Čechy;2023;muži;4;Míra úmrtnosti (mx);5.0478e-05
Střední Čechy;2023;muži;4;Pravděpodobnost úmrtí (qx);5.05e-05
Střední Čechy;2023;muži;4;Tabulkový počet dožívajících (lx);99709.08342
Střední Čechy;2023;muži;4;Tabulkový počet zemřelých (dx);5.032986532
Střední Čechy;2023;muži;4;Tabulkový počet žijících (Lx);99706.56692
