Území;Ukazatel;Měsíce;Věkové skupiny (roky);value
Česko;Zemřelí;březen 2025;celkem;9948
Česko;Zemřelí;březen 2025;0-14;22
Česko;Zemřelí;březen 2025;15-44;207
Česko;Zemřelí;březen 2025;45-64;1161
Česko;Zemřelí;březen 2025;65-74;2055
Česko;Zemřelí;březen 2025;75-84;3404
Česko;Zemřelí;březen 2025;85 a více;3099
Česko;Zemřelí;únor 2025;celkem;9727
Česko;Zemřelí;únor 2025;0-14;33
Česko;Zemřelí;únor 2025;15-44;220
Česko;Zemřelí;únor 2025;45-64;1210
Česko;Zemřelí;únor 2025;65-74;1999
Česko;Zemřelí;únor 2025;75-84;3342
Česko;Zemřelí;únor 2025;85 a více;2923
Česko;Zemřelí;leden 2025;celkem;10891
Česko;Zemřelí;leden 2025;0-14;34
Česko;Zemřelí;leden 2025;15-44;257
Česko;Zemřelí;leden 2025;45-64;1314
Česko;Zemřelí;leden 2025;65-74;2220
Česko;Zemřelí;leden 2025;75-84;3753
Česko;Zemřelí;leden 2025;85 a více;3313
Česko;Zemřelí;prosinec 2024;celkem;10177
Česko;Zemřelí;prosinec 2024;0-14;40
Česko;Zemřelí;prosinec 2024;15-44;255
Česko;Zemřelí;prosinec 2024;45-64;1297
Česko;Zemřelí;prosinec 2024;65-74;2118
Česko;Zemřelí;prosinec 2024;75-84;3438
Česko;Zemřelí;prosinec 2024;85 a více;3029
Česko;Zemřelí;listopad 2024;celkem;9175
Česko;Zemřelí;listopad 2024;0-14;34
Česko;Zemřelí;listopad 2024;15-44;232
Česko;Zemřelí;listopad 2024;45-64;1171
Česko;Zemřelí;listopad 2024;65-74;1856
Česko;Zemřelí;listopad 2024;75-84;3159
Česko;Zemřelí;listopad 2024;85 a více;2723
Česko;Zemřelí;říjen 2024;celkem;9961
Česko;Zemřelí;říjen 2024;0-14;24
Česko;Zemřelí;říjen 2024;15-44;246
Česko;Zemřelí;říjen 2024;45-64;1225
Česko;Zemřelí;říjen 2024;65-74;2077
Česko;Zemřelí;říjen 2024;75-84;3409
Česko;Zemřelí;říjen 2024;85 a více;2980
Česko;Zemřelí;září 2024;celkem;9058
Česko;Zemřelí;září 2024;0-14;24
Česko;Zemřelí;září 2024;15-44;255
Česko;Zemřelí;září 2024;45-64;1142
Česko;Zemřelí;září 2024;65-74;1916
Česko;Zemřelí;září 2024;75-84;3052
Česko;Zemřelí;září 2024;85 a více;2669
Česko;Zemřelí;srpen 2024;celkem;9097
Česko;Zemřelí;srpen 2024;0-14;23
Česko;Zemřelí;srpen 2024;15-44;286
Česko;Zemřelí;srpen 2024;45-64;1175
Česko;Zemřelí;srpen 2024;65-74;1892
Česko;Zemřelí;srpen 2024;75-84;3098
Česko;Zemřelí;srpen 2024;85 a více;2623
Česko;Zemřelí;červenec 2024;celkem;8968
Česko;Zemřelí;červenec 2024;0-14;35
Česko;Zemřelí;červenec 2024;15-44;272
Česko;Zemřelí;červenec 2024;45-64;1119
Česko;Zemřelí;červenec 2024;65-74;1962
Česko;Zemřelí;červenec 2024;75-84;3024
Česko;Zemřelí;červenec 2024;85 a více;2556
Česko;Zemřelí;červen 2024;celkem;8678
Česko;Zemřelí;červen 2024;0-14;32
Česko;Zemřelí;červen 2024;15-44;272
Česko;Zemřelí;červen 2024;45-64;1146
Česko;Zemřelí;červen 2024;65-74;1814
Česko;Zemřelí;červen 2024;75-84;2960
Česko;Zemřelí;červen 2024;85 a více;2454
Česko;Zemřelí;květen 2024;celkem;8715
Česko;Zemřelí;květen 2024;0-14;23
Česko;Zemřelí;květen 2024;15-44;235
Česko;Zemřelí;květen 2024;45-64;1169
Česko;Zemřelí;květen 2024;65-74;1905
Česko;Zemřelí;květen 2024;75-84;2944
Česko;Zemřelí;květen 2024;85 a více;2439
Česko;Zemřelí;duben 2024;celkem;8688
Česko;Zemřelí;duben 2024;0-14;30
Česko;Zemřelí;duben 2024;15-44;240
Česko;Zemřelí;duben 2024;45-64;1085
Česko;Zemřelí;duben 2024;65-74;1822
Česko;Zemřelí;duben 2024;75-84;2964
Česko;Zemřelí;duben 2024;85 a více;2547
Česko;Zemřelí;březen 2024;celkem;9223
Česko;Zemřelí;březen 2024;0-14;27
Česko;Zemřelí;březen 2024;15-44;234
Česko;Zemřelí;březen 2024;45-64;1245
Česko;Zemřelí;březen 2024;65-74;1972
Česko;Zemřelí;březen 2024;75-84;3155
Česko;Zemřelí;březen 2024;85 a více;2590
Česko;Zemřelí;únor 2024;celkem;9861
Česko;Zemřelí;únor 2024;0-14;37
Česko;Zemřelí;únor 2024;15-44;239
Česko;Zemřelí;únor 2024;45-64;1205
Česko;Zemřelí;únor 2024;65-74;2149
Česko;Zemřelí;únor 2024;75-84;3366
Česko;Zemřelí;únor 2024;85 a více;2865
Česko;Zemřelí;leden 2024;celkem;10610
Česko;Zemřelí;leden 2024;0-14;33
Česko;Zemřelí;leden 2024;15-44;273
Česko;Zemřelí;leden 2024;45-64;1352
Česko;Zemřelí;leden 2024;65-74;2265
Česko;Zemřelí;leden 2024;75-84;3606
Česko;Zemřelí;leden 2024;85 a více;3081
Česko;Zemřelí;prosinec 2023;celkem;10823
Česko;Zemřelí;prosinec 2023;0-14;41
Česko;Zemřelí;prosinec 2023;15-44;273
Česko;Zemřelí;prosinec 2023;45-64;1278
Česko;Zemřelí;prosinec 2023;65-74;2322
Česko;Zemřelí;prosinec 2023;75-84;3682
Česko;Zemřelí;prosinec 2023;85 a více;3227
Česko;Zemřelí;listopad 2023;celkem;9594
Česko;Zemřelí;listopad 2023;0-14;35
Česko;Zemřelí;listopad 2023;15-44;249
Česko;Zemřelí;listopad 2023;45-64;1198
Česko;Zemřelí;listopad 2023;65-74;2093
Česko;Zemřelí;listopad 2023;75-84;3259
Česko;Zemřelí;listopad 2023;85 a více;2760
Česko;Zemřelí;říjen 2023;celkem;9510
Česko;Zemřelí;říjen 2023;0-14;25
Česko;Zemřelí;říjen 2023;15-44;221
Česko;Zemřelí;říjen 2023;45-64;1262
