Ukazatel;Území;Rodinný stav nevěsty;Věk nevěsty (jednoleté skupiny);Roky;value
Sňatky;Česko;Celkem;Celkem;2024;44486.0
Sňatky;Česko;Celkem;Celkem;2023;48268.0
Sňatky;Česko;Celkem;Celkem;2022;54820.0
Sňatky;Česko;Celkem;Celkem;2021;46778.0
Sňatky;Česko;Celkem;Celkem;2020;45415.0
Sňatky;Česko;Celkem;Celkem;2019;54870.0
Sňatky;Česko;Celkem;Celkem;2018;54470.0
Sňatky;Česko;Celkem;Celkem;2017;52567.0
Sňatky;Česko;Celkem;Celkem;2016;50768.0
Sňatky;Česko;Celkem;Celkem;2015;48191.0
Sňatky;Česko;Celkem;Celkem;2014;45575.0
Sňatky;Česko;Celkem;Celkem;2013;43499.0
Sňatky;Česko;Celkem;Celkem;2012;45206.0
Sňatky;Česko;Celkem;Celkem;2011;45137.0
Sňatky;Česko;Celkem;Celkem;2010;46746.0
Sňatky;Česko;Celkem;Celkem;2009;47862.0
Sňatky;Česko;Celkem;Celkem;2008;52457.0
Sňatky;Česko;Celkem;Celkem;2007;57157.0
Sňatky;Česko;Celkem;Celkem;2006;52860.0
Sňatky;Česko;Celkem;Celkem;2005;51829.0
Sňatky;Česko;Celkem;Celkem;2004;51447.0
Sňatky;Česko;Celkem;Celkem;2003;48943.0
Sňatky;Česko;Celkem;Celkem;2002;52732.0
Sňatky;Česko;Celkem;Celkem;2001;52374.0
Sňatky;Česko;Celkem;16;2024;
Sňatky;Česko;Celkem;16;2023;3.0
Sňatky;Česko;Celkem;16;2022;5.0
Sňatky;Česko;Celkem;16;2021;2.0
Sňatky;Česko;Celkem;16;2020;2.0
Sňatky;Česko;Celkem;16;2019;6.0
Sňatky;Česko;Celkem;16;2018;6.0
Sňatky;Česko;Celkem;16;2017;9.0
Sňatky;Česko;Celkem;16;2016;12.0
Sňatky;Česko;Celkem;16;2015;5.0
Sňatky;Česko;Celkem;16;2014;11.0
Sňatky;Česko;Celkem;16;2013;4.0
Sňatky;Česko;Celkem;16;2012;12.0
Sňatky;Česko;Celkem;16;2011;7.0
Sňatky;Česko;Celkem;16;2010;5.0
Sňatky;Česko;Celkem;16;2009;9.0
Sňatky;Česko;Celkem;16;2008;9.0
Sňatky;Česko;Celkem;16;2007;9.0
Sňatky;Česko;Celkem;16;2006;17.0
Sňatky;Česko;Celkem;16;2005;17.0
Sňatky;Česko;Celkem;16;2004;19.0
Sňatky;Česko;Celkem;16;2003;20.0
Sňatky;Česko;Celkem;16;2002;24.0
Sňatky;Česko;Celkem;16;2001;24.0
Sňatky;Česko;Celkem;17;2024;
Sňatky;Česko;Celkem;17;2023;3.0
Sňatky;Česko;Celkem;17;2022;4.0
Sňatky;Česko;Celkem;17;2021;4.0
Sňatky;Česko;Celkem;17;2020;6.0
Sňatky;Česko;Celkem;17;2019;6.0
Sňatky;Česko;Celkem;17;2018;7.0
Sňatky;Česko;Celkem;17;2017;7.0
Sňatky;Česko;Celkem;17;2016;12.0
Sňatky;Česko;Celkem;17;2015;9.0
Sňatky;Česko;Celkem;17;2014;7.0
Sňatky;Česko;Celkem;17;2013;21.0
Sňatky;Česko;Celkem;17;2012;19.0
Sňatky;Česko;Celkem;17;2011;13.0
Sňatky;Česko;Celkem;17;2010;18.0
Sňatky;Česko;Celkem;17;2009;16.0
Sňatky;Česko;Celkem;17;2008;10.0
Sňatky;Česko;Celkem;17;2007;20.0
Sňatky;Česko;Celkem;17;2006;22.0
Sňatky;Česko;Celkem;17;2005;27.0
Sňatky;Česko;Celkem;17;2004;36.0
Sňatky;Česko;Celkem;17;2003;31.0
Sňatky;Česko;Celkem;17;2002;58.0
Sňatky;Česko;Celkem;17;2001;65.0
Sňatky;Česko;Celkem;18;2024;
Sňatky;Česko;Celkem;18;2023;134.0
Sňatky;Česko;Celkem;18;2022;98.0
Sňatky;Česko;Celkem;18;2021;61.0
Sňatky;Česko;Celkem;18;2020;72.0
Sňatky;Česko;Celkem;18;2019;107.0
Sňatky;Česko;Celkem;18;2018;113.0
Sňatky;Česko;Celkem;18;2017;120.0
Sňatky;Česko;Celkem;18;2016;100.0
Sňatky;Česko;Celkem;18;2015;142.0
Sňatky;Česko;Celkem;18;2014;130.0
Sňatky;Česko;Celkem;18;2013;135.0
Sňatky;Česko;Celkem;18;2012;126.0
Sňatky;Česko;Celkem;18;2011;167.0
Sňatky;Česko;Celkem;18;2010;167.0
Sňatky;Česko;Celkem;18;2009;241.0
Sňatky;Česko;Celkem;18;2008;278.0
Sňatky;Česko;Celkem;18;2007;401.0
Sňatky;Česko;Celkem;18;2006;388.0
Sňatky;Česko;Celkem;18;2005;423.0
Sňatky;Česko;Celkem;18;2004;458.0
Sňatky;Česko;Celkem;18;2003;515.0
Sňatky;Česko;Celkem;18;2002;655.0
Sňatky;Česko;Celkem;18;2001;803.0
Sňatky;Česko;Celkem;19;2024;
Sňatky;Česko;Celkem;19;2023;204.0
Sňatky;Česko;Celkem;19;2022;209.0
Sňatky;Česko;Celkem;19;2021;186.0
Sňatky;Česko;Celkem;19;2020;143.0
Sňatky;Česko;Celkem;19;2019;241.0
Sňatky;Česko;Celkem;19;2018;239.0
Sňatky;Česko;Celkem;19;2017;236.0
Sňatky;Česko;Celkem;19;2016;243.0
Sňatky;Česko;Celkem;19;2015;223.0
Sňatky;Česko;Celkem;19;2014;237.0
Sňatky;Česko;Celkem;19;2013;271.0
Sňatky;Česko;Celkem;19;2012;300.0
Sňatky;Česko;Celkem;19;2011;288.0
Sňatky;Česko;Celkem;19;2010;383.0
Sňatky;Česko;Celkem;19;2009;408.0
Sňatky;Česko;Celkem;19;2008;549.0
Sňatky;Česko;Celkem;19;2007;633.0
Sňatky;Česko;Celkem;19;2006;644.0
Sňatky;Česko;Celkem;19;2005;751.0
Sňatky;Česko;Celkem;19;2004;880.0
Sňatky;Česko;Celkem;19;2003;938.0
Sňatky;Česko;Celkem;19;2002;1223.0
Sňatky;Česko;Celkem;19;2001;1512.0
Sňatky;Česko;Celkem;20;2024;
Sňatky;Česko;Celkem;20;2023;368.0
Sňatky;Česko;Celkem;20;2022;357.0
Sňatky;Česko;Celkem;20;2021;322.0
Sňatky;Česko;Celkem;20;2020;314.0
Sňatky;Česko;Celkem;20;2019;474.0
Sňatky;Česko;Celkem;20;2018;458.0
Sňatky;Česko;Celkem;20;2017;441.0
Sňatky;Česko;Celkem;20;2016;466.0
Sňatky;Česko;Celkem;20;2015;441.0
Sňatky;Česko;Celkem;20;2014;467.0
Sňatky;Česko;Celkem;20;2013;476.0
Sňatky;Česko;Celkem;20;2012;496.0
Sňatky;Česko;Celkem;20;2011;539.0
Sňatky;Česko;Celkem;20;2010;658.0
Sňatky;Česko;Celkem;20;2009;793.0
Sňatky;Česko;Celkem;20;2008;953.0
Sňatky;Česko;Celkem;20;2007;1072.0
Sňatky;Česko;Celkem;20;2006;1054.0
Sňatky;Česko;Celkem;20;2005;1256.0
Sňatky;Česko;Celkem;20;2004;1418.0
Sňatky;Česko;Celkem;20;2003;1463.0
Sňatky;Česko;Celkem;20;2002;2062.0
Sňatky;Česko;Celkem;20;2001;2372.0
Sňatky;Česko;Celkem;21;2024;
Sňatky;Česko;Celkem;21;2023;553.0
Sňatky;Česko;Celkem;21;2022;618.0
Sňatky;Česko;Celkem;21;2021;562.0
Sňatky;Česko;Celkem;21;2020;561.0
Sňatky;Česko;Celkem;21;2019;714.0
Sňatky;Česko;Celkem;21;2018;710.0
Sňatky;Česko;Celkem;21;2017;733.0
Sňatky;Česko;Celkem;21;2016;716.0
Sňatky;Česko;Celkem;21;2015;809.0
Sňatky;Česko;Celkem;21;2014;710.0
Sňatky;Česko;Celkem;21;2013;738.0
Sňatky;Česko;Celkem;21;2012;862.0
Sňatky;Česko;Celkem;21;2011;864.0
Sňatky;Česko;Celkem;21;2010;969.0
Sňatky;Česko;Celkem;21;2009;1105.0
Sňatky;Česko;Celkem;21;2008;1319.0
Sňatky;Česko;Celkem;21;2007;1561.0
Sňatky;Česko;Celkem;21;2006;1592.0
Sňatky;Česko;Celkem;21;2005;1811.0
Sňatky;Česko;Celkem;21;2004;1982.0
Sňatky;Česko;Celkem;21;2003;2230.0
Sňatky;Česko;Celkem;21;2002;2670.0
Sňatky;Česko;Celkem;21;2001;3353.0
Sňatky;Česko;Celkem;22;2024;
Sňatky;Česko;Celkem;22;2023;832.0
Sňatky;Česko;Celkem;22;2022;973.0
Sňatky;Česko;Celkem;22;2021;867.0
Sňatky;Česko;Celkem;22;2020;829.0
Sňatky;Česko;Celkem;22;2019;1038.0
Sňatky;Česko;Celkem;22;2018;1120.0
Sňatky;Česko;Celkem;22;2017;1074.0
Sňatky;Česko;Celkem;22;2016;1160.0
Sňatky;Česko;Celkem;22;2015;1223.0
Sňatky;Česko;Celkem;22;2014;1050.0
Sňatky;Česko;Celkem;22;2013;1121.0
Sňatky;Česko;Celkem;22;2012;1185.0
Sňatky;Česko;Celkem;22;2011;1316.0
Sňatky;Česko;Celkem;22;2010;1412.0
Sňatky;Česko;Celkem;22;2009;1534.0
Sňatky;Česko;Celkem;22;2008;1928.0
Sňatky;Česko;Celkem;22;2007;2098.0
Sňatky;Česko;Celkem;22;2006;2139.0
Sňatky;Česko;Celkem;22;2005;2366.0
Sňatky;Česko;Celkem;22;2004;2500.0
Sňatky;Česko;Celkem;22;2003;2657.0
Sňatky;Česko;Celkem;22;2002;3542.0
Sňatky;Česko;Celkem;22;2001;4261.0
Sňatky;Česko;Celkem;23;2024;
Sňatky;Česko;Celkem;23;2023;1233.0
Sňatky;Česko;Celkem;23;2022;1448.0
Sňatky;Česko;Celkem;23;2021;1202.0
Sňatky;Česko;Celkem;23;2020;1253.0
Sňatky;Česko;Celkem;23;2019;1605.0
Sňatky;Česko;Celkem;23;2018;1612.0
Sňatky;Česko;Celkem;23;2017;1739.0
Sňatky;Česko;Celkem;23;2016;1731.0
Sňatky;Česko;Celkem;23;2015;1613.0
Sňatky;Česko;Celkem;23;2014;1683.0
Sňatky;Česko;Celkem;23;2013;1518.0
Sňatky;Česko;Celkem;23;2012;1744.0
Sňatky;Česko;Celkem;23;2011;1736.0
Sňatky;Česko;Celkem;23;2010;1869.0
Sňatky;Česko;Celkem;23;2009;2058.0
Sňatky;Česko;Celkem;23;2008;2503.0
Sňatky;Česko;Celkem;23;2007;2889.0
Sňatky;Česko;Celkem;23;2006;2795.0
Sňatky;Česko;Celkem;23;2005;2907.0
Sňatky;Česko;Celkem;23;2004;3257.0
Sňatky;Česko;Celkem;23;2003;3792.0
Sňatky;Česko;Celkem;23;2002;4506.0
Sňatky;Česko;Celkem;23;2001;4799.0
Sňatky;Česko;Celkem;24;2024;
Sňatky;Česko;Celkem;24;2023;1634.0
Sňatky;Česko;Celkem;24;2022;1877.0
Sňatky;Česko;Celkem;24;2021;1677.0
Sňatky;Česko;Celkem;24;2020;1602.0
Sňatky;Česko;Celkem;24;2019;2143.0
Sňatky;Česko;Celkem;24;2018;2369.0
Sňatky;Česko;Celkem;24;2017;2295.0
Sňatky;Česko;Celkem;24;2016;2238.0
Sňatky;Česko;Celkem;24;2015;2349.0
Sňatky;Česko;Celkem;24;2014;2180.0
Sňatky;Česko;Celkem;24;2013;2193.0
Sňatky;Česko;Celkem;24;2012;2246.0
Sňatky;Česko;Celkem;24;2011;2452.0
Sňatky;Česko;Celkem;24;2010;2589.0
Sňatky;Česko;Celkem;24;2009;2736.0
Sňatky;Česko;Celkem;24;2008;3206.0
Sňatky;Česko;Celkem;24;2007;3591.0
Sňatky;Česko;Celkem;24;2006;3624.0
Sňatky;Česko;Celkem;24;2005;3767.0
Sňatky;Česko;Celkem;24;2004;4048.0
Sňatky;Česko;Celkem;24;2003;4428.0
Sňatky;Česko;Celkem;24;2002;5002.0
Sňatky;Česko;Celkem;24;2001;5186.0
Sňatky;Česko;Celkem;25;2024;
Sňatky;Česko;Celkem;25;2023;2151.0
Sňatky;Česko;Celkem;25;2022;2456.0
