Ukazatel;Území;Rodinný stav ženicha;Rodinný stav nevěsty;Roky;value
Sňatky;Česko;Celkem;Celkem;2023;
Sňatky;Česko;Celkem;Celkem;2022;
Sňatky;Česko;Celkem;Celkem;2021;
Sňatky;Česko;Celkem;Celkem;2020;
Sňatky;Česko;Celkem;Celkem;2019;
Sňatky;Česko;Celkem;Celkem;2018;
Sňatky;Česko;Celkem;Celkem;2017;
Sňatky;Česko;Celkem;Celkem;2016;
Sňatky;Česko;Celkem;Celkem;2015;
Sňatky;Česko;Celkem;Celkem;2014;
Sňatky;Česko;Celkem;Celkem;2013;
Sňatky;Česko;Celkem;Celkem;2012;
Sňatky;Česko;Celkem;Celkem;2011;
Sňatky;Česko;Celkem;Celkem;2010;
Sňatky;Česko;Celkem;Celkem;2009;
Sňatky;Česko;Celkem;Celkem;2008;
Sňatky;Česko;Celkem;Celkem;2007;
Sňatky;Česko;Celkem;Celkem;2006;
Sňatky;Česko;Celkem;Celkem;2005;
Sňatky;Česko;Celkem;Celkem;2004;
Sňatky;Česko;Celkem;Celkem;2003;
Sňatky;Česko;Celkem;Celkem;2002;
Sňatky;Česko;Celkem;Celkem;2001;
Sňatky;Česko;Celkem;Svobodná;2023;
Sňatky;Česko;Celkem;Svobodná;2022;
Sňatky;Česko;Celkem;Svobodná;2021;
Sňatky;Česko;Celkem;Svobodná;2020;
Sňatky;Česko;Celkem;Svobodná;2019;
Sňatky;Česko;Celkem;Svobodná;2018;
Sňatky;Česko;Celkem;Svobodná;2017;
Sňatky;Česko;Celkem;Svobodná;2016;
Sňatky;Česko;Celkem;Svobodná;2015;
Sňatky;Česko;Celkem;Svobodná;2014;
Sňatky;Česko;Celkem;Svobodná;2013;
Sňatky;Česko;Celkem;Svobodná;2012;
Sňatky;Česko;Celkem;Svobodná;2011;
Sňatky;Česko;Celkem;Svobodná;2010;
Sňatky;Česko;Celkem;Svobodná;2009;
Sňatky;Česko;Celkem;Svobodná;2008;
Sňatky;Česko;Celkem;Svobodná;2007;
Sňatky;Česko;Celkem;Svobodná;2006;
Sňatky;Česko;Celkem;Svobodná;2005;
Sňatky;Česko;Celkem;Svobodná;2004;
Sňatky;Česko;Celkem;Svobodná;2003;
Sňatky;Česko;Celkem;Svobodná;2002;
Sňatky;Česko;Celkem;Svobodná;2001;
Sňatky;Česko;Celkem;Rozvedená;2023;
