Rok,"ČR, kraje",Ukazatel,value
2024,Česko,Sňatky,44486.0
2024,Česko,1. sňatek muže,33148.0
2024,Česko,2. a další sňatek muže,11338.0
2024,Česko,1. sňatek ženy,33228.0
2024,Česko,2. a další sňatek ženy,11258.0
2024,Česko,Podíl 1. sňatků mužů (%),74.51333004
2024,Česko,Podíl 1. sňatků žen (%),74.69316189
2024,Česko,Oba snoubenci svobodní,29010.0
2024,Hlavní město Praha,Sňatky,6189.0
2024,Hlavní město Praha,1. sňatek muže,4744.0
2024,Hlavní město Praha,2. a další sňatek muže,1445.0
2024,Hlavní město Praha,1. sňatek ženy,4974.0
2024,Hlavní město Praha,2. a další sňatek ženy,1215.0
2024,Hlavní město Praha,Podíl 1. sňatků mužů (%),76.65212474
2024,Hlavní město Praha,Podíl 1. sňatků žen (%),80.36839554
2024,Hlavní město Praha,Oba snoubenci svobodní,4295.0
2024,Středočeský kraj,Sňatky,5658.0
2024,Středočeský kraj,1. sňatek muže,4098.0
2024,Středočeský kraj,2. a další sňatek muže,1560.0
2024,Středočeský kraj,1. sňatek ženy,4152.0
2024,Středočeský kraj,2. a další sňatek ženy,1506.0
2024,Středočeský kraj,Podíl 1. sňatků mužů (%),72.42841994
2024,Středočeský kraj,Podíl 1. sňatků žen (%),73.38282078
2024,Středočeský kraj,Oba snoubenci svobodní,3549.0
2024,Jihočeský kraj,Sňatky,2684.0
2024,Jihočeský kraj,1. sňatek muže,1991.0
2024,Jihočeský kraj,2. a další sňatek muže,693.0
2024,Jihočeský kraj,1. sňatek ženy,2006.0
2024,Jihočeský kraj,2. a další sňatek ženy,678.0
2024,Jihočeský kraj,Podíl 1. sňatků mužů (%),74.18032787
2024,Jihočeský kraj,Podíl 1. sňatků žen (%),74.73919523
2024,Jihočeský kraj,Oba snoubenci svobodní,1753.0
2024,Plzeňský kraj,Sňatky,2561.0
2024,Plzeňský kraj,1. sňatek muže,1941.0
2024,Plzeňský kraj,2. a další sňatek muže,620.0
2024,Plzeňský kraj,1. sňatek ženy,1912.0
2024,Plzeňský kraj,2. a další sňatek ženy,649.0
2024,Plzeňský kraj,Podíl 1. sňatků mužů (%),75.79070676
2024,Plzeňský kraj,Podíl 1. sňatků žen (%),74.65833659
2024,Plzeňský kraj,Oba snoubenci svobodní,1674.0
2024,Karlovarský kraj,Sňatky,1210.0
2024,Karlovarský kraj,1. sňatek muže,830.0
2024,Karlovarský kraj,2. a další sňatek muže,380.0
2024,Karlovarský kraj,1. sňatek ženy,806.0
2024,Karlovarský kraj,2. a další sňatek ženy,404.0
2024,Karlovarský kraj,Podíl 1. sňatků mužů (%),68.59504132
2024,Karlovarský kraj,Podíl 1. sňatků žen (%),66.61157025
2024,Karlovarský kraj,Oba snoubenci svobodní,677.0
2024,Ústecký kraj,Sňatky,3399.0
2024,Ústecký kraj,1. sňatek muže,2316.0
2024,Ústecký kraj,2. a další sňatek muže,1083.0
2024,Ústecký kraj,1. sňatek ženy,2306.0
2024,Ústecký kraj,2. a další sňatek ženy,1093.0
2024,Ústecký kraj,Podíl 1. sňatků mužů (%),68.13768756
2024,Ústecký kraj,Podíl 1. sňatků žen (%),67.84348338
2024,Ústecký kraj,Oba snoubenci svobodní,1926.0
2024,Liberecký kraj,Sňatky,1815.0
2024,Liberecký kraj,1. sňatek muže,1289.0
2024,Liberecký kraj,2. a další sňatek muže,526.0
2024,Liberecký kraj,1. sňatek ženy,1320.0
2024,Liberecký kraj,2. a další sňatek ženy,495.0
2024,Liberecký kraj,Podíl 1. sňatků mužů (%),71.01928375
2024,Liberecký kraj,Podíl 1. sňatků žen (%),72.72727273
2024,Liberecký kraj,Oba snoubenci svobodní,1133.0
2024,Královéhradecký kraj,Sňatky,2270.0
2024,Královéhradecký kraj,1. sňatek muže,1673.0
2024,Královéhradecký kraj,2. a další sňatek muže,597.0
2024,Královéhradecký kraj,1. sňatek ženy,1638.0
2024,Královéhradecký kraj,2. a další sňatek ženy,632.0
2024,Královéhradecký kraj,Podíl 1. sňatků mužů (%),73.70044053
2024,Královéhradecký kraj,Podíl 1. sňatků žen (%),72.15859031
2024,Královéhradecký kraj,Oba snoubenci svobodní,1458.0
2024,Pardubický kraj,Sňatky,2107.0
2024,Pardubický kraj,1. sňatek muže,1591.0
2024,Pardubický kraj,2. a další sňatek muže,516.0
2024,Pardubický kraj,1. sňatek ženy,1574.0
2024,Pardubický kraj,2. a další sňatek ženy,533.0
2024,Pardubický kraj,Podíl 1. sňatků mužů (%),75.51020408
2024,Pardubický kraj,Podíl 1. sňatků žen (%),74.70336972
2024,Pardubický kraj,Oba snoubenci svobodní,1400.0
2024,Kraj Vysočina,Sňatky,1985.0
2024,Kraj Vysočina,1. sňatek muže,1609.0
2024,Kraj Vysočina,2. a další sňatek muže,376.0
2024,Kraj Vysočina,1. sňatek ženy,1548.0
2024,Kraj Vysočina,2. a další sňatek ženy,437.0
2024,Kraj Vysočina,Podíl 1. sňatků mužů (%),81.05793451
2024,Kraj Vysočina,Podíl 1. sňatků žen (%),77.98488665
2024,Kraj Vysočina,Oba snoubenci svobodní,1420.0
2024,Jihomoravský kraj,Sňatky,5044.0
2024,Jihomoravský kraj,1. sňatek muže,3898.0
2024,Jihomoravský kraj,2. a další sňatek muže,1146.0
2024,Jihomoravský kraj,1. sňatek ženy,3891.0
2024,Jihomoravský kraj,2. a další sňatek ženy,1153.0
2024,Jihomoravský kraj,Podíl 1. sňatků mužů (%),77.27993656
2024,Jihomoravský kraj,Podíl 1. sňatků žen (%),77.14115781
2024,Jihomoravský kraj,Oba snoubenci svobodní,3445.0
2024,Olomoucký kraj,Sňatky,2419.0
2024,Olomoucký kraj,1. sňatek muže,1815.0
2024,Olomoucký kraj,2. a další sňatek muže,604.0
2024,Olomoucký kraj,1. sňatek ženy,1804.0
2024,Olomoucký kraj,2. a další sňatek ženy,615.0
2024,Olomoucký kraj,Podíl 1. sňatků mužů (%),75.03100455
2024,Olomoucký kraj,Podíl 1. sňatků žen (%),74.57627119
2024,Olomoucký kraj,Oba snoubenci svobodní,1600.0
2024,Zlínský kraj,Sňatky,2229.0
2024,Zlínský kraj,1. sňatek muže,1770.0
2024,Zlínský kraj,2. a další sňatek muže,459.0
2024,Zlínský kraj,1. sňatek ženy,1738.0
2024,Zlínský kraj,2. a další sňatek ženy,491.0
2024,Zlínský kraj,Podíl 1. sňatků mužů (%),79.40780619
2024,Zlínský kraj,Podíl 1. sňatků žen (%),77.97218484
2024,Zlínský kraj,Oba snoubenci svobodní,1568.0
2024,Moravskoslezský kraj,Sňatky,4916.0
2024,Moravskoslezský kraj,1. sňatek muže,3583.0
2024,Moravskoslezský kraj,2. a další sňatek muže,1333.0
2024,Moravskoslezský kraj,1. sňatek ženy,3559.0
2024,Moravskoslezský kraj,2. a další sňatek ženy,1357.0
2024,Moravskoslezský kraj,Podíl 1. sňatků mužů (%),72.88445891
2024,Moravskoslezský kraj,Podíl 1. sňatků žen (%),72.39625712
2024,Moravskoslezský kraj,Oba snoubenci svobodní,3112.0
