Ukazatel;Roky;ČR, kraje;Délka trvání manželství (pětileté intervaly délky);value
Rozvody;2023;Česko;Celkem;19453
Rozvody;2023;Česko;0 - 4;3733
Rozvody;2023;Česko;5 - 9;4416
Rozvody;2023;Česko;10 - 14;3273
Rozvody;2023;Česko;15 - 19;2727
Rozvody;2023;Česko;20 - 24;1988
Rozvody;2023;Česko;25 - 29;1371
Rozvody;2023;Česko;30 - 34;1069
Rozvody;2023;Česko;35 a více;876
Rozvody;2023;Hlavní město Praha;Celkem;2288
Rozvody;2023;Hlavní město Praha;0 - 4;475
Rozvody;2023;Hlavní město Praha;5 - 9;544
Rozvody;2023;Hlavní město Praha;10 - 14;398
Rozvody;2023;Hlavní město Praha;15 - 19;318
Rozvody;2023;Hlavní město Praha;20 - 24;216
Rozvody;2023;Hlavní město Praha;25 - 29;133
Rozvody;2023;Hlavní město Praha;30 - 34;106
Rozvody;2023;Hlavní město Praha;35 a více;98
Rozvody;2023;Středočeský kraj;Celkem;2758
Rozvody;2023;Středočeský kraj;0 - 4;498
Rozvody;2023;Středočeský kraj;5 - 9;658
Rozvody;2023;Středočeský kraj;10 - 14;509
Rozvody;2023;Středočeský kraj;15 - 19;402
Rozvody;2023;Středočeský kraj;20 - 24;277
Rozvody;2023;Středočeský kraj;25 - 29;175
Rozvody;2023;Středočeský kraj;30 - 34;133
Rozvody;2023;Středočeský kraj;35 a více;106
Rozvody;2023;Jihočeský kraj;Celkem;1201
Rozvody;2023;Jihočeský kraj;0 - 4;221
Rozvody;2023;Jihočeský kraj;5 - 9;279
Rozvody;2023;Jihočeský kraj;10 - 14;186
Rozvody;2023;Jihočeský kraj;15 - 19;164
Rozvody;2023;Jihočeský kraj;20 - 24;124
Rozvody;2023;Jihočeský kraj;25 - 29;90
Rozvody;2023;Jihočeský kraj;30 - 34;68
Rozvody;2023;Jihočeský kraj;35 a více;69
Rozvody;2023;Plzeňský kraj;Celkem;1106
Rozvody;2023;Plzeňský kraj;0 - 4;252
Rozvody;2023;Plzeňský kraj;5 - 9;271
Rozvody;2023;Plzeňský kraj;10 - 14;180
Rozvody;2023;Plzeňský kraj;15 - 19;126
Rozvody;2023;Plzeňský kraj;20 - 24;111
Rozvody;2023;Plzeňský kraj;25 - 29;64
Rozvody;2023;Plzeňský kraj;30 - 34;46
Rozvody;2023;Plzeňský kraj;35 a více;56
Rozvody;2023;Karlovarský kraj;Celkem;589
Rozvody;2023;Karlovarský kraj;0 - 4;138
Rozvody;2023;Karlovarský kraj;5 - 9;149
Rozvody;2023;Karlovarský kraj;10 - 14;97
Rozvody;2023;Karlovarský kraj;15 - 19;67
Rozvody;2023;Karlovarský kraj;20 - 24;45
Rozvody;2023;Karlovarský kraj;25 - 29;43
Rozvody;2023;Karlovarský kraj;30 - 34;26
Rozvody;2023;Karlovarský kraj;35 a více;24
Rozvody;2023;Ústecký kraj;Celkem;1591
Rozvody;2023;Ústecký kraj;0 - 4;373
Rozvody;2023;Ústecký kraj;5 - 9;348
Rozvody;2023;Ústecký kraj;10 - 14;246
Rozvody;2023;Ústecký kraj;15 - 19;231
Rozvody;2023;Ústecký kraj;20 - 24;146
Rozvody;2023;Ústecký kraj;25 - 29;98
Rozvody;2023;Ústecký kraj;30 - 34;83
Rozvody;2023;Ústecký kraj;35 a více;66
Rozvody;2023;Liberecký kraj;Celkem;890
Rozvody;2023;Liberecký kraj;0 - 4;170
Rozvody;2023;Liberecký kraj;5 - 9;171
Rozvody;2023;Liberecký kraj;10 - 14;161
Rozvody;2023;Liberecký kraj;15 - 19;126
Rozvody;2023;Liberecký kraj;20 - 24;115
Rozvody;2023;Liberecký kraj;25 - 29;54
Rozvody;2023;Liberecký kraj;30 - 34;53
Rozvody;2023;Liberecký kraj;35 a více;40
Rozvody;2023;Královéhradecký kraj;Celkem;957
Rozvody;2023;Královéhradecký kraj;0 - 4;180
Rozvody;2023;Královéhradecký kraj;5 - 9;222
Rozvody;2023;Královéhradecký kraj;10 - 14;156
Rozvody;2023;Královéhradecký kraj;15 - 19;137
Rozvody;2023;Královéhradecký kraj;20 - 24;100
Rozvody;2023;Královéhradecký kraj;25 - 29;71
Rozvody;2023;Královéhradecký kraj;30 - 34;48
Rozvody;2023;Královéhradecký kraj;35 a více;43
Rozvody;2023;Pardubický kraj;Celkem;907
