Ukazatel;ČR a kraje;Věkové skupiny (pětileté);Roky;value
Přistěhovalí;Česko;Celkem;2024;121823.0
Přistěhovalí;Česko;Celkem;2023;141263.0
Přistěhovalí;Česko;Celkem;2022;349548.0
Přistěhovalí;Česko;Celkem;2021;69201.0
Přistěhovalí;Česko;Celkem;2020;55661.0
Přistěhovalí;Česko;Celkem;2019;65571.0
Přistěhovalí;Česko;Celkem;2018;58148.0
Přistěhovalí;Česko;Celkem;2017;45957.0
Přistěhovalí;Česko;Celkem;2016;37503.0
Přistěhovalí;Česko;Celkem;2015;34922.0
Přistěhovalí;Česko;Celkem;2014;41625.0
Přistěhovalí;Česko;Celkem;2013;29579.0
Přistěhovalí;Česko;Celkem;2012;30298.0
Přistěhovalí;Česko;Celkem;2011;22590.0
Přistěhovalí;Česko;Celkem;2010;30515.0
Přistěhovalí;Česko;Celkem;2009;39973.0
Přistěhovalí;Česko;Celkem;2008;77817.0
Přistěhovalí;Česko;Celkem;2007;104445.0
Přistěhovalí;Česko;Celkem;2006;68183.0
Přistěhovalí;Česko;Celkem;2005;60294.0
Přistěhovalí;Česko;Celkem;2004;53453.0
Přistěhovalí;Česko;Celkem;2003;60015.0
Přistěhovalí;Česko;Celkem;2002;44679.0
Přistěhovalí;Česko;Celkem;2001;12918.0
Přistěhovalí;Česko;Celkem;2000;7802.0
Přistěhovalí;Česko;0;2024;
Přistěhovalí;Česko;0;2023;1423.0
Přistěhovalí;Česko;0;2022;3596.0
Přistěhovalí;Česko;0;2021;479.0
Přistěhovalí;Česko;0;2020;465.0
Přistěhovalí;Česko;0;2019;604.0
Přistěhovalí;Česko;0;2018;602.0
Přistěhovalí;Česko;0;2017;732.0
Přistěhovalí;Česko;0;2016;974.0
Přistěhovalí;Česko;0;2015;1101.0
Přistěhovalí;Česko;0;2014;1298.0
Přistěhovalí;Česko;0;2013;594.0
Přistěhovalí;Česko;0;2012;692.0
Přistěhovalí;Česko;0;2011;579.0
Přistěhovalí;Česko;0;2010;899.0
Přistěhovalí;Česko;0;2009;861.0
Přistěhovalí;Česko;0;2008;1025.0
Přistěhovalí;Česko;0;2007;220.0
Přistěhovalí;Česko;0;2006;470.0
Přistěhovalí;Česko;0;2005;738.0
Přistěhovalí;Česko;0;2004;459.0
Přistěhovalí;Česko;0;2003;549.0
Přistěhovalí;Česko;0;2002;455.0
Přistěhovalí;Česko;0;2001;368.0
Přistěhovalí;Česko;0;2000;71.0
Přistěhovalí;Česko;1 - 4;2024;
Přistěhovalí;Česko;1 - 4;2023;4793.0
Přistěhovalí;Česko;1 - 4;2022;17795.0
Přistěhovalí;Česko;1 - 4;2021;1535.0
Přistěhovalí;Česko;1 - 4;2020;1397.0
Přistěhovalí;Česko;1 - 4;2019;2052.0
Přistěhovalí;Česko;1 - 4;2018;1875.0
Přistěhovalí;Česko;1 - 4;2017;1805.0
Přistěhovalí;Česko;1 - 4;2016;1777.0
Přistěhovalí;Česko;1 - 4;2015;2017.0
Přistěhovalí;Česko;1 - 4;2014;2153.0
Přistěhovalí;Česko;1 - 4;2013;1365.0
Přistěhovalí;Česko;1 - 4;2012;1188.0
Přistěhovalí;Česko;1 - 4;2011;1000.0
Přistěhovalí;Česko;1 - 4;2010;1403.0
Přistěhovalí;Česko;1 - 4;2009;1427.0
Přistěhovalí;Česko;1 - 4;2008;1613.0
Přistěhovalí;Česko;1 - 4;2007;2206.0
Přistěhovalí;Česko;1 - 4;2006;932.0
Přistěhovalí;Česko;1 - 4;2005;892.0
Přistěhovalí;Česko;1 - 4;2004;891.0
Přistěhovalí;Česko;1 - 4;2003;892.0
Přistěhovalí;Česko;1 - 4;2002;1632.0
Přistěhovalí;Česko;1 - 4;2001;577.0
Přistěhovalí;Česko;1 - 4;2000;191.0
Přistěhovalí;Česko;5 - 9;2024;
Přistěhovalí;Česko;5 - 9;2023;6294.0
Přistěhovalí;Česko;5 - 9;2022;28042.0
Přistěhovalí;Česko;5 - 9;2021;1821.0
Přistěhovalí;Česko;5 - 9;2020;1635.0
Přistěhovalí;Česko;5 - 9;2019;1953.0
Přistěhovalí;Česko;5 - 9;2018;1637.0
Přistěhovalí;Česko;5 - 9;2017;1395.0
Přistěhovalí;Česko;5 - 9;2016;1319.0
Přistěhovalí;Česko;5 - 9;2015;1251.0
Přistěhovalí;Česko;5 - 9;2014;1204.0
Přistěhovalí;Česko;5 - 9;2013;820.0
Přistěhovalí;Česko;5 - 9;2012;823.0
Přistěhovalí;Česko;5 - 9;2011;798.0
Přistěhovalí;Česko;5 - 9;2010;1280.0
Přistěhovalí;Česko;5 - 9;2009;1305.0
Přistěhovalí;Česko;5 - 9;2008;1588.0
Přistěhovalí;Česko;5 - 9;2007;2023.0
Přistěhovalí;Česko;5 - 9;2006;1147.0
Přistěhovalí;Česko;5 - 9;2005;1214.0
Přistěhovalí;Česko;5 - 9;2004;1184.0
Přistěhovalí;Česko;5 - 9;2003;1273.0
Přistěhovalí;Česko;5 - 9;2002;1905.0
Přistěhovalí;Česko;5 - 9;2001;707.0
Přistěhovalí;Česko;5 - 9;2000;238.0
Přistěhovalí;Česko;10 - 14;2024;
Přistěhovalí;Česko;10 - 14;2023;6577.0
Přistěhovalí;Česko;10 - 14;2022;27878.0
Přistěhovalí;Česko;10 - 14;2021;1684.0
Přistěhovalí;Česko;10 - 14;2020;1330.0
Přistěhovalí;Česko;10 - 14;2019;1591.0
Přistěhovalí;Česko;10 - 14;2018;1275.0
Přistěhovalí;Česko;10 - 14;2017;1259.0
Přistěhovalí;Česko;10 - 14;2016;1239.0
Přistěhovalí;Česko;10 - 14;2015;1130.0
Přistěhovalí;Česko;10 - 14;2014;1126.0
Přistěhovalí;Česko;10 - 14;2013;813.0
Přistěhovalí;Česko;10 - 14;2012;696.0
Přistěhovalí;Česko;10 - 14;2011;710.0
Přistěhovalí;Česko;10 - 14;2010;1168.0
Přistěhovalí;Česko;10 - 14;2009;1220.0
Přistěhovalí;Česko;10 - 14;2008;1718.0
Přistěhovalí;Česko;10 - 14;2007;2088.0
Přistěhovalí;Česko;10 - 14;2006;1235.0
Přistěhovalí;Česko;10 - 14;2005;1440.0
Přistěhovalí;Česko;10 - 14;2004;1666.0
Přistěhovalí;Česko;10 - 14;2003;1792.0
Přistěhovalí;Česko;10 - 14;2002;2424.0
Přistěhovalí;Česko;10 - 14;2001;645.0
Přistěhovalí;Česko;10 - 14;2000;212.0
Přistěhovalí;Česko;15 - 19;2024;
Přistěhovalí;Česko;15 - 19;2023;18874.0
Přistěhovalí;Česko;15 - 19;2022;35594.0
Přistěhovalí;Česko;15 - 19;2021;5518.0
Přistěhovalí;Česko;15 - 19;2020;4492.0
Přistěhovalí;Česko;15 - 19;2019;5410.0
Přistěhovalí;Česko;15 - 19;2018;4635.0
Přistěhovalí;Česko;15 - 19;2017;4086.0
Přistěhovalí;Česko;15 - 19;2016;3738.0
Přistěhovalí;Česko;15 - 19;2015;4229.0
Přistěhovalí;Česko;15 - 19;2014;4442.0
Přistěhovalí;Česko;15 - 19;2013;3507.0
Přistěhovalí;Česko;15 - 19;2012;2777.0
Přistěhovalí;Česko;15 - 19;2011;2138.0
Přistěhovalí;Česko;15 - 19;2010;3085.0
Přistěhovalí;Česko;15 - 19;2009;3597.0
Přistěhovalí;Česko;15 - 19;2008;6231.0
Přistěhovalí;Česko;15 - 19;2007;6816.0
Přistěhovalí;Česko;15 - 19;2006;4194.0
Přistěhovalí;Česko;15 - 19;2005;3443.0
Přistěhovalí;Česko;15 - 19;2004;2975.0
Přistěhovalí;Česko;15 - 19;2003;4357.0
Přistěhovalí;Česko;15 - 19;2002;2709.0
Přistěhovalí;Česko;15 - 19;2001;657.0
Přistěhovalí;Česko;15 - 19;2000;377.0
Přistěhovalí;Česko;20 - 24;2024;
Přistěhovalí;Česko;20 - 24;2023;13251.0
Přistěhovalí;Česko;20 - 24;2022;30478.0
Přistěhovalí;Česko;20 - 24;2021;8684.0
Přistěhovalí;Česko;20 - 24;2020;6881.0
Přistěhovalí;Česko;20 - 24;2019;9145.0
Přistěhovalí;Česko;20 - 24;2018;8724.0
Přistěhovalí;Česko;20 - 24;2017;6956.0
Přistěhovalí;Česko;20 - 24;2016;5567.0
Přistěhovalí;Česko;20 - 24;2015;5087.0
Přistěhovalí;Česko;20 - 24;2014;5773.0
Přistěhovalí;Česko;20 - 24;2013;4278.0
Přistěhovalí;Česko;20 - 24;2012;4549.0
Přistěhovalí;Česko;20 - 24;2011;4389.0
Přistěhovalí;Česko;20 - 24;2010;5893.0
Přistěhovalí;Česko;20 - 24;2009;8647.0
Přistěhovalí;Česko;20 - 24;2008;17317.0
Přistěhovalí;Česko;20 - 24;2007;21605.0
Přistěhovalí;Česko;20 - 24;2006;13531.0
Přistěhovalí;Česko;20 - 24;2005;11108.0
Přistěhovalí;Česko;20 - 24;2004;9559.0
Přistěhovalí;Česko;20 - 24;2003;12596.0
Přistěhovalí;Česko;20 - 24;2002;6792.0
Přistěhovalí;Česko;20 - 24;2001;1456.0
Přistěhovalí;Česko;20 - 24;2000;888.0
Přistěhovalí;Česko;25 - 29;2024;
Přistěhovalí;Česko;25 - 29;2023;14316.0
Přistěhovalí;Česko;25 - 29;2022;33598.0
Přistěhovalí;Česko;25 - 29;2021;11832.0
Přistěhovalí;Česko;25 - 29;2020;10087.0
Přistěhovalí;Česko;25 - 29;2019;11810.0
Přistěhovalí;Česko;25 - 29;2018;11086.0
Přistěhovalí;Česko;25 - 29;2017;8660.0
Přistěhovalí;Česko;25 - 29;2016;6838.0
Přistěhovalí;Česko;25 - 29;2015;5953.0
Přistěhovalí;Česko;25 - 29;2014;6980.0
Přistěhovalí;Česko;25 - 29;2013;5318.0
Přistěhovalí;Česko;25 - 29;2012;5488.0
Přistěhovalí;Česko;25 - 29;2011;4150.0
Přistěhovalí;Česko;25 - 29;2010;5174.0
Přistěhovalí;Česko;25 - 29;2009;6947.0
Přistěhovalí;Česko;25 - 29;2008;14037.0
Přistěhovalí;Česko;25 - 29;2007;19011.0
Přistěhovalí;Česko;25 - 29;2006;12323.0
Přistěhovalí;Česko;25 - 29;2005;11039.0
Přistěhovalí;Česko;25 - 29;2004;9535.0
Přistěhovalí;Česko;25 - 29;2003;10319.0
Přistěhovalí;Česko;25 - 29;2002;7317.0
Přistěhovalí;Česko;25 - 29;2001;1937.0
Přistěhovalí;Česko;25 - 29;2000;1451.0
Přistěhovalí;Česko;30 - 34;2024;
Přistěhovalí;Česko;30 - 34;2023;14701.0
Přistěhovalí;Česko;30 - 34;2022;35335.0
Přistěhovalí;Česko;30 - 34;2021;10388.0
Přistěhovalí;Česko;30 - 34;2020;8597.0
Přistěhovalí;Česko;30 - 34;2019;9983.0
Přistěhovalí;Česko;30 - 34;2018;8856.0
Přistěhovalí;Česko;30 - 34;2017;6670.0
Přistěhovalí;Česko;30 - 34;2016;5170.0
Přistěhovalí;Česko;30 - 34;2015;4328.0
Přistěhovalí;Česko;30 - 34;2014;5267.0
Přistěhovalí;Česko;30 - 34;2013;3847.0
Přistěhovalí;Česko;30 - 34;2012;4146.0
Přistěhovalí;Česko;30 - 34;2011;2739.0
Přistěhovalí;Česko;30 - 34;2010;3371.0
Přistěhovalí;Česko;30 - 34;2009;4651.0
Přistěhovalí;Česko;30 - 34;2008;10275.0
Přistěhovalí;Česko;30 - 34;2007;14853.0
Přistěhovalí;Česko;30 - 34;2006;9906.0
Přistěhovalí;Česko;30 - 34;2005;8698.0
Přistěhovalí;Česko;30 - 34;2004;7008.0
Přistěhovalí;Česko;30 - 34;2003;7363.0
Přistěhovalí;Česko;30 - 34;2002;5651.0
