Ukazatel;Věkové skupiny;Pohlaví;Roky;Region soudržnosti vystěhování;Region soudržnosti přistěhování;value
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Praha;Praha;
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Praha;Střední Čechy;16751.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Praha;Jihozápad;2511.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Praha;Severozápad;2166.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Praha;Severovýchod;2627.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Praha;Jihovýchod;1930.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Praha;Střední Morava;833.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Praha;Moravskoslezsko;783.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Střední Čechy;Praha;11228.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Střední Čechy;Střední Čechy;
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Střední Čechy;Jihozápad;2393.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Střední Čechy;Severozápad;1947.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Střední Čechy;Severovýchod;2872.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Střední Čechy;Jihovýchod;1519.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Střední Čechy;Střední Morava;644.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Střední Čechy;Moravskoslezsko;513.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Jihozápad;Praha;3175.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Jihozápad;Střední Čechy;2308.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Jihozápad;Jihozápad;
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Jihozápad;Severozápad;1532.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Jihozápad;Severovýchod;976.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Jihozápad;Jihovýchod;1470.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Jihozápad;Střední Morava;510.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Jihozápad;Moravskoslezsko;403.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Severozápad;Praha;3077.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Severozápad;Střední Čechy;2076.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Severozápad;Jihozápad;1709.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Severozápad;Severozápad;
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Severozápad;Severovýchod;1460.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Severozápad;Jihovýchod;710.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Severozápad;Střední Morava;371.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Severozápad;Moravskoslezsko;339.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Severovýchod;Praha;3979.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Severovýchod;Střední Čechy;3137.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Severovýchod;Jihozápad;1188.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Severovýchod;Severozápad;1423.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Severovýchod;Severovýchod;
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Severovýchod;Jihovýchod;2126.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Severovýchod;Střední Morava;1042.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Severovýchod;Moravskoslezsko;557.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Jihovýchod;Praha;3202.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Jihovýchod;Střední Čechy;1645.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Jihovýchod;Jihozápad;1598.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Jihovýchod;Severozápad;650.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Jihovýchod;Severovýchod;1860.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Jihovýchod;Jihovýchod;
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Jihovýchod;Střední Morava;2560.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Jihovýchod;Moravskoslezsko;1053.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Střední Morava;Praha;1636.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Střední Morava;Střední Čechy;868.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Střední Morava;Jihozápad;569.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Střední Morava;Severozápad;304.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Střední Morava;Severovýchod;1009.0
