Ukazatel,Věkové skupiny,Pohlaví,Roky,Správní obvod ORP vystěhování,Správní obvod ORP přistěhování,value
Přistěhovalí / vystěhování,Celkem,Celkem,2023,Praha,Praha,
Přistěhovalí / vystěhování,Celkem,Celkem,2023,Praha,Benešov,660.0
Přistěhovalí / vystěhování,Celkem,Celkem,2023,Praha,Beroun,838.0
Přistěhovalí / vystěhování,Celkem,Celkem,2023,Praha,Brandýs nad Labem-Stará Boleslav,2820.0
Přistěhovalí / vystěhování,Celkem,Celkem,2023,Praha,Čáslav,78.0
Přistěhovalí / vystěhování,Celkem,Celkem,2023,Praha,Černošice,3812.0
Přistěhovalí / vystěhování,Celkem,Celkem,2023,Praha,Český Brod,322.0
Přistěhovalí / vystěhování,Celkem,Celkem,2023,Praha,Dobříš,256.0
Přistěhovalí / vystěhování,Celkem,Celkem,2023,Praha,Hořovice,234.0
Přistěhovalí / vystěhování,Celkem,Celkem,2023,Praha,Kladno,1123.0
Přistěhovalí / vystěhování,Celkem,Celkem,2023,Praha,Kolín,467.0
Přistěhovalí / vystěhování,Celkem,Celkem,2023,Praha,Kralupy nad Vltavou,424.0
Přistěhovalí / vystěhování,Celkem,Celkem,2023,Praha,Kutná Hora,286.0
Přistěhovalí / vystěhování,Celkem,Celkem,2023,Praha,Lysá nad Labem,370.0
Přistěhovalí / vystěhování,Celkem,Celkem,2023,Praha,Mělník,359.0
Přistěhovalí / vystěhování,Celkem,Celkem,2023,Praha,Mladá Boleslav,523.0
Přistěhovalí / vystěhování,Celkem,Celkem,2023,Praha,Mnichovo Hradiště,50.0
Přistěhovalí / vystěhování,Celkem,Celkem,2023,Praha,Neratovice,383.0
Přistěhovalí / vystěhování,Celkem,Celkem,2023,Praha,Nymburk,269.0
Přistěhovalí / vystěhování,Celkem,Celkem,2023,Praha,Poděbrady,279.0
Přistěhovalí / vystěhování,Celkem,Celkem,2023,Praha,Příbram,335.0
Přistěhovalí / vystěhování,Celkem,Celkem,2023,Praha,Rakovník,277.0
Přistěhovalí / vystěhování,Celkem,Celkem,2023,Praha,Říčany,1913.0
Přistěhovalí / vystěhování,Celkem,Celkem,2023,Praha,Sedlčany,92.0
Přistěhovalí / vystěhování,Celkem,Celkem,2023,Praha,Slaný,312.0
Přistěhovalí / vystěhování,Celkem,Celkem,2023,Praha,Vlašim,179.0
Přistěhovalí / vystěhování,Celkem,Celkem,2023,Praha,Votice,90.0
Přistěhovalí / vystěhování,Celkem,Celkem,2023,Praha,Blatná,43.0
Přistěhovalí / vystěhování,Celkem,Celkem,2023,Praha,České Budějovice,295.0
Přistěhovalí / vystěhování,Celkem,Celkem,2023,Praha,Český Krumlov,71.0
Přistěhovalí / vystěhování,Celkem,Celkem,2023,Praha,Dačice,20.0
Přistěhovalí / vystěhování,Celkem,Celkem,2023,Praha,Jindřichův Hradec,92.0
Přistěhovalí / vystěhování,Celkem,Celkem,2023,Praha,Kaplice,22.0
Přistěhovalí / vystěhování,Celkem,Celkem,2023,Praha,Milevsko,48.0
Přistěhovalí / vystěhování,Celkem,Celkem,2023,Praha,Písek,160.0
Přistěhovalí / vystěhování,Celkem,Celkem,2023,Praha,Prachatice,52.0
Přistěhovalí / vystěhování,Celkem,Celkem,2023,Praha,Soběslav,80.0
Přistěhovalí / vystěhování,Celkem,Celkem,2023,Praha,Strakonice,69.0
Přistěhovalí / vystěhování,Celkem,Celkem,2023,Praha,Tábor,246.0
Přistěhovalí / vystěhování,Celkem,Celkem,2023,Praha,Trhové Sviny,12.0
Přistěhovalí / vystěhování,Celkem,Celkem,2023,Praha,Třeboň,33.0
Přistěhovalí / vystěhování,Celkem,Celkem,2023,Praha,Týn nad Vltavou,22.0
Přistěhovalí / vystěhování,Celkem,Celkem,2023,Praha,Vimperk,47.0
