Ukazatel,Roky,"ČR, kraje",Věk ženicha (pětileté skupiny),value
Sňatky,2024,Česko,Celkem,44486
Sňatky,2024,Česko,16 - 19,75
Sňatky,2024,Česko,20 - 24,1944
Sňatky,2024,Česko,25 - 29,8523
Sňatky,2024,Česko,30 - 34,11056
Sňatky,2024,Česko,35 - 39,7008
Sňatky,2024,Česko,40 - 44,4498
Sňatky,2024,Česko,45 - 49,3861
Sňatky,2024,Česko,50 - 54,2867
Sňatky,2024,Česko,55 - 59,1945
Sňatky,2024,Česko,60 - 64,1335
Sňatky,2024,Česko,65 a více,1374
Sňatky,2024,Hlavní město Praha,Celkem,6189
Sňatky,2024,Hlavní město Praha,16 - 19,7
Sňatky,2024,Hlavní město Praha,20 - 24,275
Sňatky,2024,Hlavní město Praha,25 - 29,1135
Sňatky,2024,Hlavní město Praha,30 - 34,1637
Sňatky,2024,Hlavní město Praha,35 - 39,1099
Sňatky,2024,Hlavní město Praha,40 - 44,633
Sňatky,2024,Hlavní město Praha,45 - 49,453
Sňatky,2024,Hlavní město Praha,50 - 54,347
Sňatky,2024,Hlavní město Praha,55 - 59,224
Sňatky,2024,Hlavní město Praha,60 - 64,181
Sňatky,2024,Hlavní město Praha,65 a více,198
Sňatky,2024,Středočeský kraj,Celkem,5658
Sňatky,2024,Středočeský kraj,16 - 19,14
Sňatky,2024,Středočeský kraj,20 - 24,236
Sňatky,2024,Středočeský kraj,25 - 29,987
Sňatky,2024,Středočeský kraj,30 - 34,1370
Sňatky,2024,Středočeský kraj,35 - 39,862
Sňatky,2024,Středočeský kraj,40 - 44,623
Sňatky,2024,Středočeský kraj,45 - 49,576
Sňatky,2024,Středočeský kraj,50 - 54,397
Sňatky,2024,Středočeský kraj,55 - 59,268
Sňatky,2024,Středočeský kraj,60 - 64,161
Sňatky,2024,Středočeský kraj,65 a více,164
Sňatky,2024,Jihočeský kraj,Celkem,2684
Sňatky,2024,Jihočeský kraj,16 - 19,13
Sňatky,2024,Jihočeský kraj,20 - 24,116
Sňatky,2024,Jihočeský kraj,25 - 29,536
Sňatky,2024,Jihočeský kraj,30 - 34,697
Sňatky,2024,Jihočeský kraj,35 - 39,411
Sňatky,2024,Jihočeský kraj,40 - 44,264
Sňatky,2024,Jihočeský kraj,45 - 49,207
Sňatky,2024,Jihočeský kraj,50 - 54,159
Sňatky,2024,Jihočeský kraj,55 - 59,108
Sňatky,2024,Jihočeský kraj,60 - 64,89
Sňatky,2024,Jihočeský kraj,65 a více,84
Sňatky,2024,Plzeňský kraj,Celkem,2561
Sňatky,2024,Plzeňský kraj,16 - 19,3
Sňatky,2024,Plzeňský kraj,20 - 24,137
Sňatky,2024,Plzeňský kraj,25 - 29,488
Sňatky,2024,Plzeňský kraj,30 - 34,637
Sňatky,2024,Plzeňský kraj,35 - 39,393
Sňatky,2024,Plzeňský kraj,40 - 44,253
Sňatky,2024,Plzeňský kraj,45 - 49,244
Sňatky,2024,Plzeňský kraj,50 - 54,163
Sňatky,2024,Plzeňský kraj,55 - 59,104
Sňatky,2024,Plzeňský kraj,60 - 64,68
Sňatky,2024,Plzeňský kraj,65 a více,71
Sňatky,2024,Karlovarský kraj,Celkem,1210
Sňatky,2024,Karlovarský kraj,16 - 19,2
Sňatky,2024,Karlovarský kraj,20 - 24,59
Sňatky,2024,Karlovarský kraj,25 - 29,186
Sňatky,2024,Karlovarský kraj,30 - 34,223
Sňatky,2024,Karlovarský kraj,35 - 39,170
Sňatky,2024,Karlovarský kraj,40 - 44,128
Sňatky,2024,Karlovarský kraj,45 - 49,134
Sňatky,2024,Karlovarský kraj,50 - 54,111
Sňatky,2024,Karlovarský kraj,55 - 59,90
Sňatky,2024,Karlovarský kraj,60 - 64,48
Sňatky,2024,Karlovarský kraj,65 a více,59
Sňatky,2024,Ústecký kraj,Celkem,3399
Sňatky,2024,Ústecký kraj,16 - 19,9
Sňatky,2024,Ústecký kraj,20 - 24,149
Sňatky,2024,Ústecký kraj,25 - 29,541
Sňatky,2024,Ústecký kraj,30 - 34,721
Sňatky,2024,Ústecký kraj,35 - 39,507
Sňatky,2024,Ústecký kraj,40 - 44,364
Sňatky,2024,Ústecký kraj,45 - 49,349
Sňatky,2024,Ústecký kraj,50 - 54,302
Sňatky,2024,Ústecký kraj,55 - 59,194
Sňatky,2024,Ústecký kraj,60 - 64,131
Sňatky,2024,Ústecký kraj,65 a více,132
Sňatky,2024,Liberecký kraj,Celkem,1815
Sňatky,2024,Liberecký kraj,16 - 19,3
Sňatky,2024,Liberecký kraj,20 - 24,79
Sňatky,2024,Liberecký kraj,25 - 29,344
Sňatky,2024,Liberecký kraj,30 - 34,414
Sňatky,2024,Liberecký kraj,35 - 39,250
Sňatky,2024,Liberecký kraj,40 - 44,182
Sňatky,2024,Liberecký kraj,45 - 49,185
Sňatky,2024,Liberecký kraj,50 - 54,141
Sňatky,2024,Liberecký kraj,55 - 59,85
Sňatky,2024,Liberecký kraj,60 - 64,62
