Území;Ukazatel;Typ indexu;Očištění;CZ-NACE;Čtvrtletí;value
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;1. čtvrtletí 2025;100.7978613184
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;4. čtvrtletí 2024;97.8068124283
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;3. čtvrtletí 2024;103.7134666467
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;2. čtvrtletí 2024;99.2756728281
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;1. čtvrtletí 2024;96.7681218006
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;4. čtvrtletí 2023;99.5322710874
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;3. čtvrtletí 2023;95.5123429883
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;2. čtvrtletí 2023;98.3188636552
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;1. čtvrtletí 2023;101.5273541254
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;4. čtvrtletí 2022;101.4984927662
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;3. čtvrtletí 2022;105.1379678696
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;2. čtvrtletí 2022;100.6894374509
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;1. čtvrtletí 2022;101.3564786236
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;4. čtvrtletí 2021;99.4146387342
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;3. čtvrtletí 2021;99.5485901645
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;2. čtvrtletí 2021;128.5945932267
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;1. čtvrtletí 2021;103.4279518802
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;4. čtvrtletí 2020;101.2852154547
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;3. čtvrtletí 2020;96.0534934634
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;2. čtvrtletí 2020;78.3310531666
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;1. čtvrtletí 2020;96.7338049633
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;4. čtvrtletí 2019;96.9479958818
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;3. čtvrtletí 2019;102.0839289159
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;2. čtvrtletí 2019;100.0321400459
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;1. čtvrtletí 2019;100.3189174461
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;4. čtvrtletí 2018;103.2184824124
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;3. čtvrtletí 2018;103.5457408752
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;2. čtvrtletí 2018;103.1914407584
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;1. čtvrtletí 2018;102.2540728224
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;4. čtvrtletí 2017;107.8255195772
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;3. čtvrtletí 2017;105.4512925421
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;2. čtvrtletí 2017;104.2792183384
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;1. čtvrtletí 2017;108.403973944
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;4. čtvrtletí 2016;103.5282507251
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;3. čtvrtletí 2016;100.8419086554
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;2. čtvrtletí 2016;106.0683503405
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;1. čtvrtletí 2016;103.1648079869
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;4. čtvrtletí 2015;103.1713637379
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;3. čtvrtletí 2015;103.622681451
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;2. čtvrtletí 2015;105.3693642533
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;1. čtvrtletí 2015;105.0008880861
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;4. čtvrtletí 2014;102.9016094409
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;3. čtvrtletí 2014;104.2194061103
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;2. čtvrtletí 2014;106.1064802041
