Území;Ukazatel;Typ indexu;Očištění;CZ-NACE;Úhrn 12 měsíců;value
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;březen 2025;100.3088470324
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;únor 2025;98.9118615522
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden 2025;99.1899032811
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;prosinec 2024;99.2775454905
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;listopad 2024;99.0188186113
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;říjen 2024;98.9731484514
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;září 2024;99.7214282635
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;srpen 2024;98.6500135433
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;červenec 2024;98.5704967305
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;červen 2024;97.8061225071
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;květen 2024;98.5481829458
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;duben 2024;98.5022687309
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;březen 2024;97.5683772119
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;únor 2024;98.7636959523
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden 2024;98.7364965234
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;prosinec 2023;98.7609039875
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;listopad 2023;99.3512370595
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;říjen 2023;99.6492097878
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;září 2023;99.2546021851
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;srpen 2023;100.5750454294
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;červenec 2023;101.4497361688
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;červen 2023;101.5179896405
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;květen 2023;101.7945165608
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;duben 2023;102.5060922107
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;březen 2023;102.1370348675
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;únor 2023;101.9084616679
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden 2023;101.7966411353
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;prosinec 2022;102.0960984659
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;listopad 2022;102.0547663647
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;říjen 2022;102.4065014827
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;září 2022;101.5575222347
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;srpen 2022;100.6135446362
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;červenec 2022;100.0689667571
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;červen 2022;100.2634644621
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;květen 2022;100.9471565002
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;duben 2022;102.5655477063
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;březen 2022;106.2000033543
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;únor 2022;107.7850436132
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden 2022;107.5711323581
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;prosinec 2021;106.7815675953
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;listopad 2021;107.3236557513
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;říjen 2021;106.8559850701
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;září 2021;107.3188478598
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;srpen 2021;107.4786064683
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;červenec 2021;106.7330221435
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;červen 2021;106.3415626466
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;květen 2021;104.8927303662
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;duben 2021;100.2022998573
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;březen 2021;94.6136289858
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;únor 2021;92.5019561277
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden 2021;92.6921184067
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;prosinec 2020;93.012593585
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;listopad 2020;92.4421162951
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;říjen 2020;92.0281419841
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;září 2020;91.9534016783
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;srpen 2020;92.4042227243
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;červenec 2020;92.6171974105
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;červen 2020;93.3508963078
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;květen 2020;93.2365600628
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;duben 2020;95.8789685982
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;březen 2020;98.8889170498
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;únor 2020;99.7320346497
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden 2020;99.8025711876
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;prosinec 2019;99.7818110533
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;listopad 2019;99.6783154699
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;říjen 2019;100.59701749
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;září 2019;101.4024034822
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;srpen 2019;101.0081600973
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;červenec 2019;101.485922108
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;červen 2019;101.7344407366
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;květen 2019;102.595239167
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;duben 2019;102.4199955904
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;březen 2019;102.5492595266
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;únor 2019;102.3748516622
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden 2019;102.5049949256
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;prosinec 2018;103.0466217722
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;listopad 2018;103.449094381
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;říjen 2018;103.7560793152
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;září 2018;104.1772097424
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;srpen 2018;104.6570909442
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;červenec 2018;105.0068466189
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;červen 2018;104.6217393966
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;květen 2018;104.6986022913
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;duben 2018;105.4433124621
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;březen 2018;104.9148409896
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;únor 2018;106.02751884
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden 2018;106.0515833384
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;prosinec 2017;106.4831547237
