Území;Ukazatel;Očištění;Typ indexu;CZ-NACE;Čtvrtletí;value
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;1. čtvrtletí 2025;100.7386776854
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;4. čtvrtletí 2024;97.7992569427
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;3. čtvrtletí 2024;100.775219963
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;2. čtvrtletí 2024;98.4458049259
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;1. čtvrtletí 2024;98.9446100206
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;4. čtvrtletí 2023;99.2657911123
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;3. čtvrtletí 2023;96.5620107326
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;2. čtvrtletí 2023;100.2576339776
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;1. čtvrtletí 2023;100.5475382006
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;4. čtvrtletí 2022;102.3894009615
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;3. čtvrtletí 2022;105.0279986393
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;2. čtvrtletí 2022;100.5831100438
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;1. čtvrtletí 2022;100.522059263
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;4. čtvrtletí 2021;98.4661937349
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;3. čtvrtletí 2021;100.543393515
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;2. čtvrtletí 2021;126.2634597276
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;1. čtvrtletí 2021;104.1158643917
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;4. čtvrtletí 2020;101.6725311281
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;3. čtvrtletí 2020;96.9350101433
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;2. čtvrtletí 2020;78.2147894283
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;1. čtvrtletí 2020;95.7478857429
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;4. čtvrtletí 2019;98.2275929003
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;3. čtvrtletí 2019;98.4585669514
