Území,Ukazatel,Očištění,Typ indexu,CZ-NACE,Měsíce,value
Česko,Index průmyslové produkce,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Meziměsíční index,Průmysl celkem,srpen 2025,98.8869170507
Česko,Index průmyslové produkce,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Meziměsíční index,Průmysl celkem,červenec 2025,100.8146532253
Česko,Index průmyslové produkce,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Meziměsíční index,Průmysl celkem,červen 2025,98.6457418226
Česko,Index průmyslové produkce,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Meziměsíční index,Průmysl celkem,květen 2025,98.8218323118
Česko,Index průmyslové produkce,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Meziměsíční index,Průmysl celkem,duben 2025,100.5489969845
Česko,Index průmyslové produkce,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Meziměsíční index,Průmysl celkem,březen 2025,100.4849801317
Česko,Index průmyslové produkce,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Meziměsíční index,Průmysl celkem,únor 2025,101.8229447981
Česko,Index průmyslové produkce,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Meziměsíční index,Průmysl celkem,leden 2025,99.3254172566
Česko,Index průmyslové produkce,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Meziměsíční index,Průmysl celkem,prosinec 2024,102.0094544579
Česko,Index průmyslové produkce,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Meziměsíční index,Průmysl celkem,listopad 2024,98.394090352
Česko,Index průmyslové produkce,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Meziměsíční index,Průmysl celkem,říjen 2024,99.5868470546
Česko,Index průmyslové produkce,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Meziměsíční index,Průmysl celkem,září 2024,99.365955695
Česko,Index průmyslové produkce,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Meziměsíční index,Průmysl celkem,srpen 2024,102.0158857108
Česko,Index průmyslové produkce,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Meziměsíční index,Průmysl celkem,červenec 2024,98.9906186937
Česko,Index průmyslové produkce,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Meziměsíční index,Průmysl celkem,červen 2024,100.9414764801
Česko,Index průmyslové produkce,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Meziměsíční index,Průmysl celkem,květen 2024,98.1051505342
Česko,Index průmyslové produkce,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Meziměsíční index,Průmysl celkem,duben 2024,100.3979392539
Česko,Index průmyslové produkce,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Meziměsíční index,Průmysl celkem,březen 2024,100.3907889349
Česko,Index průmyslové produkce,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Meziměsíční index,Průmysl celkem,únor 2024,99.6522055069
Česko,Index průmyslové produkce,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Meziměsíční index,Průmysl celkem,leden 2024,97.4835566934
Česko,Index průmyslové produkce,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Meziměsíční index,Průmysl celkem,prosinec 2023,102.586319179
Česko,Index průmyslové produkce,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Meziměsíční index,Průmysl celkem,listopad 2023,99.0230550272
Česko,Index průmyslové produkce,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Meziměsíční index,Průmysl celkem,říjen 2023,103.1446230394
Česko,Index průmyslové produkce,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Meziměsíční index,Průmysl celkem,září 2023,98.2196327129
Česko,Index průmyslové produkce,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Meziměsíční index,Průmysl celkem,srpen 2023,100.4471500579
Česko,Index průmyslové produkce,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Meziměsíční index,Průmysl celkem,červenec 2023,97.3407478583
Česko,Index průmyslové produkce,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Meziměsíční index,Průmysl celkem,červen 2023,100.9428498273
Česko,Index průmyslové produkce,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Meziměsíční index,Průmysl celkem,květen 2023,100.7984641342
Česko,Index průmyslové produkce,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Meziměsíční index,Průmysl celkem,duben 2023,97.805498975
Česko,Index průmyslové produkce,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Meziměsíční index,Průmysl celkem,březen 2023,101.9212580581
Česko,Index průmyslové produkce,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Meziměsíční index,Průmysl celkem,únor 2023,100.6883610116
Česko,Index průmyslové produkce,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Meziměsíční index,Průmysl celkem,leden 2023,97.3771492171
Česko,Index průmyslové produkce,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Meziměsíční index,Průmysl celkem,prosinec 2022,99.9321566452
Česko,Index průmyslové produkce,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Meziměsíční index,Průmysl celkem,listopad 2022,102.9094554571
Česko,Index průmyslové produkce,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Meziměsíční index,Průmysl celkem,říjen 2022,96.9302427028
Česko,Index průmyslové produkce,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Meziměsíční index,Průmysl celkem,září 2022,100.1467509345
Česko,Index průmyslové produkce,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Meziměsíční index,Průmysl celkem,srpen 2022,100.7043294834
Česko,Index průmyslové produkce,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Meziměsíční index,Průmysl celkem,červenec 2022,99.5816982305
Česko,Index průmyslové produkce,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Meziměsíční index,Průmysl celkem,červen 2022,101.3277777232
Česko,Index průmyslové produkce,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Meziměsíční index,Průmysl celkem,květen 2022,101.7046402785
Česko,Index průmyslové produkce,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Meziměsíční index,Průmysl celkem,duben 2022,98.9931712501
Česko,Index průmyslové produkce,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Meziměsíční index,Průmysl celkem,březen 2022,101.4628022415
Česko,Index průmyslové produkce,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Meziměsíční index,Průmysl celkem,únor 2022,97.0584708949
Česko,Index průmyslové produkce,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Meziměsíční index,Průmysl celkem,leden 2022,103.7749765108
Česko,Index průmyslové produkce,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Meziměsíční index,Průmysl celkem,prosinec 2021,96.2987231307
Česko,Index průmyslové produkce,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Meziměsíční index,Průmysl celkem,listopad 2021,105.3110133402
Česko,Index průmyslové produkce,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Meziměsíční index,Průmysl celkem,říjen 2021,101.3779188152
Česko,Index průmyslové produkce,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Meziměsíční index,Průmysl celkem,září 2021,97.2473439834
