Území,CZ-NACE,Měsíce,Ukazatel,value
Česko,Průmysl celkem,srpen 2025,Bazický index (průměr roku 2021=100) (%) - neočištěno ,89.4054803
Česko,Průmysl celkem,srpen 2025,Bazický index (průměr roku 2021=100) (%) - očištěno o kalendářní vlivy,92.51224616
Česko,Průmysl celkem,srpen 2025,Bazický index (průměr roku 2021=100) (%) - sezónně očištěno,99.39358462
Česko,Průmysl celkem,srpen 2025,Meziroční index (%) - neočištěno,95.8100451617
Česko,Průmysl celkem,srpen 2025,Meziroční index (%) - očištěno o kalendářní vlivy,98.7136964676
Česko,Průmysl celkem,srpen 2025,Meziměsíční index (%) - sezónně očištěno,98.8869170507
Česko,Průmysl celkem,srpen 2025,Mezičtvrtletní index (%) - sezónně očištěno,
Česko,Průmysl celkem,červenec 2025,Bazický index (průměr roku 2021=100) (%) - neočištěno ,96.35686258
Česko,Průmysl celkem,červenec 2025,Bazický index (průměr roku 2021=100) (%) - očištěno o kalendářní vlivy,89.98290661
Česko,Průmysl celkem,červenec 2025,Bazický index (průměr roku 2021=100) (%) - sezónně očištěno,100.51237068
Česko,Průmysl celkem,červenec 2025,Meziroční index (%) - neočištěno,104.8848778126
Česko,Průmysl celkem,červenec 2025,Meziroční index (%) - očištěno o kalendářní vlivy,101.774608627
Česko,Průmysl celkem,červenec 2025,Meziměsíční index (%) - sezónně očištěno,100.8146532253
Česko,Průmysl celkem,červenec 2025,Mezičtvrtletní index (%) - sezónně očištěno,
Česko,Průmysl celkem,červen 2025,Bazický index (průměr roku 2021=100) (%) - neočištěno ,103.75216236
Česko,Průmysl celkem,červen 2025,Bazický index (průměr roku 2021=100) (%) - očištěno o kalendářní vlivy,105.12597302
Česko,Průmysl celkem,červen 2025,Bazický index (průměr roku 2021=100) (%) - sezónně očištěno,99.70016011
Česko,Průmysl celkem,červen 2025,Meziroční index (%) - neočištěno,103.2036164279
Česko,Průmysl celkem,červen 2025,Meziroční index (%) - očištěno o kalendářní vlivy,100.1376176661
Česko,Průmysl celkem,červen 2025,Meziměsíční index (%) - sezónně očištěno,98.6457418226
